"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",154607,219247370,219401977,2509963.4215045003,8892828.1947375,11402791.616241999,10528563,25088.4
"BANKNIFTY",47002,2706355,2753357,826260.5844930001,422677.97322,1248938.557713,861806,58619
"MCX",21466,91335,112801,302189.4101875,46620.6263125,348810.0365,57234,2344
"SBIN",38307,220093,258400,292059.41595,28353.476775,320412.892725,175395,1026.5
"VEDL",36679,120593,157272,276772.10816,27680.84845,304452.95661,160328,661.85
"RELIANCE",37974,349633,387607,261367.16475,29304.4458,290671.61055,422617,1388
"HINDZINC",33479,178412,211891,242626.0503275,46419.889075,289045.9394025,120818,613.5
"BSE",23756,112767,136523,235275.98595,36766.3067625,272042.2927125,58386,2709.8
"ICICIBANK",25698,91091,116789,242685.57516,9363.17186,252048.74702,259012,1351
"HDFCBANK",44916,184578,229494,229539.30956,12143.998295,241683.307855,618680,928.1
"BEL",33360,219456,252816,205203.0650325,29189.42469,234392.4897225,190575,440.8
"AXISBANK",26235,121797,148032,217476.6318125,12902.566125,230379.1979375,178665,1309.2
"NATIONALUM",13030,49069,62099,175997.517,20183.878875,196181.395875,39149,371.5
"HAL",24637,151466,176103,158508.641475,21851.78034,180360.421815,132944,4348
"MIDCPNIFTY",7789,251273,259062,122304.081636,51913.27344,174217.35507599998,129816,13257.05
"ITC",30111,323647,353758,148993.92208,19257.43248,168251.35456,278205,314.55
"SHRIRAMFIN",18036,79597,97633,142983.611925,13853.255955,156836.86788,72510,966
"UPL",15001,49148,64149,139541.5339745,9236.7381195,148778.27209399999,41989,699.65
"INFY",21407,96134,117541,139854.22732,7795.9532,147650.18052,217249,1627
"HINDALCO",21475,48875,70350,138066.50809,7790.52267,145857.03076,99274,936.1
"CANBK",14039,48766,62805,136024.95375,8894.75985,144919.7136,65957,146.5
"LT",18804,138503,157307,128766.7689175,13881.2930025,142648.06192,146483,3914
"BHARTIARTL",14043,38381,52424,130638.04312,4624.9796675,135263.0227875,148389,1966.4
"MARUTI",16853,166366,183219,120310.01924,12150.42049,132460.43973,166733,14378
"BANKBARODA",14707,54818,69525,118952.116335,9225.9650925,128178.0814275,62753,278.35
"BAJFINANCE",15966,60390,76356,108153.8097,8710.259175,116864.068875,167369,908
"DIXON",19166,139478,158644,98877.097705,17832.67214,116709.769845,133589,10354
"POWERGRID",21079,144253,165332,104474.61695,12003.9796,116478.59655,92382,270
"PFC",21377,66493,87870,105224.626,8868.49353,114093.11953,85530,386.3
"M&M",15610,48151,63761,106818.03132,6125.65344,112943.68476,134659,3455
"TATASTEEL",10179,33320,43499,104415.5882,6689.4487,111105.0369,77328,188.72
"BDL",20365,140832,161197,93349.482135,16460.563105,109810.04524,55674,1329
"TMPV",33872,161017,194889,96938.75248,10714.95552,107653.708,169726,364
"FEDERALBNK",7239,26118,33357,101607.1195,5545.7645,107152.884,24310,281.15
"MUTHOOTFIN",10120,31800,41920,97498.3483925,7406.86232,104905.2107125,30423,3570
"KOTAKBANK",12434,20445,32879,102020.0572,2389.6322,104409.6894,130002,407.8
"ETERNAL",14215,53169,67384,93785.49275,7506.648125,101292.140875,168826,273
"IDEA",11548,31282,42830,88476.18645,6359.07357,94835.26002,133821,10.8
"TCS",14749,120045,134794,81983.21964,8109.7025275,90092.9221675,198251,3167
"ANGELONE",12927,87043,99970,75835.3684,13255.7259,89091.0943,32816,2400
"PNB",8494,26802,35296,82122.5296,4640.8616,86763.3912,49881,121.75
"RECLTD",15747,68677,84424,78829.76318,7480.78142,86310.5446,107332,364.75
"ABCAPITAL",7571,20500,28071,77008.18841,4588.39215,81596.58056,32997,337
"CHOLAFIN",7915,17898,25813,77726.2200625,3528.279125,81254.4991875,33937,1594
"ASIANPAINT",12606,58768,71374,76034.769225,4878.8585,80913.627725,105730,2395
"INDIGO",10499,43806,54305,73502.08179,5443.8345,78945.91629,95066,4690
"DELHIVERY",8077,18031,26108,74127.6927975,4152.050515,78279.7433125,19799,439.9
"HINDPETRO",7632,43431,51063,68977.413,9146.4250275,78123.8380275,28557,453.65
"BAJAJ-AUTO",10247,59842,70089,72325.77108,5492.248275,77818.019355,73404,9474
"VBL",13872,28541,42413,72994.1902875,3677.1046875,76671.294975,58303,465.9
"IDFCFIRSTB",9555,27449,37004,71482.8599975,3315.23374,74798.0937375,55489,81.43
"ASHOKLEY",6967,23911,30878,65875.747,5080.572,70956.319,45992,194.95
"SAIL",9865,15455,25320,67878.12286,2663.38707,70541.50993,55064,149.49
"INDUSINDBK",10635,19488,30123,66961.17491,2548.25515,69509.43006,69637,908
"INDUSTOWER",8949,25648,34597,65006.82547,4191.57304,69198.39851,70103,432.5
"JIOFIN",10751,68916,79667,61150.53487,7910.60525,69061.14012,131093,245.15
"KAYNES",18236,49164,67400,62783.88248,5963.0802,68746.96268,64520,3479.2
