"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",68435,41541487,41609922,1284188.3959595,1970197.352166,3254385.7481255,6031927,26142.1
"HDFCBANK",157804,151333,309137,868674.813105,4435.752365,873110.56547,621540,995.3
"BANKNIFTY",26760,5191437,5218197,540003.88731,289313.9400075,829317.8273175,1384951,59183.6
"RELIANCE",79573,247898,327471,624252.4728,14833.35755,639085.83035,396211,1560.6
"BAJFINANCE",72081,220327,292408,555845.4327,12884.960475,568730.393175,217811,1009.4
"INFY",84249,168091,252340,560206.93192,6037.51524,566244.44716,390210,1667
"TCS",87266,147091,234357,505643.58565,4742.408195,510385.993845,278133,3313.1
"ICICIBANK",52576,93548,146124,503207.33925,4959.96655,508167.3058,293224,1359
"BHARTIARTL",48246,91876,140122,489819.342505,4518.495545,494337.83805,183644,2123.5
"HINDALCO",70071,134751,204822,428434.13326,7722.37172,436156.50498,180292,863.95
"MIDCPNIFTY",18000,890499,908499,339331.99764,59846.488636,399178.486276,213143,13813.1
"KOTAKBANK",44018,53951,97969,383412.86904,2594.82852,386007.69756,169086,2162
"SHRIRAMFIN",41879,255233,297112,337178.6694375,24141.1421625,361319.8116,156442,974
"M&M",48606,56407,105013,354778.54202,2681.7421,357460.28412,165441,3636.1
"VEDL",48150,207429,255579,331261.49533,17577.67065,348839.16598,216872,597.65
"IDEA",37787,52614,90401,328781.7335925,11348.40024,340130.1338325,165991,12.03
"ETERNAL",46593,47459,94052,322476.824465,3529.9442175,326006.7686825,211080,284.6
"DIXON",40047,682108,722155,260599.85945,44293.23789,304893.09734,203031,12649
"INDUSTOWER",40527,77999,118526,292622.91522,7091.4514,299714.36662,92956,424.5
"INDIGO",34346,227720,262066,264225.785595,9687.39975,273913.185345,241575,5077
"ITC",41106,75646,116752,268605.31472,2900.80432,271506.11904,196525,406.8
"SBIN",36018,141543,177561,263755.068225,5181.774525,268936.84275,222522,968.85
"MARUTI",30662,139782,170444,256253.330385,4770.94558,261024.275965,150614,16710
"AXISBANK",31813,70402,102215,245503.6715625,2706.433375,248210.1049375,208647,1225.9
"HINDZINC",27933,286436,314369,214784.6871625,31114.3146125,245899.001775,117793,625.45
"JSWSTEEL",32981,20935,53916,244393.5795525,1004.8388175,245398.41837,135416,1091.2
"WIPRO",30140,40788,70928,242120.994,2340.2391,244461.2331,82246,268.14
"TECHM",24588,23687,48275,240941.96826,1525.46382,242467.43208,69447,1630.5
"ADANIENT",33211,68025,101236,230671.1913282,4481.850422699999,235153.0417509,161962,2218
"ASIANPAINT",32944,67185,100129,231270.68035,2462.514525,233733.194875,119527,2786
"BAJAJ-AUTO",33112,72453,105565,227644.7505375,2965.4002875,230610.150825,92344,9174
