"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"IOC",3484,17095,20579,27418.867125,1515.8505375,28934.7176625,41185,161.01
"VOLTAS",5165,16233,21398,27619.928175,911.2816875,28531.2098625,46056,1407
"GMRAIRPORT",3730,19598,23328,26325.107775,1885.52943,28210.637205,52504,99.95
"DRREDDY",3595,11818,15413,26669.998375,1245.6031875,27915.6015625,43238,1177.7
"BPCL",3512,22998,26510,25274.57586,2411.7544625,27686.3303225,32995,363.75
"ABB",4345,14143,18488,26652.5223125,845.4342375,27497.95655,39706,4877.5
"TATAPOWER",4740,37431,42171,25357.763705,2118.627915,27476.39162,90429,366
"JINDALSTEL",3951,14238,18189,25827.594125,1292.4420625,27120.0361875,36014,1039.3
"NMDC",4572,16063,20635,25762.691925,1300.288275,27062.9802,85682,82.48
"IRCTC",4577,26908,31485,25103.449875,1709.1489625,26812.5988375,83438,628
"SOLARINDS",3908,18155,22063,25212.039025,1519.411135,26731.45016,40765,12790
"NUVAMA",3325,15324,18649,24699.06455,1961.3196,26660.38415,9439,1475.1
"VBL",4489,15008,19497,25371.699975,1105.9599375,26477.6599125,62413,498
"ICICIGI",4188,24181,28369,25429.45808,1019.8351475,26449.2932275,28814,1878.8
"GRASIM",3660,8236,11896,25791.52565,548.872,26340.39765,80568,2810.9
"MAZDOCK",4868,33322,38190,23890.11872,2439.9057,26330.02442,65037,2447
"POWERGRID",5058,23750,28808,24905.51312,1172.49532,26078.00844,94678,257.15
"ADANIGREEN",4201,14016,18217,23698.32312,1374.3198,25072.64292,64610,930
"MUTHOOTFIN",2094,15720,17814,22736.096405,2045.5895075,24781.6859125,28210,3926.3
"SWIGGY",5452,9223,14675,24143.57478,544.37383,24687.94861,32219,340.2
"BHARATFORG",3122,14512,17634,22869.75865,1383.9374,24253.69605,29347,1458
"SBICARD",3456,10251,13707,23375.02912,834.15408,24209.1832,37614,839
"KEI",2999,7857,10856,23070.972785,910.4769275,23981.4497125,12440,4351
"NBCC",3349,12661,16010,22865.45105,1094.665,23960.11605,34595,103.75
"NHPC",4533,7661,12194,23369.04384,492.20416,23861.248,23637,80.13
"CUMMINSIND",2808,11843,14651,22776.97498,966.65038,23743.62536,36093,4057.5
"CGPOWER",4546,26765,31311,22015.0544,1587.264925,23602.319325,52747,560.65
"BANDHANBNK",4252,12961,17213,22262.50656,1331.91612,23594.42268,56955,144.71
"IRFC",4123,16018,20141,21511.948325,1706.699275,23218.6476,48136,122.22
"BOSCHLTD",2352,24489,26841,21867.723595,1173.08239,23040.805985,29617,36745
"UNITDSPR",4118,9374,13492,22138.21456,637.24512,22775.45968,54382,1350.5
"PRESTIGE",2977,16199,19176,20590.91505,1949.900355,22540.815405,18076,1524.1
"LUPIN",2272,10444,12716,21297.12315,1097.9010125,22395.0241625,26198,2174.1
"AUROPHARMA",3313,9626,12939,21596.63638,727.635975,22324.272355,58845,1166.3
"JSWENERGY",4362,5316,9678,21702.5508,417.8585,22120.4093,54739,493.8
"POLICYBZR",3606,14514,18120,20536.248215,896.37926,21432.627475,34824,1625
"PIDILITIND",2839,4711,7550,21093.808,285.7761,21379.5841,22072,1476.8
"MARICO",2265,6196,8461,20653.158,553.10988,21206.26788,36030,758.8
"KFINTECH",3884,5972,9856,20316.4525,401.5897,20718.0422,20671,1063.3
"COLPAL",4250,9075,13325,20143.969065,557.843895,20701.81296,55394,2107
"MAXHEALTH",3732,6334,10066,20261.4129375,353.96445,20615.3773875,51646,1033.5
"WAAREEENER",4123,25427,29550,18669.9516325,1730.0953075,20400.04694,40621,2549
"GLENMARK",2580,8779,11359,19470.485475,747.387,20217.872475,47089,1997
"SRF",3080,9804,12884,18775.16486,804.45976,19579.62462,29892,3027.4
"INOXWIND",4569,10373,14942,18711.1671175,833.19522,19544.3623375,52712,113
"HAVELLS",2507,11008,13515,17953.15625,961.46855,18914.6248,34696,1421
"GAIL",3456,11020,14476,18030.69954,672.359625,18703.059165,57473,164.4
"SUPREMEIND",2891,5707,8598,17871.22596,508.43352,18379.65948,20706,3492.5
"CAMS",3146,8213,11359,17172.6624,898.922325,18071.584725,20969,727
