"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",97167,157571077,157668244,1883743.4264535,5163777.0438945005,7047520.4703480005,9322569,25960.55
"BANKNIFTY",39362,2629160,2668522,813840.924053,391907.06737949996,1205747.9914325,960659,59238.55
"INDIGO",105246,1108318,1213564,795486.19635,207183.772185,1002669.968535,220099,4907.5
"RELIANCE",29398,165121,194519,227607.91485,13272.16325,240880.0781,362660,1539.9
"BSE",15678,141145,156823,168608.0335125,36509.884725,205117.9182375,64948,2803
"HDFCBANK",35253,139385,174638,195733.47574,9268.24701,205001.72275,496815,1001.8
"SBIN",26213,180864,207077,189439.16865,13624.958475,203064.127125,219535,955.4
"ICICIBANK",17700,68243,85943,173183.61809,7217.60473,180401.22282,230058,1387.5
"MIDCPNIFTY",6591,318280,324871,126512.54054,50655.29453,177167.83507,125347,13764.7
"ETERNAL",22367,87424,109791,157035.4711025,10609.966215,167645.4373175,180815,285.05
"BEL",23725,185067,208792,133711.32903,14195.911845,147907.240875,169858,386.9
"IDEA",15099,48127,63226,113818.39104,11143.66725,124962.05829,143681,10.28
"INFY",17556,105047,122603,113994.51068,8432.70584,122427.21652,282841,1608
"KOTAKBANK",12372,31807,44179,106722.75868,3059.16448,109781.92316,132878,2129.8
"JSWSTEEL",13396,42053,55449,103074.123915,4235.0942475,107309.2181625,112709,1119.1
"MCX",6891,71373,78264,89293.815475,16530.4577,105824.273175,53549,10185
"HAL",14037,128569,142606,91922.639595,12121.782975,104044.42257,147131,4280
"HEROMOTOCO",10134,59980,70114,94749.857835,7274.318865,102024.1767,69297,6152
"BAJFINANCE",12320,61470,73790,95576.36925,6124.3302,101700.69945,171841,1026.4
"CANBK",9058,39240,48298,88671.29535,5565.075975,94236.371325,50499,142.6
"VEDL",14361,61696,76057,85622.728705,7030.642645,92653.37135,155560,511.05
"BHARTIARTL",8790,46190,54980,87849.7345125,4464.807625,92314.5421375,153461,2087
"AXISBANK",11005,42453,53458,87995.029,3660.3065625,91655.3355625,159945,1269.9
"TECHM",8607,39072,47679,82105.19814,5920.56432,88025.76246,55137,1590
"ADANIENT",11588,45416,57004,80365.8744549,6083.0706242999995,86448.9450792,144137,2212
"DIXON",10643,113733,124376,73310.39802,11906.4946,85216.89262,115079,13539
"PNB",7727,48043,55770,73140.4912,7038.8632,80179.3544,61011,115.79
"TCS",11908,91132,103040,67771.74621,6270.9938375,74042.7400475,245259,3237.9
"INDUSINDBK",11411,34353,45764,68008.7044,3388.20356,71396.90796,100874,839
"DLF",11030,64605,75635,63648.5717175,5217.987555,68866.5592725,99305,686.4
"POLICYBZR",9177,36870,46047,61680.63741,5983.06968,67663.70709,34600,1912.3
"BIOCON",6391,33283,39674,62177.88675,5297.613,67475.49975,40669,381.6
"TATASTEEL",6915,38361,45276,63049.74885,4300.65735,67350.4062,99736,163.5
"HINDUNILVR",9136,39495,48631,64049.72358,2800.53657,66850.26015,41360,2318
"JIOFIN",9047,33812,42859,63677.166745,3143.79898,66820.965725,112934,296.15
"COFORGE",8349,37512,45861,61382.454675,5382.8123625,66765.2670375,63385,1948
"SHRIRAMFIN",8237,27877,36114,57490.0656,3565.2562275,61055.3218275,109238,833.35
"GMRAIRPORT",8293,28716,37009,58159.2037725,2829.4303725,60988.634145,53854,98.35
"INDUSTOWER",8155,26896,35051,56498.12759,3873.49403,60371.62162,72305,400.9
"CHOLAFIN",5104,23408,28512,55580.1095625,4167.748625,59747.8581875,29805,1721
"LT",8119,34158,42277,57081.2068225,2525.9991225,59607.205945,125401,3999.5
"WIPRO",6868,38979,45847,54110.6208,4306.8057,58417.4265,66348,260.83
"BANKBARODA",6414,25174,31588,53974.6058475,3129.8023575,57104.408205,58072,284.65
"IDFCFIRSTB",7334,16704,24038,54615.91541,2030.0498575,56645.9652675,64072,79
"HINDALCO",8958,45455,54413,51919.4487,4165.10591,56084.55461,151511,819.5
"POWERINDIA",4954,50317,55271,47269.78881,7643.22169,54913.0105,22307,19110
