"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",126980,402755827,402882807,2099814.1782475,7007855.8510025,9107670.02925,10842120,25232.5
"BANKNIFTY",33660,4280918,4314578,603281.72118,346091.382741,949373.103921,1193239,59404.2
"ICICIBANK",76995,185008,262003,747563.35339,10301.4744,757864.82779,344150,1375.6
"HDFCBANK",106652,538268,644920,547296.29581,20423.828975,567720.124785,768651,930.5
"HINDZINC",38979,494251,533230,323771.772065,82906.97541,406678.747475,115935,680
"RELIANCE",47098,520102,567200,331522.8817,22981.99605,354504.87775,597155,1392.4
"BAJFINANCE",36898,129107,166005,261861.491475,8689.521825,270551.0133,211776,931.75
"SBIN",32388,308450,340838,253172.9106,16403.48445,269576.39505,226350,1034.25
"KOTAKBANK",30141,27841,57982,258831.4958,2975.121,261806.6168,153270,423.8
"ETERNAL",34330,128081,162411,228135.036715,20745.67324,248880.709955,200384,271.25
"HINDALCO",32100,82889,114989,211182.51294,6005.70537,217188.21831,134198,929
"UPL",20239,108469,128708,203450.264935,13302.139064,216752.403999,53382,723
"MIDCPNIFTY",8480,935053,943533,136832.605584,77643.346452,214475.95203599997,224181,13307.9
"VEDL",21857,237998,259855,170670.305955,25273.985965,195944.29192,170589,670
"PNB",17400,95995,113395,176519.7792,10176.8904,186696.6696,64048,125.37
"GRASIM",26676,10978,37654,185038.85595,438.84935,185477.7053,91432,2711.4
"BHARTIARTL",18716,80286,99002,178491.4975075,4790.697905,183282.1954125,172876,1990
"CANBK",16847,49831,66678,175999.49595,7188.415875,183187.911825,59115,153.62
"LTIM",16592,264606,281198,150170.34069,22287.474525,172457.815215,44696,5957
"MCX",10258,66996,77254,153470.9310625,16370.9905625,169841.921625,63587,2373
"INFY",24386,147245,171631,162699.88684,5808.897,168508.78384,312881,1654.4
"IDEA",19612,43818,63430,145286.503455,7585.7203725,152872.2238275,168066,10.14
"JSWSTEEL",17620,21242,38862,139898.31678,2788.5920625,142686.9088425,100255,1161.6
"BEL",22518,148749,171267,132158.078745,10134.536445,142292.61519,167202,409
"BSE",12813,98596,111409,128902.2897,12125.5413375,141027.8310375,78555,2650.8
"BHEL",18855,186311,205166,125709.4300875,15005.8127625,140715.24285,98283,250.15
"AXISBANK",16546,74588,91134,134710.9903125,5322.3490625,140033.339375,215436,1296.3
"TATASTEEL",12506,61203,73709,128221.95925,7203.74435,135425.7036,97139,183.68
"JIOFIN",19991,109459,129450,126980.654115,8214.2699,135194.924015,142202,265.4
"HAL",19113,111216,130329,126736.51626,7671.45102,134407.96728,134351,4350
"DLF",24522,74376,98898,126488.4672975,7223.188005,133711.6553025,124234,610
"PERSISTENT",19252,85163,104415,123292.83994,10135.88689,133428.72683,53169,6306
"FEDERALBNK",8921,79830,88751,122856.45,9675.168,132531.618,40898,273.05
"ADANIENT",19495,81108,100603,125744.3672382,6498.455678099999,132242.82291629998,132399,2050
"HAVELLS",16822,175396,192218,116628.5556,11308.7395,127937.2951,49489,1344.9
"INDUSINDBK",18790,53014,71804,120727.22956,5689.87013,126417.09969,87050,905.15
"PATANJALI",27157,23938,51095,124304.40342,876.73149,125181.13491,66430,502
"TCS",21381,182632,204013,117315.843225,6428.345525,123744.18875,250566,3104.2
"WIPRO",16119,81448,97567,116773.9836,5570.343,122344.3266,101314,240
"MARUTI",13560,197896,211456,108500.05934,8240.186595,116740.245935,149400,15912
"ASHOKLEY",12142,48888,61030,111145.558,4686.552,115832.11,66498,180.12
"LT",16294,70850,87144,109404.7905125,2941.141175,112345.9316875,152783,3808
"ITC",19652,214657,234309,103930.74224,8170.22096,112100.9632,448121,326.15
"NATIONALUM",7309,44689,51998,99288.283125,9070.380375,108358.6635,39357,358.75
"POLYCAB",11163,101499,112662,100409.31345,6684.161025,107093.474475,62149,7067
"INDUSTOWER",14539,34869,49408,104323.09607,2724.99205,107048.08812,89549,415
"BANKBARODA",11404,53066,64470,101450.205675,5080.0420125,106530.2476875,66738,301.4
"DIXON",17100,196584,213684,92977.190945,13235.83603,106213.026975,191278,10714
"M&M",14162,61437,75599,102562.90492,3558.63064,106121.53556,128628,3557.5
"LAURUSLABS",11307,38758,50065,99422.061945,5850.81231,105272.874255,48456,1035.6
"OBEROIRLTY",17066,168441,185507,91689.402,10092.606685,101782.008685,33951,1527.6
"LTF",13448,109681,123129,91328.807925,9118.911825,100447.71975,55410,294.35
"INDIGO",12447,86415,98862,90480.00897,6356.526405,96836.535375,126354,4795
"SHRIRAMFIN",11067,31911,42978,91190.38599,4121.344425,95311.730415,91346,985.25
