symbol,vol_cum,vol_val_cum,price
NIFTY,39127,618589.84,24226.45
BANKNIFTY,14647,244708.10,55378.4
KOTAKBANK,30815,229674.85,373.8
BHEL,19331,191208.75,393.45
ADANIENT,19011,144943.81,2504.9
IDEA,16303,124193.28,10.59
ADANIPORTS,12322,100825.98,1737
RELIANCE,13641,98868.88,1450.8
MCX,5341,97597.21,2959.1
MARUTI,11073,76954.94,13649
LAURUSLABS,7963,78056.03,1168.2
HDFCBANK,18096,78322.36,783.2
HINDUNILVR,10245,72066.59,2345.5
BSE,4832,67023.55,3751.2
ICICIBANK,8343,75006.72,1277.2
SBIN,8957,72206.25,1082.4
VEDL,19441,64909.94,289.45
BANDHANBNK,8065,60859.27,209.2
ADANIPOWER,8084,65680.99,232.24
HAL,8898,60508.10,4577.5
INDUSTOWER,9750,66500.19,400.85
BHARTIARTL,7120,63651.29,1851
ADANIGREEN,7858,60346.49,1300.5
CHOLAFIN,5848,59440.83,1634.3
BAJAJ-AUTO,6603,51321.34,10189
AXISBANK,7374,59429.71,1279
LT,7689,55580.34,4129.8
M&M,8818,55592.31,3141
NATIONALUM,7489,56545.01,407.15
DMART,7938,52789.91,4367
ADANIENSOL,5187,48492.04,1412
MAZDOCK,9029,47894.29,2633.8
ETERNAL,7071,42910.79,252.03
AMBUJACEM,9064,42687.46,454
BAJFINANCE,5629,40459.14,965.05
CDSL,6965,41187.71,1246.3
MANAPPURAM,4487,41137.74,306.65
JINDALSTEL,5025,39867.12,1260.5
SONACOMS,5357,38493.22,580.35
SHRIRAMFIN,4568,36426.42,963.4
ITC,7005,35536.82,312.95
INFY,7177,34057.04,1176
TCS,7208,31256.68,2437.8
MIDCPNIFTY,1480,24900.07,14025.7
BEL,4815,30046.37,436
DRREDDY,3752,30338.02,1303.6
JIOFIN,4893,28975.24,252.79
RBLBANK,2614,28256.35,334.45
JSWSTEEL,3387,29242.61,1269.5
WAAREEENER,4588,25159.81,3117.1
ABCAPITAL,2512,27494.89,354.3
SUNPHARMA,3985,25567.60,1819
ASHOKLEY,3299,26654.25,162.65
HEROMOTOCO,3283,25493.56,5109.5
APLAPOLLO,3917,26096.70,1869.5
TMPV,9354,25967.09,344.7
HINDALCO,3409,25008.83,1046.1
ULTRACEMCO,4256,25040.63,11755
EICHERMOT,3323,24074.48,7220
POWERINDIA,2808,23673.60,33925
INDUSINDBK,3696,24333.89,933.95
TVSMOTOR,3981,24363.45,3519.7
FEDERALBNK,3293,23985.82,289.6
SIEMENS,2984,20333.22,3918
EXIDEIND,3224,21653.13,378.5
INDIGO,2927,19180.74,4328.9
DIXON,3587,20304.80,11254
SUZLON,4089,20428.30,55.39
WIPRO,3477,20407.24,201.28
INOXWIND,5740,20742.58,102.71
COALINDIA,2942,19251.43,480.65
POLYCAB,1887,19379.22,8226
LUPIN,1849,18462.37,2346.2
TATASTEEL,3267,19261.11,213.32
TITAN,2457,19039.96,4397
BANKBARODA,2346,18601.44,269.45
HINDZINC,2331,17423.71,605.15
PNB,2108,18749.35,110.15
AUBANK,1808,18730.80,1033.3
SAMMAANCAP,2915,18603.59,148.2
ABB,1883,17214.25,7329
TECHM,1976,17475.95,1458.7
CANBK,1803,16775.96,136.93
ASIANPAINT,2429,15197.86,2480.8
TATAPOWER,2408,15630.18,445.1
GMRAIRPORT,2196,15151.77,99.51
KEI,1840,15885.25,4962.8
ONGC,2211,14765.38,292.75
BHARATFORG,1620,15288.15,1850
COFORGE,3221,14233.38,1166.1
HCLTECH,3433,14460.60,1198.9
CUMMINSIND,1366,14576.02,5320
BAJAJFINSV,3081,13726.31,1784.4
PFC,2312,13675.28,454.05
GODREJPROP,2510,13106.05,1913.4
UNIONBANK,1922,14294.33,166.89
DALBHARAT,2159,13921.60,1996.3
GRASIM,1925,13697.92,2852.1
IDFCFIRSTB,1994,13100.77,70.4
RVNL,2904,13237.06,300.05
CROMPTON,2537,12564.40,276.35
COLPAL,2616,12700.27,2166
DLF,2512,12540.65,603.9
OFSS,1510,10960.34,9750
CGPOWER,1758,12330.98,823.25
ASTRAL,1926,12767.62,1562.2
POWERGRID,1946,11911.09,321.9
NTPC,1934,11721.84,402.1
NESTLEIND,1627,11925.49,1460.4
INDIANB,1376,11717.11,843
MAXHEALTH,2222,11812.87,1014.75
HYUNDAI,2327,11707.62,1832.2
DELHIVERY,1211,11864.04,469.25
VOLTAS,2053,11026.71,1457.8
PERSISTENT,2261,10903.16,4802.1
TRENT,2578,10772.40,4131.5
ANGELONE,1330,10331.24,312.75
OIL,1500,10106.64,479.45
BRITANNIA,1436,10433.77,5765
LTF,1684,10762.72,287.55
GLENMARK,1143,10384.36,2406.4
YESBANK,1625,10247.22,20.22
DIVISLAB,1404,9286.14,6562
BDL,2012,9675.52,1385.2
MUTHOOTFIN,1012,9750.16,3500.1
LODHA,2336,9705.44,924.3
HINDPETRO,1271,9754.36,378.15
GAIL,1862,9824.48,166.42
VBL,1653,9657.65,513.6
SBILIFE,1365,9426.42,1838.8
COCHINSHIP,1336,9174.89,1737.1
MOTILALOFS,1377,8833.53,836.7
BPCL,1377,8293.15,305.3
APOLLOHOSP,896,8724.77,7773.5
HDFCAMC,1107,9209.32,2752.6
JSWENERGY,1597,8964.45,560.65
MPHASIS,1391,8787.42,2265.4
RECLTD,1564,7911.21,360.2
SAIL,988,8691.02,185.99
NMDC,1304,7961.19,89.43
UPL,929,8228.79,644.45
KPITTECH,2304,7582.51,770
PAYTM,943,7645.74,1118.3
BIOCON,848,7755.45,365.8
KFINTECH,1694,7372.74,882.45
HAVELLS,1138,7152.56,1261.3
360ONE,1366,7273.60,1066.2
SRF,1402,7176.85,2553.8
SHREECEM,1206,7394.37,24815
KAYNES,1705,6973.47,4094.9
CIPLA,1396,6959.25,1326.5
GODREJCP,1333,7222.17,1084.2
SBICARD,1279,6617.82,644.45
MOTHERSON,897,6798.22,122.02
TORNTPHARM,1271,6780.10,4251.7
IOC,887,6232.76,143.79
PIDILITIND,967,6714.09,1384.5
PREMIERENE,1045,6141.29,1031.8
AMBER,778,6245.30,7997
JUBLFOOD,1071,6400.69,481.15
INDHOTEL,974,6311.63,645.25
TATACONSUM,903,5817.86,1168.1
BANKINDIA,802,5933.32,140.94
HDFCLIFE,881,5772.12,590.35
FORCEMOT,1185,5736.91,19526
SWIGGY,1550,5557.24,276.7
IEX,1135,5339.42,127.1
FORTIS,736,5441.80,955.35
AUROPHARMA,749,5738.87,1387.6
TATAELXSI,1310,5445.75,4168.6
SOLARINDS,715,5572.15,15610
BLUESTARCO,946,5508.96,1805.5
ICICIPRULI,1100,5354.78,527.35
PATANJALI,1252,5235.67,460.6
LTM,794,5032.76,4240.5
NHPC,907,4825.35,84.03
DABUR,866,4885.57,449.95
NAUKRI,1334,4945.31,986.8
KALYANKJIL,905,4439.53,416.45
CAMS,782,4315.40,737.15
POLICYBZR,741,4338.02,1666.3
IREDA,946,4497.85,136.56
UNITDSPR,844,4514.06,1325.3
LICI,729,4083.70,802
PRESTIGE,644,4211.43,1452.3
MARICO,434,4100.15,783.65
OBEROIRLTY,692,4113.72,1702.5
GODFRYPHLP,631,3931.33,2238.3
PIIND,729,3968.86,3080.2
PGEL,743,3783.95,535.75
SUPREMEIND,605,3901.63,3650
PETRONET,691,3687.55,280.1
ZYDUSLIFE,487,3962.46,901
PNBHOUSING,528,3622.94,1046.8
BOSCHLTD,391,3554.68,35990
PHOENIXLTD,502,3164.48,1798.7
ALKEM,497,3340.96,5335
CONCOR,479,3107.96,519.15
NBCC,519,3152.83,93.4
LICHSGFIN,536,3013.76,559.8
MANKIND,539,2770.82,2277.1
BAJAJHLDNG,500,2649.89,10482
NYKAA,318,2672.21,267
IRFC,542,2433.92,105.41
PAGEIND,454,2537.43,37135
ICICIGI,413,2381.53,1765.9
NAM-INDIA,376,2427.96,1037
NUVAMA,336,2238.97,1329
TIINDIA,340,2009.99,2958.8
MFSL,294,1895.67,1612.2
UNOMINDA,315,1966.63,1118.9
NIFTYNXT50,100,1770.39,70742.25
FINNIFTY,59,921.93,25991.95
VMM,238,1437.72,124.68
