"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",60464,41079339,41139803,1012028.0122745,2502912.2084460002,3514940.2207204998,8053158,25608.2
"BANKNIFTY",14359,1363352,1377711,259735.034679,190253.545032,449988.57971099997,916436,59924.3
"HAL",41718,243082,284800,250994.98326,42435.22971,293430.21297,174477,4044.8
"TRENT",38073,346669,384742,154609.49455,31508.97241,186118.46696,156895,4121.3
"INFY",26635,216224,242859,163984.5568,19375.8732,183360.43,334668,1523.2
"POLICYBZR",29888,126089,155977,160339.373285,20461.649495,180801.02278,50504,1564.2
"MCX",9804,55334,65138,149306.839375,27625.221875,176932.06125,62034,2402.1
"DIXON",24682,194791,219473,140269.49605,26733.509085,167003.005135,125395,11394
"CUMMINSIND",15577,114273,129850,132736.22618,20494.29562,153230.5218,30230,4396
"VEDL",17877,91454,109331,134652.19843,18210.096935,152862.295365,161259,656.4
"MIDCPNIFTY",6933,183536,190469,113714.65339200001,31674.077148,145388.73054,131313,13679.65
"BHARTIARTL",14149,72016,86165,135498.9625075,8944.1275925,144443.0901,156204,1990
"PFC",22901,96309,119210,122302.12475,14466.66078,136768.78553,95802,413.75
"HINDZINC",14088,85523,99611,104624.75296,19141.4162275,123766.1691875,119362,612.4
"AXISBANK",13504,82212,95716,112023.76925,7432.0721875,119455.8414375,185382,1323.2
"SBIN",12889,90569,103458,104032.14855,12398.15655,116430.3051,180600,1070.3
"TCS",17874,190192,208066,94411.85341,14218.38285,108630.23626,309489,2991.1
"KOTAKBANK",12020,25502,37522,98482.8168,3516.7344,101999.5512,143331,406.75
"ICICIBANK",9471,55152,64623,93413.74798,4819.36791,98233.11589,252410,1396.9
"IOC",10315,52466,62781,88287.3473625,9936.9879375,98224.3353,43894,175.6
"RELIANCE",11596,118763,130359,84218.24055,10340.3117,94558.55225,390605,1441.9
"TATASTEEL",6975,32800,39775,75109.1891,7759.93405,82869.12315,80698,197.14
"BSE",6488,34054,40542,69935.835975,11680.8274875,81616.6634625,58354,2879
"NATIONALUM",4902,21561,26463,65581.961625,7929.688125,73511.64975,41002,362.4
"HINDALCO",9695,32845,42540,63499.73077,5433.42121,68933.15198,94270,935.3
"MUTHOOTFIN",6407,21109,27516,63248.4028,5518.12965,68766.53245,33271,3586
"KAYNES",15910,66276,82186,57786.65907,9820.90158,67607.56065,80017,3614
"RECLTD",11551,49328,60879,61364.00046,6019.4372,67383.43766,116144,381.3
"INDIGO",8110,56174,64284,59231.147865,7303.09812,66534.245985,98851,4895
"HDFCBANK",11587,74105,85692,60779.71801,4560.90679,65340.6248,595937,949.9
"ETERNAL",7971,53180,61151,56103.780045,7479.0193725,63582.7994175,154835,285.7
"BEL",8845,75184,84029,54618.7045875,8517.79557,63136.5001575,186928,431.9
"TMPV",19011,98742,117753,56368.98,6650.69056,63019.67056,183578,373.45
"NYKAA",6956,27494,34450,56311.9746875,6219.090625,62531.0653125,20923,257.86
"TIINDIA",10035,84644,94679,48887.2339,10351.64752,59238.88142,32675,2371.8
"JUBLFOOD",7801,33932,41733,52140.452125,5842.528875,57982.981,29233,544.45
"IDEA",6568,22390,28958,53065.5201825,4838.157045,57903.6772275,138340,11.23
"WIPRO",7843,23299,31142,55176.6165,2497.0221,57673.6386,90836,233.08
"GODREJPROP",10696,63770,74466,49502.891405,7324.46,56827.351405,72471,1682.1
