"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",57949,39526773,39584722,970000.995379,2413829.75444,3383830.7498190003,8016833,25627.9
"BANKNIFTY",13276,1301737,1315013,240181.90550099997,181554.73503900002,421736.64054,916204,59992.55
"HAL",40843,239135,279978,245701.353285,41833.393845,287534.74713,174069,4037.7
"TRENT",37072,336668,373740,150478.54681,30653.7957,181132.34251,155886,4101.7
"INFY",25895,212984,238879,159460.3862,19076.68324,178537.06944,334357,1522.2
"MCX",9559,54326,63885,145609.9116875,27223.4796875,172833.391375,61780,2406.6
"DIXON",24162,190674,214836,137296.77591,26195.55642,163492.33233,125504,11430
"POLICYBZR",26182,109949,136131,139871.578595,17867.92189,157739.500485,49966,1553.9
"CUMMINSIND",15386,112232,127618,131055.45912,20092.5383,151147.99742,30037,4401.8
"VEDL",17539,90319,107858,132096.954665,18002.448335,150099.403,161157,657
"MIDCPNIFTY",6858,179224,186082,112480.260096,30981.91704,143462.177136,131133,13694.75
"BHARTIARTL",13820,68723,82543,132377.645975,8588.01577,140965.661745,155629,1990.2
"CUMMINSIND",15386,112232,127618,131055.45912,0,131055.45912,17459,4401.8
"PFC",21904,91154,113058,116964.31916,13752.63058,130716.94974,95601,411.05
"HINDZINC",13623,83667,97290,101127.22312,18802.5738775,119929.7969975,119443,610.9
"AXISBANK",13042,80717,93759,108199.532125,7290.3180625,115489.8501875,185094,1324.4
"TCS",17594,187301,204895,92937.7176,14015.1844175,106952.9020175,309519,2992.5
"SBIN",11641,84424,96065,93994.737525,11585.480025,105580.21755,178850,1073.3
"IOC",9812,50193,60005,83972.9943,9525.128925,93498.123225,43498,175.43
"ICICIBANK",8928,52684,61612,88082.74468,4571.77756,92654.52224,252652,1401
"RELIANCE",11327,115971,127298,82270.9994,10135.3589,92406.3583,390012,1442.6
"KOTAKBANK",10232,23311,33543,83926.2398,3172.2932,87098.533,142411,405.25
"TATASTEEL",6678,31205,37883,71882.35725,7321.52465,79203.8819,80623,196.79
"BSE",6295,32522,38817,67851.2999625,11057.160825,78908.4607875,58149,2886.6
"NATIONALUM",4815,21248,26063,64410.88125,7821.47175,72232.353,41048,363.15
"MUTHOOTFIN",6319,20921,27240,62378.106285,5476.205295,67854.31158,33276,3588.3
"HINDALCO",9517,32178,41695,62332.7936,5314.66138,67647.45498,94179,938.65
"KAYNES",15725,65213,80938,57116.7854,9693.05845,66809.84385,79659,3627
"INDIGO",7951,55330,63281,58062.77079,7216.25841,65279.0292,98679,4887.3
"RECLTD",11081,48072,59153,58880.9816,5875.5088,64756.4904,116014,381.25
"ETERNAL",7849,51642,59491,55254.5312225,7293.04103,62547.5722525,154574,286.3
"BEL",8689,74092,82781,53658.258435,8396.983215,62055.24165,186816,432.2
"NYKAA",6777,27118,33895,54864.9084375,6153.9225,61018.8309375,20857,257.45
"HDFCBANK",10638,72167,82805,55797.00247,4446.094565,60243.097035,595931,950.2
"TMPV",17801,93345,111146,52750.90256,6232.48416,58983.38672,183173,371
"TIINDIA",9880,83132,93012,48151.61868,10188.86774,58340.48642,32771,2361
"IDEA",6392,22185,28577,51642.8246025,4780.062165,56422.8867675,138294,11.22
"WIPRO",7666,22969,30635,53936.4735,2464.3788,56400.8523,90830,232.89
