"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",32044,18978919,19010963,536619.722925,1122990.1912645,1659609.9141895,7716329,25643
"BANKNIFTY",6544,607908,614452,118483.636236,83779.135944,202262.77218,916181,60095
"HAL",21447,129780,151227,128556.893745,22648.616925,151205.51067,172115,3962.5
"TRENT",20611,179520,200131,82886.25462,15941.66467,98827.91929,153016,4042.9
"MCX",5143,30517,35660,78637.0849375,15102.32975,93739.4146875,59557,2416.6
"DIXON",13597,106182,119779,77395.903855,14570.61455,91966.518405,124943,11204
"VEDL",10593,51760,62353,80014.231835,10454.01704,90468.248875,158906,647.8
"INFY",12455,109422,121877,77095.4288,9882.41248,86977.84128,323747,1540.1
"CUMMINSIND",8017,41042,49059,66982.92222,6887.43646,73870.35868,27459,4271.2
"AXISBANK",8310,46980,55290,69041.6258125,4218.456625,73260.0824375,181418,1322.2
"HINDZINC",7224,47792,55016,53542.13487,10669.41239,64211.54726,118258,601.15
"TCS",10148,109664,119812,53677.1737775,8196.7919425,61873.96572,303166,3018.3
"MIDCPNIFTY",2782,93754,96536,45634.966428,15971.97858,61606.945008,133040,13632.3
"SBIN",5395,44259,49654,43543.120575,6254.8275,49797.948075,173485,1075.4
"RELIANCE",5942,56897,62839,43183.3184,4909.32855,48092.64695,387412,1445.8
"MIDCPNIFTY",2782,93754,96536,45634.966428,0,45634.966428,19030,13632.3
"MIDCPNIFTY",2782,93754,96536,45634.966428,0,45634.966428,19030,13632.3
"MIDCPNIFTY",2782,93754,96536,45634.966428,0,45634.966428,19030,13632.3
"BHARTIARTL",4312,28745,33057,41303.629845,3804.4646675,45108.0945125,147643,2007.7
"ICICIBANK",4313,26599,30912,42596.56842,2261.52507,44858.09349,251459,1403.3
