"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",49465,33810491,33859956,828168.8765675,2058838.0194005,2887006.895968,7965858,25635.2
"BANKNIFTY",11337,1152991,1164328,205149.11987400003,161378.043153,366527.163027,917023,60022.3
"HAL",38340,226790,265130,230539.687845,39652.640415,270192.32826,173183,4068.6
"TRENT",32917,299831,332748,133337.29264,27273.57097,160610.86361,156975,4100.1
"INFY",22804,189706,212510,140569.44644,17082.7696,157652.21604,333592,1520
"MCX",8210,48560,56770,125219.228625,24274.330375,149493.559,60636,2410
"DIXON",21757,169724,191481,123511.88371,23416.43944,146928.32315,126829,11392
"VEDL",16320,84155,100475,122872.313385,16828.626545,139700.93993,161343,652.1
"CUMMINSIND",13480,98514,111994,114330.75182,17387.72996,131718.48178,29748,4338.1
"MIDCPNIFTY",5734,144013,149747,93968.979756,24889.894932,118858.874688,131678,13642.35
"BHARTIARTL",11566,54835,66401,110931.82129,6915.935875,117847.757165,152798,2001.5
"HINDZINC",12590,77915,90505,93375.7848625,17622.72995,110998.5148125,118981,608.95
"AXISBANK",12008,74713,86721,99629.48925,6806.12325,106435.6125,184390,1326.5
"TCS",16560,175955,192515,87495.605365,13208.3964775,100704.0018425,309285,2988.5
"SBIN",10519,76901,87420,84942.766875,10522.47795,95465.244825,177706,1074.5
"MIDCPNIFTY",5734,144013,149747,93968.979756,0,93968.979756,18993,13642.35
"PFC",13743,59300,73043,73597.57522,9434.81188,83032.3871,92446,407.4
"RELIANCE",9655,97909,107564,70151.8357,8554.37725,78706.21295,389748,1444.4
"KOTAKBANK",8805,20552,29357,72291.4722,2834.0244,75125.4966,141896,406.4
"ICICIBANK",7169,45414,52583,70770.9513,3801.32228,74572.27358,252376,1405.8
"TATASTEEL",5997,27719,33716,64492.60345,6473.8157,70966.41915,80476,196.18
"BSE",5573,25664,31237,60010.978575,8117.204925,68128.1835,57918,2874.1
"NATIONALUM",4388,19817,24205,58646.357625,7376.742,66023.099625,41071,361.65
"TATASTEEL",5997,27719,33716,64492.60345,0,64492.60345,46426,196.18
"MUTHOOTFIN",5785,19537,25322,57088.232245,5186.736005,62274.96825,33186,3573
"KAYNES",14145,58453,72598,51375.91515,8792.23538,60168.15053,78796,3631
"HINDALCO",8396,28963,37359,54957.6629,4796.86431,59754.52721,94378,935.3
