"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",58429,39672538,39730967,978027.4162489999,2423236.832224,3401264.248473,8016622,25596.3
"BANKNIFTY",13373,1308630,1322003,241932.74175599997,182347.06716,424279.808916,916248,59951.25
"HAL",40880,239583,280463,245924.380965,41883.16848,287807.549445,174054,4026
"TRENT",37242,337552,374794,151178.47127,30744.4858,181922.95707,155904,4111.2
"INFY",25943,213244,239187,159753.86964,19096.15216,178850.0218,334335,1521
"MCX",9595,54387,63982,146154.1021875,27263.568625,173417.6708125,61795,2403.4
"DIXON",24195,191193,215388,137484.862555,26251.805295,163736.66785,125375,11365
"POLICYBZR",26423,111632,138055,141213.837625,18155.09647,159368.934095,49993,1583.8
"CUMMINSIND",15398,112338,127736,131160.8972,20114.52208,151275.41928,30032,4399
"VEDL",17554,90456,108010,132209.90249,18021.23324,150231.13573,161197,655.1
"MIDCPNIFTY",6870,179834,186704,112677.74083200001,31072.231284,143749.972116,131160,13687.75
"BHARTIARTL",13844,69062,82906,132604.91875,8629.0757675,141233.9945175,155789,1985.8
"PFC",21982,91669,113651,117381.10683,13818.93903,131200.04586,95646,413.3
"HINDZINC",13632,83743,97375,101195.4958,18818.1142275,120013.6100275,119417,610.3
"AXISBANK",13127,81023,94150,108904.076375,7323.883875,116227.96025,185176,1323.1
"TCS",17646,187562,205208,93213.4462,14033.275865,107246.722065,309543,2989.5
"SBIN",11746,85252,96998,94841.2299,11696.1741,106537.404,178836,1071.8
"IOC",9930,50525,60455,84982.69065,9587.3695125,94570.0601625,43543,175.68
"ICICIBANK",8982,52821,61803,88613.53501,4589.7712,93203.30621,252650,1399.9
"KOTAKBANK",10915,23449,34364,89474.9672,3186.7374,92661.7046,142404,405.25
"RELIANCE",11356,116469,127825,82481.0362,10173.25105,92654.28725,389965,1441
"TATASTEEL",6688,31287,37975,71990.40585,7338.8997,79329.30555,80606,196.7
"BSE",6316,32687,39003,68078.015325,11097.9909,79176.006225,58167,2875.4
"NATIONALUM",4827,21291,26118,64571.5035,7843.818375,72415.321875,41043,362.15
"MUTHOOTFIN",6334,20949,27283,62526.4822875,5483.9876025,68010.46989,33266,3579.4
"HINDALCO",9523,32219,41742,62372.0783,5322.46085,67694.53915,94236,934.45
"KAYNES",15776,65343,81119,57301.42039,9710.445,67011.86539,79763,3608
"INDIGO",7963,55380,63343,58150.92213,7221.63711,65372.55924,98714,4885
"RECLTD",11094,48244,59338,58948.54644,5894.76132,64843.30776,115942,381.45
"ETERNAL",7861,51700,59561,55338.968995,7304.2515625,62643.2205575,154554,285.6
"BEL",8714,74316,83030,53811.4656,8426.5592325,62238.0248325,186824,431.65
"NYKAA",6780,27139,33919,54889.19625,6157.148125,61046.344375,20843,257.35
"HDFCBANK",10734,72286,83020,56300.35653,4452.698745,60753.055275,595975,950
"TMPV",17834,93812,111646,52849.90816,6261.49728,59111.40544,183329,370.8
"TIINDIA",9916,83314,93230,48322.4816,10206.06452,58528.54612,32722,2369.2
"IDEA",6413,22226,28639,51812.34186,4789.3038825,56601.6457425,138317,11.21
"WIPRO",7670,22997,30667,53964.6195,2467.1376,56431.7571,90850,232.6
"GODREJPROP",10490,62472,72962,48548.19464,7184.91829,55733.11293,72553,1680
"JUBLFOOD",7439,33350,40789,49698.000125,5744.719125,55442.71925,29185,543.85
"BAJFINANCE",6857,47733,54590,49497.52275,4461.92355,53959.4463,165981,964.35
"ADANIPORTS",6312,46525,52837,47039.6101925,6367.10007,53406.7102625,84144,1564.1
"MARUTI",6196,87521,93717,46623.07065,6707.391165,53330.461815,150333,15081
"DMART",7820,41014,48834,45495.642645,3818.55762,49314.200265,55460,3922.9
"DIVISLAB",7675,22021,29696,46554.81997,2741.80598,49296.62595,50295,6106.5
"NTPC",7959,76703,84662,43682.15115,4689.7476,48371.89875,128754,366.35
"LUPIN",4465,26107,30572,42250.6165875,5340.489905,47591.1064925,26952,2211.9
"SHRIRAMFIN",5475,17936,23411,44570.5307025,2453.76615,47024.2968525,72577,983
"JIOFIN",6626,44716,51342,42064.795785,4783.057695,46847.85348,127420,269.1
"SUZLON",9424,39096,48520,41377.4797575,3590.13778,44967.6175375,64260,47.7
"PNB",4111,13633,17744,40960.776,2570.7608,43531.5368,52897,123.75
"CANBK",4051,10992,15043,40786.1082,2151.36675,42937.47495,61956,148.19
"HINDPETRO",4140,18798,22938,39038.0984325,3620.5074225,42658.605855,31949,457.05
"HINDUNILVR",5205,38770,43975,37512.95814,4483.80714,41996.76528,77138,2353.9
"ABCAPITAL",3698,14186,17884,38906.54721,3072.39388,41978.94109,37935,340.2
"ADANIENT",5499,25011,30510,37861.7556624,4089.5671976999997,41951.3228601,114080,2218.5
"HEROMOTOCO",4145,39315,43460,35925.510975,5924.270955,41849.78193,52502,5778
"HCLTECH",6645,43265,49910,37724.697745,3301.802735,41026.50048,85932,1603.5
"M&M",5259,28099,33358,37543.48758,3457.12476,41000.61234,137259,3578.4
"HDFCAMC",4709,14962,19671,38964.62952,1985.8203,40950.44982,35902,2751.7
"UNOMINDA",5373,21344,26717,36051.739735,3395.1368,39446.876535,15797,1230.2
"TATAPOWER",6568,57700,64268,34689.65877,4271.428415,38961.087185,83098,362.85
"ITC",7013,73282,80295,35150.02256,3798.2376,38948.26016,283850,309.55
"LT",4851,37775,42626,34536.6119,3266.605545,37803.217445,153007,4058.2
"ABB",4761,21195,25956,34181.753725,3345.8974,37527.651125,37652,5789
"NMDC",5971,22485,28456,34062.224625,3092.77035,37154.994975,76257,84.19
"MAXHEALTH",5931,31561,37492,31968.49509,3577.20993,35545.70502,43937,1030.7
"RVNL",6761,21830,28591,31132.575795,2924.39917,34056.974965,89750,316.85
"VBL",6369,18219,24588,31730.553225,1677.0978,33407.651025,79638,437.85
"ONGC",4771,39121,43892,28696.2273,4481.327925,33177.555225,94618,268
"ASHOKLEY",3114,9345,12459,31091.3085,1900.86,32992.1685,48297,201.31
"COFORGE",4936,22337,27273,29784.77955,3024.3016125,32809.0811625,57583,1598.2
"BANKBARODA",3572,11590,15162,30462.32709,1756.9939725,32219.3210625,58752,289.65
"PERSISTENT",4772,29275,34047,28477.52964,3499.89587,31977.42551,40724,5988
"TECHM",2922,18072,20994,28934.5206,2735.65776,31670.17836,52736,1638.9
"POWERINDIA",3106,6437,9543,29543.41123,1841.043605,31384.454835,11387,19060
"MANAPPURAM",3330,8595,11925,28929.0852,2191.2477,31120.3329,29570,291.1
"INDUSINDBK",4666,10863,15529,29790.34912,1203.49943,30993.84855,68276,905.3
"DLF",5387,19913,25300,29084.0955075,1789.0772625,30873.17277,91516,656.55
"PAYTM",3306,9638,12944,28985.332235,1802.185425,30787.51766,42082,1206.7
"BHEL",3868,20107,23975,27524.7441,2911.4318625,30436.1759625,57517,268.2
"ADANIGREEN",4606,21887,26493,26658.16788,3719.15022,30377.3181,69068,958.75
"TITAN",3869,22393,26262,27776.4586225,2485.0635775,30261.5222,82039,4090.5
"BDL",5736,45983,51719,25122.172775,5085.265955,30207.43873,63805,1268.5
"JINDALSTEL",3660,14954,18614,26843.5368125,2264.485125,29108.0219375,32485,1175.1
"LTF",4212,12945,17157,26711.6769,1653.408225,28365.085125,41567,282.85
"SUNPHARMA",4341,34804,39145,25863.98066,2185.75868,28049.73934,124719,1703
"BPCL",3313,18484,21797,25207.6231625,2795.085965,28002.7091275,32232,380.2
"AMBER",3909,13679,17588,24856.60429,2568.08541,27424.6897,19469,6413.5
"AUROPHARMA",3995,9355,13350,26190.764545,1214.45676,27405.221305,51349,1190.4
"UPL",2471,10737,13208,24985.3191145,1831.7769394999998,26817.096054,37286,743.8
"JSWSTEEL",2914,13033,15947,24206.1506325,1869.477435,26075.6280675,95807,1230.9
"MAZDOCK",4859,20551,25410,23088.4892,2938.386,26026.8752,50587,2392.1
"SAIL",3346,6352,9698,24593.83852,1275.83991,25869.67843,55899,156.81
"CDSL",3644,13003,16647,23471.45373,1555.5749825,25027.0287125,48540,1350.7
"BANKINDIA",2750,8225,10975,23353.46208,1588.95308,24942.41516,19123,162.88
"IDFCFIRSTB",2950,9625,12575,23384.0752775,1329.3718375,24713.447115,51849,84.92
"LTIM",2679,13162,15841,22855.199775,1839.451695,24694.65147,27459,5675.5
"INDUSTOWER",3062,8426,11488,23060.1158,1297.80193,24357.91773,68011,440.45
"BHARATFORG",2832,8703,11535,22384.3761,1673.4658,24057.8419,24566,1577.6
"NHPC",4306,22564,26870,21431.62816,2317.32672,23748.95488,25937,79.95
"UNIONBANK",2741,11930,14671,21579.578925,2039.1997425,23618.7786675,30491,177.1
"CROMPTON",4803,11298,16101,21281.63094,1259.83566,22541.4666,47845,244.1
"FEDERALBNK",1467,5333,6800,21089.592,1066.8075,22156.3995,23206,287.5
"COALINDIA",3465,17919,21384,20004.937605,1877.22171,21882.159315,78469,429.15
"TVSMOTOR",3113,9369,12482,20284.4428325,1193.64833,21478.0911625,65471,3711.6
"SOLARINDS",2931,12991,15922,19597.58077,1630.036035,21227.616805,35985,13305
"OIL",2631,11463,14094,18481.87166,2111.59802,20593.46968,25204,499.05
"ASIANPAINT",3065,28434,31499,18638.378725,1912.815625,20551.19435,104108,2430
"EICHERMOT",2617,10738,13355,18945.78285,1201.23047,20147.01332,51761,7184
"KALYANKJIL",4014,17247,21261,17862.6394025,2258.65127,20121.2906725,54096,375.5
"GAIL",3831,8835,12666,19427.77872,637.55433,20065.33305,60533,159.75
"TATAELXSI",3335,18902,22237,18237.02707,1706.78791,19943.81498,30256,5411.5
"ANGELONE",2691,14345,17036,17807.6704,2064.535175,19872.205575,28691,2638.3
"POLYCAB",1964,8575,10539,18565.55335,1074.6969375,19640.2502875,37430,7528
"CHOLAFIN",1730,4873,6603,18717.574375,729.981375,19447.55575,31983,1722
"VOLTAS",3291,17095,20386,17534.5116,1868.7139875,19403.2255875,45782,1428
"BAJAJFINSV",3527,29898,33425,17743.7076,1622.389975,19366.097575,89618,2000
"POWERGRID",3161,30369,33530,17166.00904,2176.85945,19342.86849,93775,288.1
"NBCC",2721,5826,8547,17938.32885,1145.27855,19083.6074,22416,100.77
