symbol,vol_cum,vol_val_cum,price
NIFTY,15091,239442.24,24342.55
BANKNIFTY,7418,125130.51,55955.85
BAJAJ-AUTO,12328,97168.43,10563
POLYCAB,7464,82079.93,8816.5
PAYTM,7283,61513.69,1175.8
HDFCBANK,12416,54491.38,793.8
HEROMOTOCO,5636,45088.45,5301
KEI,5450,48496.80,4996
ICICIBANK,5113,46156.91,1286.9
BSE,2603,37581.37,3911.5
CGPOWER,5164,37325.19,858.5
M&M,5634,37878.16,3371
VEDL,8582,31538.07,315.65
HDFCLIFE,5060,34305.86,611.8
POLICYBZR,5631,33471.30,1658
SBIN,3824,31244.97,1095.3
RELIANCE,4020,29010.71,1444.1
BHEL,2597,26625.64,391.6
LT,3831,26728.26,3998
YESBANK,3589,25042.15,22.46
COFORGE,4796,23575.55,1301.4
MIDCPNIFTY,1028,17813.19,14384.85
TATASTEEL,3809,22895.40,218.38
TCS,5494,23082.55,2413.8
MCX,1110,20510.12,2979.9
INFY,4572,21419.26,1167.9
GODREJCP,3976,20754.38,1043.5
KPITTECH,6483,20003.08,714.45
KOTAKBANK,2781,21026.73,376.7
AMBER,2028,17972.11,8886.5
LUPIN,1703,17950.27,2464.3
HAL,2585,18198.14,4661
BRITANNIA,2506,18088.64,5754.5
AXISBANK,2165,17658.23,1302.9
ASHOKLEY,2015,16979.41,167.92
HINDZINC,2040,16093.20,638.1
POWERINDIA,1874,16084.34,34320
ETERNAL,2464,15499.84,258
INDUSINDBK,2438,16134.32,943.9
IDEA,1944,15659.70,11.17
BAJFINANCE,2069,15271.87,976.6
EICHERMOT,1835,13673.88,7408
SHREECEM,2139,13732.43,25680
INDIGO,1955,13301.18,4521.9
BHARTIARTL,1601,14017.95,1824.4
BLUESTARCO,2447,14135.45,1751.5
ADANIPOWER,1676,13836.89,231.2
ADANIENT,1604,12618.36,2520.1
SHRIRAMFIN,1588,13279.61,1008.55
HCLTECH,3192,13289.86,1186.2
BHARATFORG,1367,12889.42,1860.7
TVSMOTOR,1909,12283.47,3677.6
LAURUSLABS,1205,12284.55,1194.7
SRF,2201,11936.27,2726.6
DRREDDY,1396,11335.98,1301.1
BEL,1808,11311.84,435.1
ULTRACEMCO,1813,11096.19,12190
PNB,1227,10839.24,109.65
ADANIPORTS,1280,10587.47,1720.4
BIOCON,1085,10421.36,382.65
TITAN,1397,10634.97,4306
CANBK,1147,10689.06,136.58
CROMPTON,2011,10457.54,289.55
MARUTI,1282,8877.44,13737
PIDILITIND,1385,9997.39,1438.6
ABCAPITAL,792,9206.73,372.65
TMPV,3259,9449.20,358.05
COALINDIA,1505,9535.22,468.45
DIXON,1628,9242.12,11329
ABB,1034,9314.63,7186
AMBUJACEM,1963,9342.85,449.35
HINDALCO,1222,9021.37,1051.6
ASIANPAINT,1384,8759.92,2523.1
DELHIVERY,923,9214.47,479.6
JIOFIN,1571,9368.18,251.32
KAYNES,1907,8328.44,4335.7
NATIONALUM,1171,8961.13,407
MOTHERSON,1098,8675.37,127.6
LICHSGFIN,1424,8411.08,589.3
OFSS,1175,8338.84,9470
ITC,1674,8355.44,309.2
CDSL,1343,8171.39,1269.6
CUMMINSIND,808,8703.44,5335.5
ADANIENSOL,790,7470.41,1383.5
HINDPETRO,968,7790.49,392.85
RECLTD,1493,7607.21,362.25
LTF,1199,8111.72,302.15
EXIDEIND,1215,7709.49,351.65
ADANIGREEN,848,6956.66,1359
TATAPOWER,1119,7206.17,439.65
WIPRO,1250,7313.09,198.45
HINDUNILVR,1003,6936.34,2291.5
IOC,957,6903.82,146.28
NTPC,1133,6758.36,394.25
JINDALSTEL,839,6716.77,1280
GLENMARK,787,7085.19,2391.9
GMRAIRPORT,943,6632.38,100.2
BANDHANBNK,863,6469.97,206.66
BPCL,1014,6266.80,308.25
AUROPHARMA,785,6446.95,1483.6
GRASIM,840,6226.45,2957.1
BANKBARODA,783,6212.84,268.85
WAAREEENER,1068,6072.26,3204
VOLTAS,1141,5870.04,1356.7
KFINTECH,1307,6043.59,923.4
PFC,923,5586.30,464.05
TRENT,1245,5406.09,4315.1
NMDC,967,5927.19,90.71
ONGC,849,5398.22,281.15
CAMS,862,5317.82,819
SUNPHARMA,811,5245.53,1836.1
FEDERALBNK,763,5593.21,290
BOSCHLTD,592,5561.40,37545
INDUSTOWER,766,5326.68,406.6
DLF,1075,5443.27,609.05
ANGELONE,636,5113.73,318.5
MANAPPURAM,578,5438.27,312.55
KALYANKJIL,1106,5389.44,409.85
NYKAA,605,5249.90,275.85
PERSISTENT,990,4970.42,4974.1
COCHINSHIP,686,4892.91,1772
POWERGRID,844,5054.43,313.5
CHOLAFIN,481,5173.80,1700.7
MUTHOOTFIN,491,4832.69,3572.8
JSWSTEEL,581,5041.46,1278.1
HAVELLS,778,4916.07,1266.6
JSWENERGY,886,5058.68,570.95
OIL,759,4828.91,455
MARICO,476,4685.75,815.15
PREMIERENE,795,4611.42,1015
AUBANK,431,4432.57,1023.2
UNIONBANK,590,4422.19,167.71
ICICIPRULI,835,4302.85,555.8
MOTILALOFS,573,3986.08,891.55
SBICARD,803,4179.39,646.35
PETRONET,741,3982.63,279.1
NESTLEIND,566,4209.56,1481.9
IDFCFIRSTB,633,4102.87,69.7
SBILIFE,581,4086.41,1873.6
DABUR,697,4055.07,462.15
APLAPOLLO,542,3709.48,1955.5
GODREJPROP,756,3880.13,1844
TECHM,425,3720.06,1463.2
RVNL,832,3848.50,303.8
SUZLON,724,3566.32,53.8
HYUNDAI,721,3652.07,1837
SAIL,420,3716.47,187.25
MAZDOCK,632,3359.82,2641.3
INDHOTEL,503,3381.71,665.3
TATACONSUM,549,3460.83,1137.2
SAMMAANCAP,538,3481.05,149.25
INDIANB,361,3138.96,864.7
UNOMINDA,466,2899.45,1125
BANKINDIA,421,3120.79,141.2
RBLBANK,264,2816.98,332.45
MANKIND,538,2868.66,2355.6
DALBHARAT,463,2977.87,1971.8
LODHA,652,2782.48,934.75
PGEL,535,2767.22,538.1
TIINDIA,434,2585.20,2956.3
SOLARINDS,352,2763.19,15566
NUVAMA,369,2618.89,1415
CIPLA,469,2418.07,1368.5
ASTRAL,374,2508.78,1582.1
HDFCAMC,290,2452.17,2799.8
GODFRYPHLP,381,2442.07,2329.4
TATAELXSI,550,2355.38,4278
VBL,429,2478.92,507.85
SWIGGY,643,2366.17,279.4
LICI,421,2381.55,804.05
INOXWIND,595,2285.12,106.3
NAM-INDIA,341,2331.49,1095.2
SUPREMEIND,352,2312.58,3717
JUBLFOOD,394,2322.89,469.95
MPHASIS,368,2245.61,2197
TORNTPHARM,418,2292.70,4390.8
BAJAJFINSV,441,2037.62,1833.3
PNBHOUSING,331,2283.93,1056.6
DMART,296,1956.61,4389.1
GAIL,413,2179.90,166.08
APOLLOHOSP,205,2003.27,7758
SIEMENS,291,1961.33,3828.4
MAXHEALTH,371,1987.13,1013.45
UPL,217,1944.60,653.55
PHOENIXLTD,280,1800.41,1825.7
FORCEMOT,341,1714.68,20115
PATANJALI,426,1765.94,457.25
IRFC,354,1631.05,106.47
SONACOMS,236,1694.82,580.55
ZYDUSLIFE,181,1541.92,939.65
PIIND,300,1626.45,3101.8
LTM,229,1458.39,4282.8
MFSL,233,1550.10,1648.4
IEX,283,1369.82,130.24
NAUKRI,403,1493.19,971
DIVISLAB,201,1358.58,6701
FINNIFTY,44,700.73,26442.45
NHPC,273,1445.98,82.77
ICICIGI,232,1378.12,1826.8
NBCC,229,1414.00,94.25
UNITDSPR,257,1336.63,1288.8
PRESTIGE,211,1382.64,1442.6
BDL,251,1240.89,1405.1
PAGEIND,242,1367.10,37380
360ONE,242,1327.69,1085.6
FORTIS,166,1234.50,951.45
IREDA,215,1013.90,135.9
COLPAL,184,891.44,2149.1
ALKEM,133,926.43,5571
VMM,158,963.37,124.91
OBEROIRLTY,156,915.76,1662.5
CONCOR,128,844.68,524.3
BAJAJHLDNG,122,652.55,10596
NIFTYNXT50,29,522.22,71682.95
