symbol,vol_cum,vol_val_cum,price
NIFTY,15621,247849.82,24373.75
BANKNIFTY,7756,130836.24,56074.1
BAJAJ-AUTO,12523,98712.05,10574
POLYCAB,7866,86540.05,8850
PAYTM,7483,63221.94,1172.3
HDFCBANK,13835,60724.01,796.75
HEROMOTOCO,5821,46569.78,5317
KEI,5639,50151.09,5017.2
ICICIBANK,5473,49417.29,1289.9
BSE,2741,39595.96,3901.7
CGPOWER,5666,41013.31,859.5
M&M,5798,38987.66,3376.9
HDFCLIFE,6082,41238.75,615.9
POLICYBZR,5967,35424.83,1657.1
VEDL,8932,32811.46,314.2
SBIN,3943,32216.10,1097.5
RELIANCE,4211,30395.09,1444.7
BHEL,2682,27502.39,391.9
MIDCPNIFTY,1284,22242.97,14389.5
LT,3942,27500.80,3999.5
YESBANK,3692,25761.57,22.53
COFORGE,4999,24565.75,1295.6
TCS,5777,24272.08,2415
KOTAKBANK,3317,25101.80,379.35
TATASTEEL,3880,23323.04,218.33
INFY,4858,22760.56,1167.5
GODREJCP,4190,21868.48,1041.7
MCX,1129,20865.18,2979.2
AMBER,2213,19622.88,8861
KPITTECH,6780,20903.40,720.65
HAL,2717,19125.81,4660
LUPIN,1772,18677.41,2469.6
BRITANNIA,2636,19024.10,5750.5
AXISBANK,2241,18279.51,1303.1
ASHOKLEY,2063,17384.01,168.38
POWERINDIA,2035,17476.93,34435
IDEA,2198,17689.28,11.14
HINDZINC,2064,16281.25,637.7
ETERNAL,2538,15964.63,258.2
INDUSINDBK,2494,16505.69,944.1
BAJFINANCE,2131,15727.49,978.65
EICHERMOT,1896,14127.82,7420
SHREECEM,2179,13989.31,25780
BLUESTARCO,2584,14913.50,1762.4
ADANIENT,1769,13909.49,2518.7
BHARTIARTL,1664,14567.26,1825.4
INDIGO,2015,13709.89,4520.3
BHARATFORG,1494,14072.65,1863.9
ADANIPOWER,1715,14158.75,231.15
SHRIRAMFIN,1620,13546.98,1010.85
HCLTECH,3261,13581.28,1186.7
TVSMOTOR,1949,12541.72,3688.6
LAURUSLABS,1236,12600.97,1197.2
SRF,2286,12401.76,2730.5
TITAN,1618,12304.88,4308.8
CROMPTON,2338,12173.02,290
