symbol,vol_cum,vol_val_cum,price
NIFTY,59208,939934.98,24362.9
BANKNIFTY,26134,441220.42,56052.15
BHARATFORG,18981,184404.89,1967.3
HDFCBANK,42344,185692.79,795.6
POLYCAB,13806,153252.82,8915.5
BAJAJ-AUTO,18418,145687.00,10624.5
BHEL,12711,133299.26,403.9
ICICIBANK,16745,151382.55,1282.3
COALINDIA,20691,129387.53,458.35
SBIN,14716,119980.02,1097.2
PAYTM,12335,104658.84,1176.7
HDFCLIFE,16815,115163.32,625.8
MIDCPNIFTY,5469,95213.74,14535.6
HEROMOTOCO,12381,99941.41,5399.5
BSE,6220,90244.87,3960
CGPOWER,12283,89849.94,860.85
M&M,13538,91392.92,3391.7
LT,13171,92272.70,4027.3
KOTAKBANK,11578,88082.51,380
KEI,9314,82710.73,5088
RELIANCE,10868,78570.74,1440.6
POLICYBZR,13868,81308.08,1691.2
ASHOKLEY,8795,75048.39,171.33
TCS,16675,69984.01,2409.2
TITAN,9085,68473.60,4310.7
VEDL,17609,63950.05,306.5
HAL,8689,61683.89,4766
INDIGO,9218,62589.15,4492
MCX,3315,61426.26,3023.9
INFY,14160,66351.02,1170
DIXON,11059,62151.26,11155
ABB,6585,58700.71,7160.5
COFORGE,10549,51518.77,1292.9
HINDPETRO,6353,51346.74,398.4
YESBANK,7107,49794.46,22.58
LUPIN,4553,47965.53,2438.5
AXISBANK,6012,48856.73,1284.7
SHRIRAMFIN,5637,47283.46,1016.5
BHARTIARTL,5421,47341.90,1830.2
BLUESTARCO,8060,46498.29,1753
BRITANNIA,6225,45126.94,5823
AMBER,4548,40428.22,8808.5
BEL,6987,43830.91,439.2
LAURUSLABS,4140,42618.66,1205.7
TATASTEEL,6825,40995.27,217.21
GODREJCP,8130,42392.18,1039.4
DRREDDY,5115,41568.59,1305.5
BPCL,6708,41187.54,308.95
KPITTECH,13169,40344.98,719.85
JIOFIN,7053,41933.15,251.35
ADANIPOWER,5011,41490.50,230.31
WIPRO,7141,41545.31,197.88
BAJFINANCE,5184,38108.36,975.4
IDEA,4717,37970.81,11.23
ETERNAL,5880,36918.11,257.58
NTPC,6204,37307.34,399.9
ADANIENT,4148,32575.67,2518.8
EICHERMOT,4438,33026.55,7370
HINDZINC,3992,31506.36,642.2
CROMPTON,6651,34857.06,289.2
MARUTI,4593,31760.69,13832
ADANIPORTS,4111,33946.66,1735.5
CANBK,3792,35166.73,136.31
POWERINDIA,3680,31745.19,34705
HCLTECH,7888,32831.30,1188.8
HINDUNILVR,4458,30697.56,2278.1
INDUSTOWER,4629,31965.60,404.85
DELHIVERY,2923,29237.87,479.9
ADANIGREEN,3389,27873.96,1363.9
CUMMINSIND,2816,30377.94,5381.5
MOTHERSON,3778,30064.85,130.15
AMBUJACEM,6200,29398.97,449.1
ASIANPAINT,4356,27649.32,2532
TVSMOTOR,4244,27469.51,3707
BIOCON,2861,27501.38,381.55
HINDALCO,3812,28201.61,1055
BOSCHLTD,2904,27709.30,38050
RVNL,6162,28638.87,308.7
SRF,5004,27381.50,2762.3
PNB,3078,27141.60,109.39
ULTRACEMCO,4429,27093.73,12196
SHREECEM,3882,24953.93,25690
CDSL,4445,26943.75,1272.7
IOC,3648,26275.82,147.22
EXIDEIND,4037,25908.36,362.05
VOLTAS,4900,25062.60,1362.4
INDUSINDBK,3842,25454.22,944.55
ADANIENSOL,2574,24277.64,1383.2
RECLTD,4652,23831.52,362.2
KAYNES,5343,23241.05,4355
CHOLAFIN,2326,24768.20,1683.2
GLENMARK,2800,25140.90,2364.5
ABCAPITAL,1923,22285.71,370
FEDERALBNK,3169,23380.87,296.5
ONGC,3502,22385.64,283
PIDILITIND,3134,22652.92,1437.7
TATAPOWER,3446,22142.15,439.7
TMPV,7602,22052.76,360.5
JINDALSTEL,2792,22254.46,1260
NATIONALUM,2936,22438.93,404.5
BANKBARODA,2782,22053.12,269.95
LTF,3266,22156.34,303.25
BDL,3936,19782.22,1447.1
NMDC,3387,20810.57,90.48
MUTHOOTFIN,1949,19264.29,3577.1
HYUNDAI,4334,21755.56,1842.6
ITC,4012,20023.71,309.45
SBICARD,4160,21532.00,648.85
TRENT,4539,19721.23,4314
PFC,3275,19825.19,461.5
GMRAIRPORT,2817,19802.09,100.78
SONACOMS,2741,19614.60,579.5
AUBANK,1805,18678.40,1035
DLF,3705,18829.98,616.7
JSWENERGY,3370,19330.46,577.6
SUNPHARMA,2806,18109.03,1834.5
OIL,2905,18524.75,453.5
HAVELLS,2896,18358.29,1265.9
DABUR,3026,17731.37,470.7
BANDHANBNK,2320,17367.80,206.94
LICHSGFIN,2985,17643.25,587.75
KALYANKJIL,3670,17754.77,409.35
GRASIM,2382,17634.47,2962
CAMS,2591,16088.85,834.9
MAZDOCK,3055,16298.86,2668.2
MANAPPURAM,1764,16656.98,315.3
PERSISTENT,3307,16492.78,4991
UPL,1856,16587.42,651.8
MARICO,1643,16282.33,829.25
NUVAMA,2291,16259.20,1459.2
GODREJPROP,3062,15668.96,1859.3
RBLBANK,1499,15949.58,334.85
JSWSTEEL,1801,15658.19,1279.6
OFSS,2174,15438.92,9500
AUROPHARMA,1848,15155.18,1472
ANGELONE,1800,14471.80,322.65
SAIL,1783,15898.16,188.8
WAAREEENER,2601,14740.87,3225.9
NESTLEIND,2059,15224.05,1476.8
SAMMAANCAP,2328,15122.37,151.77
TATACONSUM,2351,14870.94,1151.9
GODFRYPHLP,2196,14256.44,2339.9
POWERGRID,2366,14197.51,314.6
MFSL,2160,14558.26,1701.8
SBILIFE,2049,14411.88,1872.7
UNIONBANK,1917,14294.41,167.42
KFINTECH,3094,14307.53,935.4
ICICIPRULI,2610,13583.81,564.1
TECHM,1544,13472.94,1453.8
FORCEMOT,2476,12764.62,20952
SUZLON,2555,12720.91,55.05
INDHOTEL,1888,12699.45,670.55
COCHINSHIP,1688,12091.54,1793.5
NYKAA,1439,12390.67,271.35
IDFCFIRSTB,1854,12039.79,69.89
PREMIERENE,2119,12294.58,1019.8
JUBLFOOD,2039,11975.11,474.7
APLAPOLLO,1621,11140.45,1970.7
UNOMINDA,1841,11432.58,1139.4
ASTRAL,1637,11019.96,1576.8
NHPC,2251,11787.04,82.04
HDFCAMC,1336,11306.80,2827.5
CIPLA,2028,10468.53,1368.7
TATAELXSI,2586,11021.68,4307.6
SIEMENS,1538,10341.64,3868
MANKIND,2037,10832.76,2364
PETRONET,1923,10319.20,282.8
INDIANB,1160,10076.42,864.1
IEX,1980,9696.12,133.04
LICI,1822,10331.81,811.9
BANKINDIA,1303,9618.98,140.79
LODHA,2236,9561.66,953.05
APOLLOHOSP,878,8605.85,7832
SOLARINDS,1168,9211.40,15822
VBL,1601,9267.96,512.5
INOXWIND,2417,9200.65,105.96
ICICIGI,1437,8636.71,1851.7
PGEL,1688,8658.32,537
DMART,1240,8175.72,4385.3
MPHASIS,1422,8634.73,2204.6
TIINDIA,1332,7966.14,3012
DALBHARAT,1288,8307.28,1978.8
LTM,1251,7895.67,4248
GAIL,1469,7768.83,167.8
NAM-INDIA,1144,7849.84,1099.4
NAUKRI,2093,7753.42,988.3
TORNTPHARM,1398,7657.41,4361.8
DIVISLAB,1068,7231.36,6696.5
MAXHEALTH,1422,7593.19,1013.7
BAJAJFINSV,1460,6715.94,1826.3
IRFC,1418,6514.55,107.17
CONCOR,1031,6811.25,525.85
PIIND,1197,6515.77,3106.7
360ONE,1256,6943.62,1109.5
SWIGGY,1848,6795.89,281.4
MOTILALOFS,915,6341.78,888.25
PNBHOUSING,977,6735.24,1057.3
SUPREMEIND,977,6364.03,3660.5
NBCC,977,6066.53,95.67
PATANJALI,1396,5788.24,459.95
COLPAL,1164,5670.50,2179.9
UNITDSPR,1042,5395.98,1282.6
IREDA,1155,5473.04,136.25
PRESTIGE,808,5318.40,1467.9
OBEROIRLTY,897,5263.47,1672.8
ZYDUSLIFE,477,4055.60,938.9
PAGEIND,779,4387.00,37305
PHOENIXLTD,598,3845.20,1830.9
FINNIFTY,117,1864.53,26467.05
FORTIS,514,3809.36,950.6
ALKEM,496,3456.70,5578.5
BAJAJHLDNG,568,3032.94,10606
VMM,364,2213.32,125
NIFTYNXT50,113,2035.40,71875.15
