Nifty IT,Nifty Media,Nifty Private Bank,Nifty Realty,Nifty CPSE,Nifty REITs & InvITs,Nifty PSU Bank,Nifty Bank,Nifty Auto,Nifty FMCG,Nifty Metal,Nifty Consumer Durables,Nifty Oil and Gas,Nifty Capital Markets,Nifty Midcap Liquid 15,Nifty100 Liquid 15,Nifty Cement,Nifty India Railways PSU,Nifty India Tourism,Nifty50 Shariah,Nifty India Defence,Nifty Chemicals,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Healthcare,Nifty Pharma,Nifty MidSmall IT & Telecom,Nifty PSE,Nifty India Internet,Nifty Shariah 25,Nifty Financial Services Ex Bank,Nifty MidSmall Healthcare,Nifty Commodities,Nifty India Consumption,Nifty India Digital,Nifty Infrastructure,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty Transportation & Logistics,Nifty MidSmall Financial Services,Nifty Core Housing,Nifty EV & New Age Automotive,Nifty India Select 5 Corporate Groups (MAATR),Nifty Waves,Nifty Energy,Nifty500 Healthcare,Nifty Conglomerate 50,Nifty Housing,Nifty100 ESG Sector Leaders,Nifty India Manufacturing,Nifty India New Age Consumption,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty Rural,Nifty100 Enhanced ESG,Nifty100 ESG,Nifty India Infrastructure & Logistics,Nifty IPO,Nifty500 Shariah,Nifty SME Emerge,OTHERS
PERSISTENT,SAREGAMA,BANDHANBNK,LODHA,ONGC,ANANTAM,UNIONBANK,ICICIBANK,BAJAJ-AUTO,PATANJALI,SAIL,DIXON,IGL,MOTILALOFS,LUPIN,SBIN,ULTRACEMCO,BEML,LEMONTREE,TMPV,MTARTECH,BAYERCROP,SBIN,SBIN,MAXHEALTH,WOCKPHARMA,TATAELXSI,BPCL,NAZARA,DIXON,MUTHOOTFIN,PPLPHARMA,PIIND,NAUKRI,INTELLECT,NTPC,DIXON,ASHOKLEY,M&M,COLPAL,NTPC,M&M,MUTHOOTFIN,JKCEMENT,EXIDEIND,ADANIPOWER,MUKTAARTS,POWERGRID,MEDANTA,TITAN,AXISBANK,ADANIPOWER,EICHERMOT,INDHOTEL,EICHERMOT,DELHIVERY,CHOLAFIN,AXISBANK,AXISBANK,TATAPOWER,THELEELA,BATAINDIA,REFRACTORY,
,,,,OIL,MINDSPACE,UCOBANK,FEDERALBNK,TVSMOTOR,GODREJCP,ADANIENT,PGEL,IOC,IEX,YESBANK,TMPV,RAMCOCEM,RAILTEL,BLS,MAXHEALTH,HAL,PIDILITIND,ICICIBANK,ICICIBANK,LUPIN,IPCALAB,LTTS,NMDC,MOTILALOFS,CUMMINSIND,HDFCAMC,GLAXO,APLAPOLLO,BHARTIARTL,TATAELXSI,INDIGO,NYKAA,SCHAEFFLER,INDIGO,INDIGO,INDIGO,EXIDEIND,HDFCAMC,DALBHARAT,MSUMI,TITAN,DISHTV,GAIL,TORNTPHARM,JUBLINGREA,ADANIPOWER,HINDZINC,HINDZINC,EICHERMOT,MANKIND,PETRONET,ICICIPRULI,INDHOTEL,INDHOTEL,IRCON,ARSSBL,HFCL,FELIX,
,,,,,,CANBK,YESBANK,SONACOMS,DABUR,JINDALSTEL,KAJARIACER,RELIANCE,NAM-INDIA,HEROMOTOCO,BEL,BIRLACORPN,SAIL,TBOTEK,TATACONSUM,BEL,TATACHEM,HDFCLIFE,HDFCLIFE,IPCALAB,JBCHEPHARM,TATACOMM,HAL,NYKAA,ULTRACEMCO,PNBHOUSING,LAURUSLABS,JSWSTEEL,INDIGO,ETERNAL,ASHOKLEY,UBL,ABB,ASHOKLEY,UNITDSPR,SHRIRAMFIN,INDIGO,SAMMAANCAP,CROMPTON,ATHERENERG,HINDALCO,CREATIVEYE,POWERINDIA,SYNGENE,JUBLPHARMA,BANKBARODA,CHOLAFIN,MANKIND,TITAN,HSCL,ELGIEQUIP,NESTLEIND,ADANIPOWER,ADANIPOWER,BHEL,WAKEFIT,CYIENT,OWAIS,
,,,,,,,UNIONBANK,MOTHERSON,BRITANNIA,VEDL,BLUESTARCO,ONGC,ANANDRATHI,BSE,ADANIENT,ACC,BEL,JUBLFOOD,HINDUNILVR,MIDHANI,CHAMBLFERT,JIOFIN,JIOFIN,ZYDUSLIFE,ZYDUSLIFE,BSOFT,BEL,FIRSTCRY,PIDILITIND,360ONE,POLYMED,UPL,UNITDSPR,LTTS,GODREJPROP,BERGEPAINT,CUMMINSIND,ETERNAL,ASIANPAINT,ETERNAL,ASHOKLEY,PNBHOUSING,DIXON,ASHOKLEY,M&M,BTML,NHPC,KIMS,HINDALCO,IDFCFIRSTB,TITAN,HSCL,M&M,HINDALCO,RKFORGE,MARICO,EICHERMOT,EICHERMOT,DELHIVERY,JSWCEMENT,COHANCE,VIESL,
,,,,,,,CANBK,HEROMOTOCO,ITC,NATIONALUM,WHIRLPOOL,OIL,BSE,SUZLON,MARUTI,SHREECEM,HINDPETRO,IRCTC,TECHM,SOLARINDS,ATUL,ICICIGI,ICICIGI,APOLLOHOSP,GLENMARK,MPHASIS,HINDPETRO,INDIAMART,LUPIN,PAYTM,ASTERDM,TORNTPOWER,ASIANPAINT,TATACOMM,CGPOWER,BRIGADE,UBL,TMPV,ETERNAL,BAJFINANCE,SCHAEFFLER,360ONE,ULTRACEMCO,SCHAEFFLER,TTML,GTPL,CASTROLIND,AUROPHARMA,M&M,NHPC,NESTLEIND,HINDALCO,VGUARD,NATCOPHARM,TIINDIA,M&M,BANKBARODA,BANKBARODA,PETRONET,WEWORK,GRAVITA,APEXECO,
,,,,,,,,MARUTI,RADICO,HINDCOPPER,HAVELLS,ATGL,NUVAMA,PERSISTENT,RELIANCE,GRASIM,IRCTC,ITCHOTELS,TCS,MAZDOCK,SUMICHEM,SBILIFE,SBILIFE,GLENMARK,DIVISLAB,IDEA,PFC,POLICYBZR,TATACONSUM,IRFC,LUPIN,JSWENERGY,ETERNAL,PAYTM,CUMMINSIND,PRESTIGE,HYUNDAI,MRF,TATACOMM,INDUSINDBK,ETERNAL,PAYTM,PGEL,TATAELXSI,TATATECH,PNC,NTPC,CONCORDBIO,LTM,KOTAKBANK,POWERGRID,COCHINSHIP,PAGEIND,TITAGARH,INDHOTEL,NHPC,HINDZINC,HINDZINC,DLF,INDIQUBE,ABLBL,ROYALARC,
,,,,,,,,,,,,,,,,ORIENTCEM,ONGC,CHALET,DRREDDY,DATAPATTNS,PCBL,BAJAJFINSV,BAJAJFINSV,FORTIS,DRREDDY,HEXT,IRCTC,TBOTEK,HINDUNILVR,BAJFINANCE,WOCKPHARMA,ULTRACEMCO,TRENT,HCLTECH,ULTRACEMCO,IDEA,NAM-INDIA,HYUNDAI,TRENT,HCLTECH,TMPV,INDUSINDBK,BERGEPAINT,JBMA,ABSLAMC,ENIL,JPPOWER,BIOCON,COROMANDEL,NTPC,GAIL,M&M,NAUKRI,M&M,INDUSTOWER,BHARTIARTL,CHOLAFIN,CHOLAFIN,TECHNOE,PACEDIGITK,BHEL,SPCL,
,,,,,,,,,,,,,,,,,,,ONGC,ASTRAMICRO,SRF,PFC,PFC,DIVISLAB,AJANTPHARM,AFFLE,IOC,EASEMYTRIP,TECHM,IEX,ONESOURCE,PIDILITIND,DIXON,NYKAA,MAXHEALTH,FORTIS,ENRIN,BAJAJ-AUTO,CROMPTON,SBIN,MRF,IEX,BRIGADE,LTTS,ABREL,RADIOCITY,GUJGASLTD,PPLPHARMA,LTTS,ASIANPAINT,HINDALCO,KAYNES,ABSLAMC,KAYNES,GMRAIRPORT,NTPC,TITAN,TITAN,ELGIEQUIP,ATLANTAELE,PETRONET,AGUL,
,,,,,,,,,,,,,,,,,,,,GRSE,LINDEINDIA,BSE,BSE,DRREDDY,ABBOTINDIA,BHARTIHEXA,ONGC,SWIGGY,GODREJCP,POLICYBZR,IPCALAB,BPCL,MAXHEALTH,WIPRO,ADANIPORTS,PATANJALI,ESCORTS,ADANIPORTS,DIXON,WIPRO,HYUNDAI,BANKINDIA,PRESTIGE,KEI,TATAELXSI,NETWORK18,WAAREEENER,CAPLIPOINT,GODREJPROP,SAMMAANCAP,M&M,PAGEIND,BHARTIARTL,PAGEIND,POWERGRID,COLPAL,NESTLEIND,NESTLEIND,TEJASNET,BLUESTONE,ITI,ANLON,
,,,,,,,,,,,,,,,,,,,,,SOLARINDS,LICHSGFIN,LICHSGFIN,ABBOTINDIA,GLAND,SONATSOFTW,RECLTD,IRCTC,HEROMOTOCO,LTF,JBCHEPHARM,NMDC,BAJAJ-AUTO,INDIAMART,BPCL,PHOENIXLTD,HINDUNILVR,BPCL,NYKAA,ICICIBANK,BAJAJ-AUTO,POLICYBZR,KAJARIACER,FORCEMOT,TATACOMM,NAZARA,ABB,GLAXO,GODREJIND,PNB,NAUKRI,CASTROLIND,INDIGO,CASTROLIND,TITAGARH,COROMANDEL,POWERGRID,POWERGRID,ADANIPOWER,GAUDIUMIVF,FSL,VINSYS,
