"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",97217,473418096,473515313,1630987.1135415,8200992.0723835,9831979.185925,10939619,25732.3
"BANKNIFTY",26626,2837925,2864551,477175.881225,322427.807373,799603.688598,1017014,59578.8
"RELIANCE",53415,292441,345856,390394.27645,26344.6637,416738.94015,522913,1456.9
"HDFCBANK",65052,159577,224629,338280.32997,11141.70508,349422.03505,667184,934.75
"ICICIBANK",28785,139440,168225,288785.71393,18107.30509,306893.01902,266655,1436.5
"TCS",46389,474197,520586,259913.696245,20984.7812125,280898.4774575,237672,3263
"LT",34574,225663,260237,236835.36261,16932.3739375,253767.7365475,151379,3890
"HCLTECH",38901,303997,342898,225408.03131,19195.883525,244603.914835,103915,1664
"ETERNAL",28625,110379,139004,204068.330825,16217.21466,220285.545485,167489,294.25
"DIXON",28351,214889,243240,162419.42202,25472.51715,187891.93917,169791,11248
"BSE",14358,134429,148787,153622.1218875,32539.2278625,186161.34975,68009,2826
"SBIN",21771,198430,220201,167535.652875,14963.11095,182498.763825,206592,1028.5
"MIDCPNIFTY",6504,415811,422315,106703.614944,56504.203512,163207.818456,169779,13649.25
"VEDL",15913,110692,126605,116444.414375,16033.406145,132477.82052,137918,637
"MARUTI",14620,153087,167707,120359.4646,10705.095495,131064.560095,125267,16387
"INFY",18232,94958,113190,116718.4778,8044.24904,124762.72684,286931,1600
"MCX",7267,53899,61166,103878.8561875,16503.5273125,120382.3835,53632,2293
"MANAPPURAM",10621,51409,62030,96872.4264,12549.6204,109422.0468,36688,307
"IDEA",12682,44895,57577,99289.6177575,8076.8679825,107366.48574,169125,10.82
"NATIONALUM",6743,45330,52073,90271.6365,14241.33675,104512.97325,38001,356.95
"HINDALCO",14826,78525,93351,96801.23131,7706.56397,104507.79528,131312,935
"TRENT",22154,204439,226593,87174.5196,11488.02009,98662.53969,208043,3906
"ONGC",15612,139050,154662,85051.2735,8908.27695,93959.55045,118190,243.5
"ICICIPRULI",12568,65285,77853,80148.4430875,6644.108685,86792.5517725,28811,682.05
"POLYCAB",8596,30963,39559,81087.4200875,4993.2370875,86080.657175,42139,7517.5
"AUBANK",8121,32018,40139,79685.9589,5836.605,85522.5639,33546,971.5
"HINDZINC",9375,63028,72403,72675.82931,11903.3351675,84579.1644775,91287,630.5
"AXISBANK",10045,45441,55486,79848.666625,3736.023625,83584.69025,195131,1262.4
"BEL",12536,101406,113942,74418.9772725,8655.4960275,83074.4733,155230,413.35
"LTF",11260,34324,45584,74211.866775,4042.56645,78254.433225,43064,287.25
"BIOCON",7970,23638,31608,74765.394,3201.58225,77966.97625,41199,376.6
"ITC",12613,245972,258585,67998.35168,9834.1616,77832.51328,477317,334.3
"KOTAKBANK",8431,30952,39383,72021.57428,3046.01308,75067.58736,135100,2132
"HAL",10316,61865,72181,69126.34722,5869.719855,74996.067075,124929,4454
"BHARTIARTL",7219,53540,60759,69736.5916225,4217.962475,73954.5540975,160041,2025.3
"INDUSINDBK",10954,20896,31850,69380.27236,2589.1467,71969.41906,96006,911.95
"BAJFINANCE",9213,51537,60750,65641.1742,4093.19535,69734.36955,203100,949.4
"TATASTEEL",6290,41591,47881,63349.58135,5736.37185,69085.9532,91366,182.45
"DLF",11932,48807,60739,64297.218645,4304.470995,68601.68964,107896,651.5
"SHRIRAMFIN",7547,37863,45410,61000.4933175,5436.870285,66437.3636025,86793,980
"COFORGE",9618,31084,40702,61480.73235,4344.664575,65825.396925,81512,1708.6
"FEDERALBNK",4875,17696,22571,61177.5845,3091.864,64269.4485,26367,249.75
"IDFCFIRSTB",7931,23200,31131,61475.9827325,2371.6091525,63847.591885,59495,82.99
"JIOFIN",8914,40506,49420,59913.044845,3913.481085,63826.52593,124437,284.15
"GODREJPROP",10790,69873,80663,56366.9479175,6815.9980075,63182.945925,68334,1873.9
"GLENMARK",7950,36486,44436,59131.517925,3887.5081875,63019.0261125,46998,2007.8
"TECHM",5973,23145,29118,57770.658,3501.49236,61272.15036,46821,1610
"CANBK",5454,15564,21018,55562.278725,2675.599425,58237.87815,49354,151.07
