"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",69918,89895195,89965113,1201064.71446,2890633.303857,4091698.018317,8653723,26328.55
"BANKNIFTY",25504,1990396,2015900,461478.22812,248993.426526,710471.654646,871467,60150.95
"ITC",79112,708102,787214,444152.15552,65805.94256,509958.09808,443064,350.1
"COALINDIA",32097,274955,307052,182435.60286,29332.816875,211768.419735,93519,429.1
"ICICIBANK",20366,77088,97454,193290.43146,8428.49784,201718.9293,246167,1355.1
"MIDCPNIFTY",9747,252657,262404,164082.633636,34593.540071999996,198676.173708,116207,13984
"HDFCBANK",32423,111122,143545,179038.61679,7668.6225,186707.23929,492797,1000.25
"SBIN",23019,134291,157310,172751.689275,12066.2568,184817.946075,163570,1005.65
"IDEA",18317,46817,65134,156021.6339,13798.36311,169819.99701,155880,11.84
"DIXON",21504,167524,189028,131196.148135,26570.710305,157766.85844,138140,12164
"BAJAJ-AUTO",19202,171384,190586,137151.05358,17417.493765,154568.547345,78463,9499
"RELIANCE",17560,145251,162811,140105.2266,13433.8526,153539.0792,302334,1593
"HEROMOTOCO",14227,157326,171553,127783.81776,24690.23403,152474.05179,67855,5931
"RECLTD",25093,163357,188450,133747.15396,18180.2726,151927.42656,105263,381.5
"MCX",8410,65693,74103,117781.1988125,21828.7764375,139609.97525,49167,2219
"BOSCHLTD",10045,222622,232667,97389.3110575,37119.131205,134508.4422625,23762,39195
"KOTAKBANK",13538,44341,57879,119880.52864,4985.17644,124865.70508,125422,2189.9
"PFC",21898,143702,165600,106937.21467,14768.35438,121705.56905,108521,375.9
"MARUTI",12141,143376,155517,103236.48203,14809.189355,118045.671385,97172,16970
"BHEL",13004,68963,81967,101928.5274,12725.530125,114654.057525,47869,299.7
"INDUSINDBK",16626,63644,80270,105456.59943,8509.39523,113965.99466,97524,901.85
"BAJFINANCE",14148,59675,73823,105200.2401,7993.82505,113194.06515,183524,990.55
"AXISBANK",13326,47285,60611,106315.432875,4837.7193125,111153.1521875,169196,1269
"NATIONALUM",7696,46077,53773,94340.4975,14162.773875,108503.271375,29496,329.55
"CANBK",9385,25355,34740,98268.72075,5634.791325,103903.512075,44267,155.54
"TRENT",20166,127142,147308,89156.67808,12764.10726,101920.78534,130676,4400
"HINDALCO",13172,96930,110102,84816.88292,11308.83852,96125.72144,128462,926.5
"NTPC",16473,147822,164295,85659.96975,9370.7724,95030.74215,99497,351.65
"ASHOKLEY",8826,56145,64971,81773.8075,9737.6715,91511.479,55972,187.9
"VEDL",11220,54116,65336,79479.98082,8691.53394,88171.51476,133801,616.55
"DABUR",11958,64924,76882,77832.586375,7298.50125,85131.087625,34704,525.4
"INDUSTOWER",10189,40327,50516,76771.65116,6759.33753,83530.98869,78539,442.75
"HINDZINC",9417,42998,52415,72390.75956,9238.238275,81628.997835,76393,627.3
"M&M",9640,57794,67434,73637.10352,7161.71228,80798.8158,116580,3801
"SHRIRAMFIN",8676,41080,49756,72818.0152425,7070.7871575,79888.8024,93717,1010.1
"JIOFIN",10510,40883,51393,74766.479755,4761.126085,79527.60584,101245,301.85
"BEL",12010,82909,94919,69362.7432525,8413.145565,77775.8888175,136864,403.3
"INFY",10927,57512,68439,71873.87272,5585.84164,77459.71436,239947,1642.1
"BSE",6676,39160,45836,66928.892475,10207.043325,77135.9358,62846,2669
"HINDUNILVR",10419,40174,50593,73488.32556,3151.96785,76640.29341,67437,2348.5
"TATASTEEL",6758,38736,45494,68265.1266,6059.86975,74324.99635,80167,182.8
"BANKBARODA",7191,48965,56156,64269.05121,7720.9227225,71989.9739325,51040,305.8
"CHOLAFIN",5988,25932,31920,66466.670875,5186.3496875,71653.0205625,32183,1779.9
