"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",85209,109136983,109222192,1663720.8739745002,4595457.070732,6259177.9447065005,7584773,26180.9
"BANKNIFTY",45276,2832114,2877390,941084.210322,430526.2021805,1371610.4125025,917195,59735.45
"INDIGO",51048,451047,502095,413260.159545,61537.80171,474797.961255,130032,5367.5
"KAYNES",63975,654904,718879,295659.65416,85996.88138,381656.53554,139095,4365
"SBIN",31736,220525,252261,230118.7155,18626.74485,248745.46035,213305,971.7
"RELIANCE",25454,181616,207070,196104.7081,15242.8404,211347.5485,357772,1544.6
"HINDUNILVR",24788,131077,155865,174987.84171,15307.59558,190295.43729,34027,2341
"VEDL",29477,72801,102278,179032.27278,8510.650095,187542.922875,151721,524
"HDFCBANK",31104,142616,173720,172630.16925,10027.650875,182657.820125,480830,1001.2
"BAJFINANCE",20035,123090,143125,158404.045875,15889.7763,174293.822175,168501,1046.8
"INFY",22898,184678,207576,148768.40744,16323.33388,165091.74132,278545,1613.9
"SHRIRAMFIN",17972,88056,106028,126294.1713825,14154.3089325,140448.480315,111316,853.35
"ICICIBANK",12616,64229,76845,123485.42668,7246.30354,130731.73022,221396,1392.5
"MIDCPNIFTY",4493,240898,245391,87304.05146399999,42665.131774,129969.183238,114260,13992.45
"TCS",20778,145508,166286,118569.239005,10683.994755,129253.23376,249216,3241
"IDEA",15128,45900,61028,116020.10694,12120.230175,128140.337115,138555,10.78
"ADANIENT",14681,56793,71474,102017.47886969999,8153.970516900001,110171.4493866,142993,2263
"PNB",9902,31260,41162,96349.416,5326.5336,101675.9496,55074,121.62
"MARUTI",10415,124744,135159,84747.855025,11582.246455,96330.10148,103730,16300
"MCX",6142,47074,53216,79118.6399125,11361.78405,90480.4239625,51616,10339
"BSE",7104,49475,56579,74720.2479,13886.5315125,88606.7794125,61097,2815
"LTF",6400,18492,24892,83620.061655,4555.6172736,88175.67892860001,22276,310.25
"KOTAKBANK",9507,56010,65517,82218.66348,5870.04084,88088.70432,126736,2156
"HAL",10971,92932,103903,73993.55562,11376.67833,85370.23395,139031,4441.7
"DIXON",10453,114829,125282,72021.319345,12106.127655,84127.447,108986,13781
"AXISBANK",9760,40654,50414,78352.1919375,4030.101625,82382.2935625,155198,1281.8
"CHOLAFIN",7216,22539,29755,77549.27225,4182.06975,81731.342,27533,1732
"HINDALCO",12950,55576,68526,74948.50755,5672.12667,80620.63422,151856,822.5
"BHARTIARTL",7383,36168,43551,74093.165795,3784.3287525,77877.4945475,149059,2109.8
"INDUSTOWER",9990,40817,50807,70241.50746,6290.10557,76531.61303,73018,416
"CANBK",6728,22871,29599,67585.9302,4284.740025,71870.670225,48411,148.5
"ETERNAL",9120,36292,45412,65599.54703,4543.9264425,70143.4734725,172252,291.75
"AMBER",9362,68968,78330,61025.51484,8953.56295,69979.07779,31741,6571
"LT",8896,38826,47722,62884.787665,3462.52361,66347.311275,120285,4039
"ABCAPITAL",5624,18671,24295,62254.26541,3895.57563,66149.84104,36368,358.25
"HCLTECH",10313,60839,71152,60779.84668,5201.747355,65981.594035,83978,1681
"BANKBARODA",7273,25562,32835,62075.5951725,3723.9921225,65799.587295,56233,292
"PATANJALI",12642,31405,44047,61779.3102,2774.3373,64553.6475,46724,548
"M&M",7825,44001,51826,58202.96072,5189.27884,63392.23956,138661,3708.3
"BEL",10018,49841,59859,58564.6210725,4775.6718975,63340.29297,147953,406.7
"UNOMINDA",8240,27808,36048,57820.79402,5394.903635,63215.697655,16148,1273.5
"ITC",9231,36178,45409,59967.46032,2258.97744,62226.43776,169099,404.6
"INDUSINDBK",9464,35773,45237,57605.9407,4503.38777,62109.32847,98981,869.75
"TATASTEEL",6363,27339,33702,58634.24875,3281.88575,61916.1345,97260,167.39
"JSWSTEEL",7319,28673,35992,57394.332,3622.826925,61017.158925,112430,1165.5
"HEROMOTOCO",5615,44232,49847,53703.44874,5963.81103,59667.25977,73148,6340.5
"DLF",8833,39315,48148,52694.072145,3965.1904875,56659.2626325,92444,720.4
"POWERINDIA",4721,49658,54379,46657.524005,7449.02614,54106.550145,20147,19365
"COFORGE",6486,35165,41651,48253.8853125,5498.411475,53752.2967875,61891,1973
"PAYTM",4902,20208,25110,47899.3483575,3748.31061,51647.6589675,44679,1349
"NATIONALUM",4483,20595,25078,45953.591625,4460.622375,50414.214,30477,273.25
"BAJAJFINSV",8451,54334,62785,44393.4126,4422.4886,48815.9012,106510,2092.9
"BIOCON",4375,22292,26667,42943.19625,4059.45275,47002.649,39706,392.05
"TECHM",4636,16532,21168,43927.46934,2481.85692,46409.32626,53074,1569
"EICHERMOT",3268,31682,34950,39658.32386,5129.8622125,44788.1860725,42646,7205
"GMRAIRPORT",5964,17269,23233,42900.88419,1796.1510825,44697.0352725,50056,103.8
"JIOFIN",5767,20030,25797,41284.95557,1984.460555,43269.416125,107926,303.85
"CAMS",7003,21929,28932,40635.094725,2319.839175,42954.9339,25102,777
"IDFCFIRSTB",5476,11689,17165,41209.3444,1513.9313525,42723.2757525,60295,80.86
"POLYCAB",4307,16783,21090,39146.310875,1826.83925,40973.150125,23065,7270
"AUBANK",4020,10977,14997,38705.9412,1730.772,40436.7132,27111,960.9
"KFINTECH",7437,23362,30799,36489.74034,3123.963965,39613.704305,17470,1070
"FEDERALBNK",2820,12605,15425,36661.13,2458.8495,39119.9795,26975,259.1
"MUTHOOTFIN",3415,19939,23354,35471.18993,3614.93143,39086.12136,24138,3791.8
"BHEL",4956,24029,28985,36146.3043375,2792.1369,38938.4412375,51359,277.75
"WIPRO",4552,31562,36114,35584.4346,3280.8762,38865.3108,63935,259.5
"GLENMARK",4933,15219,20152,36646.845225,2161.1842875,38808.0295125,57612,1958
"SBICARD",5180,19506,24686,36536.9984,2012.14808,38549.14648,32549,886.4
"JSWENERGY",7536,37915,45451,34463.0904,3091.4595,37554.5499,70127,463
"INDIANB",4038,20016,24054,33021.3981,3012.3492,36033.7473,26741,807.6
"ASHOKLEY",4186,13916,18102,33548.8595,1914.38,35463.2395,52444,160.8
"RBLBANK",3525,6953,10478,34091.9355625,1079.6393825,35171.574945,33910,305.6
"SBILIFE",4238,23890,28128,32338.243125,2259.3868875,34597.6300125,32667,2018.8
"RECLTD",6840,29771,36611,31356.751025,1935.572465,33292.32349,124542,353.9
"TMPV",10595,60500,71095,30257.46424,2358.92152,32616.38576,231297,354
"BAJAJ-AUTO",4135,42782,46917,28364.8358925,4065.92412,32430.7600125,86098,9110
"IREDA",6662,20624,27286,30559.16367,1716.007575,32275.171245,30514,133.85
"LTIM",3078,18861,21939,29285.222535,2656.82208,31942.044615,26555,6296.5
"PGEL",7165,35974,43139,28682.99736,3256.00566,31939.00302,34175,553.75
"CDSL",3894,18546,22440,28698.78826,2404.756755,31103.545015,46815,1554
"HDFCLIFE",3407,19338,22745,28851.31832,2081.54518,30932.8635,46282,769
"MARICO",3250,15896,19146,28512.96,1673.07684,30186.03684,35543,736
"ADANIPORTS",3864,21458,25322,27809.029755,2309.8922725,30118.9220275,77456,1511
"ANGELONE",4072,24694,28766,26408.834275,3123.347075,29532.18135,40688,2648.8
"ADANIGREEN",4406,19640,24046,26942.0412,2487.43818,29429.47938,64738,1018.1
"YESBANK",3945,11075,15020,27830.7369,1186.86619,29017.60309,52807,22.61
"HINDZINC",4233,22794,27027,25904.3749125,2791.3147675,28695.68968,57477,497.75
"TATAPOWER",4762,25744,30506,26649.923665,1814.23188,28464.155545,82427,384
"ASIANPAINT",3466,29688,33154,25746.070675,2552.95305,28299.023725,86172,2961.6
"BDL",4885,31082,35967,24389.429305,3660.6794275,28050.1087325,33286,1509
"JINDALSTEL",4208,12746,16954,26471.799,1332.4378125,27804.2368125,34388,1007.8
"PNBHOUSING",4516,9429,13945,26462.7428,1091.489555,27554.232355,32629,903.8
"LICHSGFIN",4728,11392,16120,25842.3644,812.3744,26654.7388,53019,543.8
"GODREJPROP",4191,16002,20193,24236.8298975,1919.2244775,26156.054375,48234,2082.6
"PFC",5237,26883,32120,24082.2478,2073.02693,26155.27473,112080,353.2
"MAXHEALTH",4258,15381,19639,24512.7855525,1296.5523375,25809.33789,49996,1100
"MPHASIS",2869,15542,18411,23339.64358,2225.87728,25565.52086,30639,2946.5
"TVSMOTOR",3539,19814,23353,22780.2592325,1880.174135,24660.4333675,64997,3667.8
"LAURUSLABS",2668,8506,11174,23236.45782,1387.96041,24624.41823,32940,1026.5
"SUZLON",5510,19253,24763,22999.94974,1361.870025,24361.819765,64786,51.89
"UNIONBANK",3335,9946,13281,22636.0180275,1412.6277075,24048.645735,34441,153.07
"PRESTIGE",2674,19666,22340,20369.08161,3590.73459,23959.8162,15219,1691.2
"MAZDOCK",4645,20679,25324,21613.182615,1932.949265,23546.13188,46416,2616
"LUPIN",2464,11411,13875,22037.1034425,1428.19465,23465.2980925,32204,2090
"POLICYBZR",3118,17765,20883,20663.88205,2721.936525,23385.818575,29741,1895
"TATAELXSI",4213,11976,16189,22181.19084,973.50233,23154.69317,32908,5217
"ASTRAL",3606,7971,11577,22368.64114,763.682075,23132.323215,29098,1458
"ULTRACEMCO",3747,15733,19480,21870.591795,918.49786,22789.089655,78656,11595
"CUMMINSIND",2453,5662,8115,22026.64482,757.52462,22784.16944,22427,4457.7
"SUPREMEIND",3692,9197,12889,21742.10899,770.4984,22512.60739,23321,3362.9
"OBEROIRLTY",3382,26412,29794,19766.908175,2647.74622,22414.654395,21847,1659
"NMDC",4088,13605,17693,21051.642825,1096.513875,22148.1567,72110,76.36
"INDHOTEL",2876,8853,11729,21158.38,810.5838,21968.9638,41028,731
"UPL",2037,5193,7230,20959.9282035,850.372526,21810.3007295,34955,759.9
"AUROPHARMA",2999,7484,10483,20166.858855,802.016765,20968.87562,55630,1217.9
"SRF",3304,19487,22791,19022.80348,1702.13384,20724.93732,38892,2887.9
"OFSS",3148,10788,13936,19504.277865,1153.697265,20657.97513,28396,8210
"TITAN",2891,12942,15833,19432.1545425,1081.178595,20513.3331375,83310,3813
"BPCL",2661,10259,12920,18908.7236675,1171.2759225,20079.99959,25705,360.5
"APOLLOHOSP",2132,8865,10997,19234.4550125,837.2884625,20071.743475,44649,7195.5
"PETRONET",3702,14808,18510,18611.27135,999.41515,19610.6865,42795,275.2
"PERSISTENT",2645,20043,22688,17276.35652,2322.56146,19598.91798,32233,6519
"TRENT",4187,31471,35658,17654.18837,1809.17077,19463.35914,140106,4180
"HUDCO",2880,11416,14296,17861.5835925,1170.75141,19032.3350025,28253,225
"CONCOR",2832,5690,8522,18215.668,551.525125,18767.193125,48581,510.55
"HDFCAMC",2341,5339,7680,18225.00891,532.35834,18757.36725,26200,2579.1
"DRREDDY",2212,10456,12668,17762.946,975.454375,18738.400375,35179,1276
"ONGC",3233,12262,15495,17703.58635,734.372325,18437.958675,67279,241.85
"TORNTPOWER",3503,11042,14545,17318.7320075,1105.28849,18424.0204975,12291,1290
"MFSL",2579,6084,8663,17468.29136,601.18816,18069.47952,26544,1691.9
"HINDPETRO",1881,6205,8086,17176.1287725,810.381915,17986.5106875,31954,449.25
"SUNPHARMA",2653,10427,13080,16884.79632,699.459775,17584.256095,60469,1805
"RVNL",3817,13960,17777,16332.0251675,953.5219825,17285.54715,52941,311.6
"CGPOWER",2937,6741,9678,16524.038675,509.504705,17033.54338,35696,664
"IIFL",1671,5613,7284,15692.35338,872.1537,16564.50708,13635,568.35
"DIVISLAB",2468,6747,9215,15987.60934,558.85446,16546.4638,45064,6486
"MANAPPURAM",1910,4357,6267,15938.6184,572.2062,16510.8246,21988,279.85
"BRITANNIA",2018,9220,11238,15029.2605375,896.4562,15925.7167375,33138,5966
"NESTLEIND",2440,7459,9899,15232.11435,524.8086,15756.92295,48963,1246.9
"NTPC",3030,14339,17369,14757.2142,806.046,15563.2602,93214,323.5
"COLPAL",3095,7950,11045,15093.5100075,445.02705,15538.5370575,43057,2162.5
"COALINDIA",2923,8632,11555,15012.80352,507.662235,15520.465755,68668,379.95
"SIEMENS",3231,21657,24888,13758.4448925,1500.39009,15258.8349825,36885,3320
"HFCL",3105,11081,14186,13772.739825,1369.28856,15142.028385,29228,69.25
"VBL",2768,16578,19346,13779.3603475,1339.1216475,15118.481995,71376,479.6
