"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"BAJAJ-AUTO",17744,139836,157580,122955.819645,10512.41706,133468.236705,78045,9298
"CDSL",18742,38381,57123,128195.895885,5226.19434,133422.090225,55158,1436.2
"SUZLON",28854,25207,54061,130003.77141,2199.1063125,132202.8777225,78186,52.22
"ADANIGREEN",21380,25293,46673,129110.42016,2320.40094,131430.8211,74300,1010
"LTF",15071,14974,30045,127544.11138799999,2600.1355956,130144.24698360001,39973,304.5
"KAYNES",30067,97822,127889,119116.02943,8985.51046,128101.53989,103260,3941.5
"JUBLFOOD",17677,19210,36887,124265.017625,2359.68575,126624.703375,40984,557.8
"AMBUJACEM",21403,20537,41940,124169.355765,2392.486845,126561.84261,83495,549.5
"NMDC",21241,51478,72719,118914.691275,5370.7563,124285.447575,93152,83.43
"BANKBARODA",14089,28569,42658,120011.8452975,3118.2772725,123130.12257,60291,292.9
"LICHSGFIN",22557,11418,33975,121479.6333,1219.1429,122698.7762,61703,535.7
"LAURUSLABS",12859,15302,28161,119155.39292,2763.180935,121918.573855,39663,1091.7
"PAYTM",12631,18788,31419,119548.938655,1737.105075,121286.04373,45613,1294.2
"GLENMARK",15719,15989,31708,119237.2875375,1554.62895,120791.9164875,59168,2026.6
"BIOCON",11935,8696,20631,116959.51425,1285.08825,118244.6025,39449,391.4
"APOLLOHOSP",13200,32104,45304,115659.46855,2127.839425,117787.307975,49806,6985.5
"GMRAIRPORT",16067,18276,34343,115018.490745,2284.7191425,117303.2098875,63410,102.94
"INDHOTEL",15483,16130,31613,113483.4729,1613.2124,115096.6853,45973,732
"BHEL",15019,26286,41305,110997.0815625,3725.2929,114722.3744625,56157,283.05
"SUNPHARMA",18812,15908,34720,113306.413535,979.955025,114286.36856,88403,1720
"UNIONBANK",16818,12986,29804,112689.318255,1328.71776,114018.036015,34042,150.96
"JINDALSTEL",17497,31754,49251,110660.76925,3033.9043125,113694.6735625,41122,1020.7
"ULTRACEMCO",18798,27234,46032,110401.217315,1063.469165,111464.68648,92781,11701
"INDUSTOWER",14964,19487,34451,107829.23625,2212.16835,110041.4046,80287,423.95
"CUMMINSIND",12050,16815,28865,106045.55228,1394.50414,107440.05642,28526,4369
"PERSISTENT",16779,18508,35287,104458.90203,1034.37975,105493.28178,44038,6235
"ONGC",19474,16857,36331,102904.914375,1117.409175,104022.32355,93541,234.5
"POWERGRID",20493,18948,39441,101633.63701,2090.69635,103724.33336,88987,259.45
"COALINDIA",18530,35863,54393,99842.817105,2110.67937,101953.496475,104960,398.15
"GODREJPROP",17893,15673,33566,97661.9978125,1775.6863025,99437.684115,58288,1977.1
"UNITDSPR",17102,9928,27030,97610.49452,591.29688,98201.7914,54792,1430
"SBICARD",14243,11218,25461,95987.33416,849.34528,96836.67944,40654,848.2
"BANDHANBNK",17796,14824,32620,93728.76228,1984.491,95713.25328,59314,145.6
"ABCAPITAL",8567,11876,20443,92917.29665,2437.54271,95354.83936,41175,348.05
"ANGELONE",15440,50125,65565,90669.8239,4262.485675,94932.309575,37544,2369
"VBL",17429,29229,46658,91647.14705,2362.511435,94009.658485,77886,484.4
"SRF",15134,17473,32607,92285.7119,1193.41244,93479.12434,38066,3067
"AUROPHARMA",13972,16084,30056,91654.40405,1113.60073,92768.00478,60930,1190.4
"JSWENERGY",18806,12414,31220,88782.8944,1334.7593,90117.6537,72717,469.1
"BHARATFORG",11993,19675,31668,87787.14675,2315.6537,90102.80045,31334,1456.6
"RVNL",15023,100485,115508,79729.9262575,9736.420625,89466.3468825,79791,360
"INDIANB",10370,25524,35894,83562.6698,3351.1253,86913.7951,26176,807.1
"WIPRO",10500,18837,29337,82685.4894,1362.4086,84047.898,66585,264.31
"FINNIFTY",1254,3906695,3907949,21511.055205999997,62409.460438999995,83920.515645,70792,27382.8
"BANKINDIA",11180,7535,18715,82033.75648,884.74048,82918.49696,22329,142
"GAIL",14995,17941,32936,80712.890685,1513.751085,82226.64177,59417,170.9
"TECHM",8328,11708,20036,80549.52408,1201.89312,81751.4172,58443,1602.8
"HINDPETRO",8229,14027,22256,79180.51239,2218.4763975,81398.9887875,30626,470
"MOTHERSON",10826,9457,20283,80041.064895,999.515835,81040.58073,51424,119.57
"EXIDEIND",12256,10211,22467,79457.07546,1465.91118,80922.98664,34940,357.9
"IRCTC",13004,40146,53150,78012.17655,2864.9982375,80877.1747875,59798,683.9
"HINDUNILVR",11137,28720,39857,76737.59274,1845.9645,78583.55724,80246,2290
"CIPLA",13782,23794,37576,77016.353625,1494.099675,78510.4533,66716,1488.9
"POLYCAB",8172,15316,23488,77249.1600125,1040.708625,78289.8686375,31264,7492
"POLICYBZR",11521,32503,44024,75475.180515,1912.12721,77387.307725,30518,1861.9
"BDL",14813,51170,65983,73697.768205,3606.5365475,77304.3047525,47880,1467
"INOXWIND",17445,12604,30049,73735.482402,1514.5199942,75250.0023962,47700,121.99
"BPCL",9688,17327,27015,71218.7865725,1951.6786075,73170.46518,31932,369.15
"PNBHOUSING",11484,25911,37395,70752.904755,2044.411265,72797.31602,41751,948.9
"PATANJALI",14705,6141,20846,72083.79414,387.31266,72471.1068,57821,544.25
"LICI",12036,11732,23768,71350.63334,749.95032,72100.58366,36587,848.65
"AMBER",10926,25176,36102,68969.35281,1455.04049,70424.3933,24221,6285
"HUDCO",10985,16413,27398,68693.5168875,1531.842735,70225.3596225,34363,224.85
"SBILIFE",9199,8102,17301,68974.7025375,546.9138,69521.6163375,36811,2019.7
"DMART",11990,18346,30336,68102.7633,1391.409195,69494.172495,56784,3750
"IOC",8630,10622,19252,68342.035125,1035.819525,69377.85465,37832,161.41
"OFSS",11827,16725,28552,67890.15027,1301.8047375,69191.9550075,34851,7625
"MPHASIS",8592,10391,18983,66027.604445,667.9432925,66695.5477375,33335,2800
"NBCC",8201,10416,18617,65117.76115,1304.6449,66422.40605,31066,122.2
"FORTIS",9641,7151,16792,65892.7091375,481.316075,66374.0252125,28889,877.1
"DABUR",10402,18029,28431,64226.62075,1463.3815,65690.00225,38094,495
"ICICIGI",10298,5490,15788,65313.56754,206.0019325,65519.5694725,27619,1955
"CROMPTON",13968,13983,27951,63712.0908,1426.90986,65139.00066,57164,252.15
"NESTLEIND",9958,13382,23340,63820.693,579.60255,64400.29555,48446,1271.6
"MANAPPURAM",6794,8124,14918,63197.5518,1135.7286,64333.2804,28690,311
"MFSL",9562,6138,15700,62916.72232,309.63224,63226.35456,29235,1642.8
"TATATECH",11847,8495,20342,61092.398,793.07544,61885.47344,29366,640
"TATAELXSI",11500,31034,42534,60461.05989,1423.79163,61884.85152,37863,5210.5
"ZYDUSLIFE",7337,5219,12556,59690.11941,1081.1484,60771.26781,23211,902.4
"PAGEIND",10741,21697,32438,57719.449575,579.907491,58299.357066000004,29239,35900
"CGPOWER",10322,12507,22829,56569.173225,1502.63833,58071.811555,33227,643.1
"BOSCHLTD",6429,33799,40228,57196.759815,676.0795525,57872.8393675,15865,35745
"ASTRAL",9639,14314,23953,55638.567045,1265.4987425,56904.0657875,36775,1359
"ADANIENSOL",8037,10036,18073,55131.3575775,790.057665,55921.4152425,37821,1021
"COLPAL",11806,12198,24004,54858.868515,846.70443,55705.572945,53327,2053
"ABB",8410,14393,22803,54064.4178375,622.8991375,54687.316975,31272,5154
"HAVELLS",7644,5902,13546,53962.22905,488.2222,54450.45125,27473,1420
"TATACONSUM",8067,24062,32129,52645.58673,1481.168425,54126.755155,38638,1173.8
"APLAPOLLO",8040,4726,12766,53260.75958,312.642225,53573.401805,32903,1890
"LTIM",5745,14748,20493,52261.718265,799.85343,53061.571695,25202,6078
"LODHA",10889,13267,24156,52069.31307,962.54388,53031.85695,44222,1062
"HDFCAMC",6598,9873,16471,52332.4065,660.08478,52992.49128,36896,2652
"IRFC",8842,48747,57589,46958.59425,3723.716975,50682.311225,49785,124.95
"MARICO",5507,5710,11217,49355.5182,547.95948,49903.47768,36286,739
"IIFL",4838,7375,12213,47854.406985,1075.002885,48929.40987,16422,605
"SHREECEM",7358,12487,19845,48487.866785,155.81735,48643.684135,19575,26400
"IEX",9377,13599,22976,46642.763625,1853.972625,48496.73625,42503,132.5
"DRREDDY",5862,10763,16625,46491.347125,529.730125,47021.07725,36266,1263
"HFCL",10800,18254,29054,44756.55,1126.60086,45883.15086,16997,64.1
"PIDILITIND",6083,4123,10206,44150.9514,290.1896,44441.141,21113,1455
"DELHIVERY",5138,4343,9481,43166.6256825,551.268155,43717.8938375,17867,401.5
"PETRONET",7678,18136,25814,39952.7463,1206.86019,41159.60649,49094,279.9
"KALYANKJIL",7094,8087,15181,40401.671175,503.658815,40905.32999,42506,484
"NHPC",7807,7051,14858,38860.04352,486.76352,39346.80704,22633,78.61
"GODREJCP",6342,5219,11561,38471.8938,330.57485,38802.46865,27571,1210
"IREDA",7970,10042,18012,37631.03853,916.78161,38547.82014,32247,137.25
"PRESTIGE",5338,6347,11685,37814.75415,669.25386,38484.00801,17928,1576
"TORNTPHARM",3987,4284,8271,37888.376875,179.505,38067.881875,11909,3859.4
"CAMS",6727,9728,16455,37118.526675,647.054625,37765.5813,27234,735.4
"PGEL",7422,14831,22253,36147.12897,723.941305,36871.070275,23808,564
"TIINDIA",6943,9167,16110,35830.222,951.84162,36782.06362,29971,2569
"POWERINDIA",3938,20417,24355,35656.15075,981.215155,36637.365905,15844,18230
"ICICIPRULI",5883,6811,12694,35714.51159,672.804855,36387.316445,28247,655.45
"SIEMENS",7648,18324,25972,35121.5898225,1057.87725,36179.4670725,38297,3030.2
"PIIND",6371,7164,13535,35787.6576575,384.5288825,36172.18654,22632,3188
"SUPREMEIND",6166,7016,13182,35403.803645,588.5475225,35992.3511675,23869,3266.9
"BRITANNIA",4659,7241,11900,35144.1200875,253.040825,35397.1609125,35333,6006.5
"PPLPHARMA",7100,4151,11251,31415.1685625,301.084425,31716.2529875,21785,171.8
"TITAGARH",4604,27714,32318,30008.38858,890.6221175,30899.0106975,6933,880
"VOLTAS",5924,10933,16857,30030.6295875,633.99135,30664.6209375,44847,1348.2
"MANKIND",6078,7638,13716,29588.551695,292.454415,29881.00611,18101,2177
"SYNGENE",4564,3102,7666,29482.5536,253.8337,29736.3873,14049,643
"KEI",3626,8665,12291,27836.514895,369.1837275,28205.6986225,14280,4350
"KPITTECH",5573,5899,11472,27190.694655,386.398825,27577.09348,17122,1166.8
"UNOMINDA",3897,4286,8183,27215.447435,132.108735,27347.55617,14710,1270.1
"ALKEM",3860,5681,9541,26405.466425,210.088975,26615.5554,16498,5432
"SONACOMS",4715,5415,10130,25729.855795,379.0531325,26108.9089275,20054,477.4
