"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",211277,153778416,153989693,3469971.2327475,6751421.827189,10221393.059936501,8736174,25048.65
"BANKNIFTY",62847,15813744,15876591,1113304.3506510002,934467.064095,2047771.414746,1524901,58473.1
"HDFCBANK",270350,357840,628190,1369029.564595,14256.97559,1383286.540185,732351,915.8
"ICICIBANK",103278,151596,254874,976294.29576,10121.72868,986416.02444,291387,1346
"RELIANCE",132014,418657,550671,922956.19205,25124.4254,948080.61745,517847,1387
"AXISBANK",102952,185325,288277,824944.152875,11515.5069375,836459.6598125,214079,1253.9
"INFY",89914,157670,247584,602529.2042,4757.02236,607286.22656,285888,1672
"PAYTM",64611,313759,378370,562978.2525825,43277.421085,606255.6736675,50857,1155
"ETERNAL",85652,255458,341110,551197.664065,22349.1057925,573546.7698575,209983,260.05
"MIDCPNIFTY",25860,2409252,2435112,409373.55396,156854.435676,566227.989636,256821,13066.65
"ADANIENT",85504,377879,463383,516864.33371190005,48058.9896063,564923.3233182,137984,1861.8
"VEDL",66016,313415,379431,527015.28239,27804.43021,554819.7126,154018,685.15
"BHARTIARTL",55862,65423,121285,531748.525405,3438.948415,535187.47382,156958,1988
"SBIN",66662,300922,367584,520921.6866,13973.418975,534895.105575,205994,1028.4
"HINDZINC",47252,501334,548586,406097.4356075,75350.68492,481448.1205275,104610,697
"SHRIRAMFIN",55050,167821,222871,457297.79073,20713.98582,478011.77655,88654,1005
"KOTAKBANK",55621,33393,89014,473638.964,3369.3432,477008.3072,134144,424.2
"IDEA",61251,33325,94576,442650.493065,7875.37281,450525.865875,163022,9.9
"INDIGO",59340,342494,401834,424977.63627,21014.957775,445992.594045,125883,4715
"TATASTEEL",40051,106004,146055,419354.83975,13471.47285,432826.3126,90903,187.6
"BAJFINANCE",57549,78998,136547,405254.097675,8401.2687,413655.366375,189555,929.5
"ADANIPORTS",58998,226732,285730,380481.14783,19351.87411,399833.02194,94155,1314.9
"JSWSTEEL",48331,43636,91967,386573.414085,3220.427025,389793.84111,94558,1165.4
"TCS",66889,201239,268128,372727.9016125,8237.3345075,380965.23612,232444,3157
"LT",56957,78980,135937,374911.0978375,4518.96375,379430.0615875,148781,3750
"M&M",51706,50542,102248,369234.79878,2840.42428,372075.22306,118018,3555
"BEL",58609,100779,159388,345470.87706,6958.70535,352429.58241,147401,412.4
"MCX",21097,77329,98426,306778.6245625,19547.2093125,326325.833875,69919,2298
"MARUTI",40161,241056,281217,313517.282695,7475.034145,320992.31684,133605,15519
"ASHOKLEY",30930,124402,155332,301076.856,16490.2705,317567.1265,58597,193.07
"DLF",60791,144991,205782,303268.9102575,12964.0296225,316232.93988,127915,588
"INDUSINDBK",47422,75686,123108,301154.61705,8910.60835,310065.2254,91669,898
"INDUSTOWER",42989,34494,77483,305214.05719,2547.06699,307761.12418,81799,414.05
"TITAN",42345,67825,110170,299937.9998475,2721.98241,302659.9822575,97641,4020.2
"ITC",55001,128278,183279,285983.05584,10037.4768,296020.53264,382422,323
"ASIANPAINT",41704,196916,238620,287015.624,8220.194875,295235.818875,84912,2704.4
"ADANIGREEN",51989,215254,267243,257806.3257,27402.46584,285208.79154,70786,779.4
"CIPLA",51774,214286,266060,262066.9575375,14177.4688875,276244.426425,84685,1322.3
"HINDALCO",40241,99836,140077,269080.32508,7004.58157,276084.90665,106699,951
"TECHM",26538,34831,61369,271541.02236,2772.72252,274313.74488,52062,1700.7
"COFORGE",42692,144386,187078,265249.2821625,8892.544425,274141.8265875,70483,1642
"TVSMOTOR",42651,22203,64854,267347.2382175,1457.3614825,268804.5997,66106,3547.3
"NATIONALUM",17667,76696,94363,248877.863625,18021.45225,266899.315875,35467,371.5
"LAURUSLABS",28948,101966,130914,252116.164795,12411.72822,264527.893015,50666,1030
"JIOFIN",40735,72272,113007,247066.774595,11193.798475,258260.57307,136418,253.2
"AMBUJACEM",44818,75762,120580,250141.07412,6394.187625,256535.261745,71563,519.4
"NMDC",48071,24822,72893,251145.492975,2135.2815,253280.774475,82597,76.19
"RECLTD",48868,62119,110987,248737.56236,4421.18026,253158.74262,108129,362.7
"BSE",23852,73919,97771,242009.92485,7540.3667625,249550.2916125,61433,2680
"BAJAJFINSV",49495,27155,76650,244093.1306,1145.872075,245239.002675,97204,1954.9
"ULTRACEMCO",36674,84424,121098,228235.95424,4817.37389,233053.32813,84871,12346
"HINDUNILVR",31337,81610,112947,227846.46471,3607.87437,231454.33908,82696,2406
"UPL",23788,20102,43890,227626.79146,2109.7892,229736.58066,48862,700.2
"TMPV",81074,113430,194504,225111.70272,4044.60648,229156.3092,218901,345
"DRREDDY",28242,132942,161184,219742.6764375,7509.40825,227252.0846875,50881,1238.4
"ADANIENSOL",36342,106174,142516,212433.536115,12172.5465525,224606.0826675,47027,825.8
"SUNPHARMA",38492,29519,68011,220133.06189,1405.22095,221538.28284,106299,1633
"POLYCAB",24953,67795,92748,213697.10815,4712.2588,218409.36695,59500,6731
"BANKBARODA",24179,43854,68033,212837.38281,5006.26503,217843.64784,62206,296.1
"APLAPOLLO",29516,86399,115915,210099.126265,6854.511685,216953.63795,41875,1997.8
"BAJAJ-AUTO",29682,171813,201495,210640.94667,5711.638305,216352.584975,79222,9422
"DIXON",39089,205606,244695,204905.0904,10314.85183,215219.94223,167741,10330
"HAL",31854,95050,126904,206688.44517,6820.689285,213509.134455,120385,4310
"PNB",20743,46512,67255,203539.404,4522.7128,208062.1168,59606,120.14
"WIPRO",28339,36462,64801,204658.6695,3030.0762,207688.7457,94056,238.05
"NTPC",39990,59251,99241,203947.79775,1857.76005,205805.5578,120651,337
"APOLLOHOSP",23864,46366,70230,203625.53255,1882.120125,205507.652675,55285,6813
"HCLTECH",33642,54962,88604,201568.420865,2057.481825,203625.90269,85383,1706.6
"ONGC",36606,49852,86458,201975.543675,1483.941825,203459.4855,114017,246.1
"HEROMOTOCO",24448,69213,93661,197843.02614,3774.29268,201617.31882,62861,5388
"EICHERMOT",28222,44673,72895,198433.87526,2960.89237,201394.76763,58148,6970
"GRASIM",28819,11844,40663,200719.977225,468.669025,201188.64625,78823,2766
"CANBK",18621,33754,52375,194224.15305,4384.405125,198608.558175,50011,151.8
"ABCAPITAL",17814,17054,34868,195608.64964,2020.21296,197628.8626,37146,346
"AUBANK",19437,33877,53314,191280.7974,2985.1796,194265.977,40047,967
"VOLTAS",37424,131519,168943,186788.5188375,6618.1854375,193406.704275,54540,1315.4
"BHEL",28605,61788,90393,186139.4826375,5072.4499875,191211.932625,85766,242.5
"RBLBANK",20233,19680,39913,188214.1368425,2304.5156475,190518.65249,43174,289
"POWERGRID",36903,20011,56914,178037.1649,2315.13233,180352.29723,90928,253.95
"IDFCFIRSTB",22759,26001,48760,177076.023915,2812.5463625,179888.5702775,57299,82.5
"CHOLAFIN",17084,10142,27226,177440.42725,1170.1520625,178610.5793125,37702,1648.7
"HDFCLIFE",21882,24394,46276,173027.008,1656.04505,174683.05305,54359,712.3
"FEDERALBNK",12061,35465,47526,170046.9215,4431.9095,174478.831,33771,279.5
"YESBANK",25497,25027,50524,169260.37538,2930.93864,172191.31402,62803,20.91
"PERSISTENT",27182,60201,87383,168039.6116,3564.22367,171603.83527,40933,6108
"PFC",35340,52864,88204,166968.81513,4008.48747,170977.3026,102717,358
"LTIM",18742,35533,54275,166925.3883,1618.80711,168544.19541,35855,5868
"PNBHOUSING",30225,68231,98456,162319.420575,5200.67496,167520.095535,37931,812
"GLENMARK",21647,14558,36205,162422.0069625,1154.9416875,163576.94865,44036,1968.7
"MOTHERSON",24056,12664,36720,162336.1872,1102.528335,163438.715535,44952,108.4
"GODREJPROP",35148,67461,102609,153196.1058375,5287.27254,158483.3783775,85587,1540
"COALINDIA",27385,64667,92052,154582.039575,2984.318505,157566.35808,96121,418.05
"HDFCAMC",20787,17365,38152,154719.30543,908.91435,155628.21978,41169,2429.7
"TRENT",39723,122576,162299,150305.35005,4986.36735,155291.7174,180851,3748
"UNIONBANK",19553,41802,61355,152196.9860175,2863.6037925,155060.58981,38131,172.54
"JSWENERGY",30325,17753,48078,147315.7243,1221.6257,148537.35,54177,482.2
"NESTLEIND",22624,8819,31443,146775.0119,669.7775,147444.7894,45061,1295.4
"MPHASIS",18663,65660,84323,142365.974025,4849.755295,147215.72932,26154,2745
"MARICO",16209,8010,24219,145226.66544,463.61052,145690.27596,35868,742
"LTF",21353,91313,112666,139871.729475,5735.158425,145606.8879,57309,287
"SAIL",19568,28587,48155,141033.82496,4470.43508,145504.26004,56699,148.7
"SBILIFE",19034,17197,36231,143365.1002125,962.5916625,144327.691875,52347,2005.2
"JINDALSTEL",20401,63884,84285,137804.6734375,5423.4045,143228.0779375,30810,1061
"VBL",26101,20666,46767,141969.6199125,993.9645,142963.5844125,56767,473.7
"MANAPPURAM",15762,15930,31692,140506.7886,2014.6005,142521.3891,30007,294.9
"TATAPOWER",27251,35849,63100,137976.61992,4245.631175,142222.251095,90372,345.7
"BIOCON",15083,15487,30570,139959.66675,1458.0985,141417.76525,35149,367.25
"HINDPETRO",15973,23904,39877,137112.3759825,2862.9861075,139975.36209,36020,414.5
"INDHOTEL",20544,18180,38724,133631.9271,2443.6027,136075.5298,50318,644.4
"LUPIN",14620,7786,22406,133817.92114,586.48725,134404.40839,25334,2138
"UNITDSPR",24755,22908,47663,133085.4934,1080.23588,134165.72928,48735,1342
"MUTHOOTFIN",12039,35788,47827,128806.917195,4188.7383175,132995.6555125,26182,3815
"IRCTC",23486,44304,67790,127521.51685,4033.6613625,131555.1782125,69304,616.6
"INDIANB",14180,54868,69048,126506.9611,4951.8517,131458.8128,22283,873.5
"POLICYBZR",21900,25797,47697,128304.71955,1890.422345,130195.141895,30636,1712
"DIVISLAB",20660,47362,68022,125376.773,1589.85738,126966.63038,61947,6009.5
"DMART",22537,37918,60455,125234.33097,1549.939455,126784.270425,64218,3665.6
"SWIGGY",30567,18667,49234,124805.94048,1671.00349,126476.94397,37854,313
"GMRAIRPORT",18604,19933,38537,121556.777625,2372.3711775,123929.1488025,50720,91.58
"MAXHEALTH",22435,8972,31407,117646.42281,509.1946125,118155.6174225,47480,991.4
"KAYNES",33274,70488,103762,113980.77091,3588.96225,117569.73316,85511,3377
"KALYANKJIL",24788,109125,133913,108543.2016575,8874.5852375,117417.786895,69282,368.5
"CDSL",17525,33833,51358,112886.7881,3687.7047275,116574.4928275,55828,1326.6
"RVNL",23012,57696,80708,112107.4611825,4136.385295,116243.8464775,76936,325
"AUROPHARMA",17660,10569,28229,110459.292845,929.179185,111388.47203,56870,1128.5
"PIDILITIND",14821,3805,18626,107729.44875,237.7344,107967.18315,21461,1449.7
"CONCOR",17389,15717,33106,106087.431125,1758.05975,107845.490875,45407,479
"LODHA",25213,43207,68420,104368.58208,2673.550665,107042.132745,43906,900.4
"ICICIGI",17927,8564,26491,106066.0100175,417.169285,106483.1793025,24425,1794.9
"SBICARD",16550,16758,33308,103453.22448,1133.5228,104586.74728,37977,771
"GODREJCP",16086,38148,54234,100087.56975,3634.27725,103721.847,25168,1242.7
"BRITANNIA",13951,12130,26081,102827.487475,560.374975,103387.86245,36155,5822
"TORNTPHARM",10045,5657,15702,99808.0341,161.976475,99970.010575,13698,3932.8
"CUMMINSIND",12361,18028,30389,98651.7828,1156.59672,99808.37952,30606,3933.3
"IOC",12675,19707,32382,97589.4148125,1299.5643375,98888.97915,37339,156.3
"GAIL",18611,19204,37815,94857.82614,3621.247245,98479.073385,54857,160.85
"TATACONSUM",14982,10194,25176,96837.473095,499.153215,97336.62631,32367,1155
"NYKAA",12573,12620,25193,93129.723125,2197.9453125,95327.6684375,23435,234
