symbol,vol_cum,vol_val_cum,price
NIFTY,67106,1049463.13,24025.35
BANKNIFTY,29205,480373.33,54556.05
M&M,36656,231448.69,3211.7
RELIANCE,24531,179763.15,1463.3
ICICIBANK,19669,173583.07,1251.5
HDFCBANK,39771,169411.58,772.1
PNB,17495,151716.75,107.85
BHEL,12273,123073.46,374.95
LT,15480,110295.22,4051.2
MARICO,11086,104713.53,805.6
IDEA,13477,105991.83,10.82
KEI,10205,88025.59,5023.3
ABCAPITAL,7950,88666.97,361.2
SBIN,11084,87495.39,1059.8
BHARTIARTL,9845,85486.34,1804.3
MANAPPURAM,8719,79316.33,305.55
ADANIPORTS,8940,73991.83,1727.2
BSE,4783,66569.53,3720
DIXON,12725,72749.54,11266
CAMS,10140,59237.31,797.75
KOTAKBANK,9658,72122.61,370.85
AXISBANK,8977,71449.44,1260.8
POLYCAB,6693,69262.38,8342.5
VEDL,16596,57577.90,303.55
HAL,8684,60506.80,4606.4
INFY,12928,60933.75,1177.4
ADANIENT,7542,58075.58,2466.7
AMBUJACEM,13187,60576.18,433
ADANIENSOL,6180,59060.57,1411.1
ADANIGREEN,6665,52992.88,1332.7
MCX,3103,55028.41,2898.4
MARUTI,7987,53846.93,13413
YESBANK,8694,55745.75,20.44
BAJFINANCE,7383,52456.52,957.85
GODREJPROP,10243,51968.02,1809.5
TATAPOWER,7945,51005.09,442.6
ULTRACEMCO,8557,50821.83,11957
LAURUSLABS,5119,50866.04,1164
TCS,11494,48959.99,2426.9
ETERNAL,7800,47329.45,248.27
MIDCPNIFTY,2047,34271.81,13945.45
SHRIRAMFIN,5910,46713.69,962.5
INDIGO,6750,43119.95,4234.4
NATIONALUM,5652,43852.27,413.7
DELHIVERY,4744,44919.37,459.4
JIOFIN,7529,44308.45,248.25
ADANIPOWER,5109,42066.02,230
CGPOWER,5961,41806.00,827
HINDALCO,5632,41501.56,1054.7
VOLTAS,7908,41270.02,1382
PETRONET,7509,39989.78,282.35
ITC,7598,38036.05,311.45
BRITANNIA,5508,39902.32,5833
HYUNDAI,8340,40652.03,1823
BEL,6120,37902.16,432.5
HEROMOTOCO,4792,36548.12,5108.5
ASHOKLEY,4400,35198.67,160.08
BHARATFORG,3792,35168.74,1863.7
INDUSTOWER,5068,34921.33,402.75
HDFCLIFE,5398,35422.87,594
CHOLAFIN,3424,35397.94,1658.2
DRREDDY,4326,34389.27,1271.4
INDIANB,3997,33592.64,848.5
CDSL,5546,32579.33,1255.8
TITAN,4349,33345.19,4367.3
SUNPHARMA,4987,31734.31,1820.6
FEDERALBNK,4416,32305.06,293.55
WAAREEENER,5467,30471.31,3182
PFC,4991,29582.41,457.85
HDFCAMC,3652,30738.53,2806.3
HINDUNILVR,4250,29511.36,2323.9
BAJAJ-AUTO,3825,28964.13,10022
WIPRO,5206,30278.53,199.75
JINDALSTEL,3409,27135.15,1259.6
COFORGE,6006,26304.46,1166.5
BANDHANBNK,3551,26504.22,206.4
EICHERMOT,3836,27987.98,7306
LTM,4467,28074.85,4297
KFINTECH,6045,26492.09,899.05
NESTLEIND,3803,27961.29,1477.6
AMBER,3235,26509.18,8200.5
TATASTEEL,4502,26201.44,211.36
ONGC,3924,25696.98,289.8
ABB,2857,26028.45,7314.5
NTPC,4309,25819.98,398.4
GLENMARK,2886,26110.68,2413.6
CANBK,2820,25665.89,134.32
UNIONBANK,3574,25903.67,163.76
POWERGRID,4193,25402.16,319.4
MAZDOCK,4555,24067.22,2631.6
TMPV,9087,25027.08,340
VBL,4503,25764.35,511.8
POWERINDIA,2790,23827.95,34215
OFSS,3123,22808.57,9700
RBLBANK,2258,23880.23,332.8
EXIDEIND,3439,22663.52,362.1
KAYNES,5398,22619.76,4174
HINDZINC,2975,22339.89,611.45
INDUSINDBK,3665,23523.01,910.95
SRF,4587,23255.55,2528.9
INOXWIND,5861,22075.34,104.16
AUROPHARMA,2882,22271.30,1426.5
LUPIN,2236,22341.37,2344.7
AUBANK,2272,23041.10,1008.4
DLF,4405,21963.69,597.05
ANGELONE,2628,20615.32,314.85
BANKBARODA,2901,22515.23,263.4
PAYTM,2560,20451.92,1090.4
HINDPETRO,2851,21531.46,373.55
MUTHOOTFIN,2286,21612.83,3440.6
BIOCON,2201,20166.98,368
TRENT,5046,20845.73,4130.7
MPHASIS,3520,21651.14,2208
DABUR,3599,20573.74,460.85
HCLTECH,4703,19767.10,1200.2
PERSISTENT,4146,20130.90,4813.6
RVNL,4415,20090.00,300
DMART,2922,19037.73,4361
RECLTD,3919,19595.34,356.1
COALINDIA,2922,18758.78,472.15
JSWSTEEL,2325,19804.18,1252.6
GMRAIRPORT,2920,19783.51,96.93
SAIL,2319,20536.33,187.48
SUZLON,3689,18631.07,54.9
BPCL,3102,18337.61,298.2
TVSMOTOR,3039,18727.99,3535
LTF,2919,18797.02,290.4
ASIANPAINT,2908,17747.29,2428.8
GRASIM,2637,18894.90,2874.4
SBILIFE,2548,17457.17,1821.7
TECHM,1962,17176.92,1452.1
IDFCFIRSTB,2584,16625.77,68.72
CUMMINSIND,1640,17338.89,5260
APLAPOLLO,2530,16569.95,1867
POLICYBZR,2655,15600.64,1679.4
SHREECEM,2649,16250.84,24825
CROMPTON,3096,15408.20,275.2
SONACOMS,2117,14981.39,578.5
IRFC,2978,13473.74,105.62
