symbol,vol_cum,vol_val_cum,price
NIFTY,36940,577479.19,23947.1
BANKNIFTY,13208,216996.59,54389.3
RELIANCE,13499,98910.21,1455.2
BHEL,8106,81908.68,381.2
IDEA,10440,82336.06,10.83
HDFCBANK,20037,85327.94,766.9
ICICIBANK,8766,77411.00,1250.6
ABCAPITAL,5936,66081.82,356.6
MANAPPURAM,6687,60653.45,305.6
ADANIPORTS,6434,53328.60,1729.8
KEI,6156,52251.12,4948.4
DIXON,8533,49064.37,11285
LT,6819,48539.53,4046.2
HAL,6093,42497.36,4621
VEDL,11056,38375.22,300.65
AMBUJACEM,9387,43165.82,434
SBIN,5206,41110.95,1052.6
BSE,2649,36871.89,3785.8
POLYCAB,3879,39993.23,8190.5
KOTAKBANK,5380,40107.16,374.55
CAMS,5566,31988.76,789.5
INFY,8292,39128.26,1177.3
MCX,2050,36220.55,2916.2
GODREJPROP,6902,35145.87,1810.4
ADANIENT,4256,32825.60,2479.1
BHARTIARTL,3593,31385.03,1830.4
DELHIVERY,3455,32695.15,458.45
M&M,5024,31153.29,3086
NATIONALUM,4003,31045.63,415.9
ADANIPOWER,3693,30456.89,231.6
BAJFINANCE,4317,30476.63,947.25
ETERNAL,4756,28931.47,247.19
TATAPOWER,4351,27989.08,438.3
AXISBANK,3566,28382.90,1263
JIOFIN,4727,27856.90,249.35
PETRONET,4935,26309.01,273.2
MARUTI,3813,25692.25,13457
LAURUSLABS,2774,27568.22,1161.7
ADANIGREEN,2889,22798.35,1314.3
TCS,5802,24789.88,2438.5
SHRIRAMFIN,3169,24891.12,956.5
VOLTAS,4617,24216.64,1393.4
MIDCPNIFTY,992,16585.17,13909.2
BRITANNIA,3305,23891.30,5796.5
INDUSTOWER,3010,20740.02,400.2
INDIGO,2921,18596.65,4221.9
HYUNDAI,4544,22110.34,1802
CDSL,3363,19626.17,1255
SUNPHARMA,3054,19411.91,1816.5
BEL,3185,19731.57,430.95
ONGC,2809,18411.63,289.6
HDFCLIFE,2736,17988.99,592.8
CGPOWER,2616,18142.67,813.35
BHARATFORG,1942,17869.19,1835.2
ADANIENSOL,1894,17892.83,1388.8
ASHOKLEY,2136,17081.47,160.01
ULTRACEMCO,3057,18056.11,11746
EXIDEIND,2524,16683.12,362.6
WAAREEENER,3003,16671.68,3192
ITC,3342,16718.35,310.85
JINDALSTEL,1936,15471.30,1271.5
WIPRO,3008,17502.59,200.15
PFC,2719,16021.35,452.4
DLF,3220,16099.80,597.5
INOXWIND,4029,15222.74,104.4
MAZDOCK,2908,15369.32,2628
HEROMOTOCO,2018,15308.35,5055.5
COFORGE,3278,14380.35,1160.8
BANDHANBNK,2002,14903.82,205.97
PNB,1695,14805.54,109.15
KAYNES,3501,14662.45,4150.8
HINDALCO,2043,14966.56,1048.4
TATASTEEL,2573,14965.70,211.48
HINDZINC,1840,13800.69,609.6
TITAN,1930,14812.45,4364
BAJAJ-AUTO,1858,14095.93,10053
CHOLAFIN,1435,14746.94,1643.5
DRREDDY,1807,14418.01,1279.9
RBLBANK,1360,14344.26,333.6
ABB,1485,13534.91,7255.5
GLENMARK,1557,14014.11,2407.5
HINDUNILVR,1890,13095.43,2304.1
MUTHOOTFIN,1458,13749.07,3425.4
GMRAIRPORT,1987,13449.40,96.79
LUPIN,1299,12981.90,2341.9
PERSISTENT,2612,12693.03,4826
POWERINDIA,1516,12938.67,34090
EICHERMOT,1783,12989.85,7227
VBL,2349,13415.24,501.5
HDFCAMC,1531,12759.15,2815.6
LTM,1937,12169.11,4244.2
AMBER,1505,12254.77,8066
KFINTECH,2666,11531.31,900.95
SUZLON,2315,11723.87,55.1
MARICO,1194,11358.92,793.8
OFSS,1440,10563.63,9782
MPHASIS,1963,12147.75,2223.5
UNIONBANK,1616,11718.10,162.01
SAIL,1368,12115.39,187.28
NTPC,1851,11086.43,396.4
TRENT,2658,10985.27,4094
INDUSINDBK,1660,10637.39,906.5
TECHM,1261,11070.11,1457.3
TMPV,3872,10652.27,340.6
AUBANK,1070,10842.52,1007
COALINDIA,1551,9970.89,472.55
ASIANPAINT,1710,10450.68,2426.6
HCLTECH,2398,10061.73,1199.2
PAYTM,1231,9903.06,1088.8
HINDPETRO,1320,9932.82,366.8
FEDERALBNK,1405,10186.23,289.4
RVNL,2220,10063.74,298.65
SRF,1868,9512.10,2518.9
POWERGRID,1551,9391.19,316.9
DMART,1345,8727.66,4340.4
APLAPOLLO,1451,9503.67,1857.3
BPCL,1483,8765.31,294.3
NESTLEIND,1300,9494.05,1461
IRFC,1829,8270.71,105.1
ANGELONE,1098,8523.57,315.6
JSWSTEEL,1054,8989.62,1254.5
BIOCON,940,8553.29,365.35
CANBK,982,8937.25,134.6
CROMPTON,1812,9026.39,275.5
AUROPHARMA,1161,8857.83,1399.6
TVSMOTOR,1438,8825.69,3503.7
SONACOMS,1146,8104.84,576.8
DABUR,1442,8198.70,456.05
INDIANB,963,7987.39,827.45
MOTHERSON,1156,8581.58,120.11
RECLTD,1580,7889.35,352.65
IDFCFIRSTB,1199,7722.25,68.89
LODHA,1830,7578.06,914.95
BANKBARODA,975,7577.00,262.95
HAVELLS,1230,7620.74,1237.7
LTF,1209,7723.58,285.35
OIL,1083,7148.31,470.1
JSWENERGY,1266,7168.59,564.25
UNOMINDA,1249,7496.41,1073.7
CIPLA,1376,6849.09,1325.4
SBILIFE,1001,6835.41,1827.9
YESBANK,1117,6952.20,19.86
360ONE,1328,7114.09,1085.1
PRESTIGE,1066,6975.00,1437.2
CUMMINSIND,624,6584.63,5243.5
POLICYBZR,1093,6413.22,1672.6
INDHOTEL,975,6276.99,645.5
APOLLOHOSP,627,6064.12,7740
BAJAJFINSV,1349,5940.80,1763.5
BLUESTARCO,1070,6264.09,1813.4
TATAELXSI,1400,5870.54,4198
GRASIM,869,6198.93,2837.8
GAIL,1115,5813.85,163.61
PGEL,1081,5544.57,533.9
TORNTPHARM,1125,6010.59,4262
SWIGGY,1580,5693.56,275.65
DALBHARAT,870,5585.70,1976.9
NUVAMA,834,5547.92,1352
KPITTECH,1478,4896.24,772.2
COLPAL,1055,5166.19,2169.1
IOC,690,4779.41,140.9
NMDC,813,4912.89,88.87
COCHINSHIP,727,5013.03,1707
MFSL,794,5074.78,1587.2
SBICARD,914,4694.33,642
SIEMENS,685,4601.47,3833.8
GODREJCP,860,4630.51,1083.9
FORCEMOT,911,4329.28,19109
SUPREMEIND,684,4384.38,3654.2
ZYDUSLIFE,539,4412.63,908.55
NAUKRI,1223,4494.15,969
MAXHEALTH,782,4136.84,1001.9
ICICIPRULI,825,4095.54,537.5
PREMIERENE,650,3840.66,1037.2
DIVISLAB,572,3799.36,6602
SHREECEM,669,4126.31,24905
BDL,755,3666.50,1375.8
OBEROIRLTY,690,4045.47,1668.5
TATACONSUM,604,3849.30,1155.6
KALYANKJIL,686,3319.48,406.75
ICICIGI,616,3532.75,1768
NHPC,646,3405.34,83
MOTILALOFS,482,3129.76,840.4
SAMMAANCAP,524,3305.42,146.94
BANKINDIA,424,3073.34,138.2
PATANJALI,790,3235.68,454.35
BOSCHLTD,351,3173.05,36150
PIDILITIND,451,3073.49,1357.3
NAM-INDIA,480,3063.13,1034.6
SOLARINDS,381,2972.21,15557
PNBHOUSING,444,3028.19,1045.9
ASTRAL,446,2924.53,1543.8
PIIND,559,2954.23,3010.1
PAGEIND,543,3019.99,36905
FORTIS,391,2872.91,937.55
IEX,524,2466.94,127.61
IREDA,567,2678.87,135.09
JUBLFOOD,450,2648.76,468.85
CONCOR,389,2527.15,516.6
UPL,276,2421.69,642.3
LICHSGFIN,441,2454.61,552.65
GODFRYPHLP,402,2439.63,2211
LICI,406,2251.77,799.3
PHOENIXLTD,326,2042.46,1789.9
NBCC,336,2014.41,91.69
UNITDSPR,352,1864.87,1314.9
VMM,284,1712.65,123.29
MANKIND,265,1356.05,2263.6
NYKAA,130,1080.32,265.25
BAJAJHLDNG,197,1017.70,10363
ALKEM,145,969.17,5347
FINNIFTY,38,586.67,25639.7
NIFTYNXT50,45,793.12,70269.15
TIINDIA,115,672.04,2900
