symbol,vol_cum,vol_val_cum,price
NIFTY,39259,613652.14,23897.5
BANKNIFTY,14118,231894.91,54259.3
RELIANCE,14028,102768.90,1455
BHEL,8258,83433.57,379.2
HDFCBANK,21330,90815.20,764.65
IDEA,11028,86892.92,10.76
ICICIBANK,9599,84738.32,1245.8
ABCAPITAL,6010,66903.72,357.9
MANAPPURAM,6943,63008.23,305.5
ADANIPORTS,6638,55007.82,1726.4
KEI,6225,52850.78,4937.6
DIXON,8892,51091.63,11262
LT,7084,50423.67,4041.6
HAL,6377,44474.07,4626.5
VEDL,11834,41066.41,298.05
BSE,3014,41922.63,3775.6
CAMS,6523,37685.36,791.2
SBIN,5689,44895.80,1051
AMBUJACEM,10007,45997.23,431.5
KOTAKBANK,5688,42418.72,373.45
POLYCAB,4044,41692.79,8203.5
INFY,8751,41290.79,1172
MCX,2164,38282.17,2907
GODREJPROP,7132,36300.21,1816.5
M&M,5661,35106.18,3083.5
BHARTIARTL,3937,34375.87,1819.6
ADANIENT,4361,33630.69,2470.4
DELHIVERY,3635,34414.56,459.05
NATIONALUM,4112,31894.79,414
BAJFINANCE,4467,31543.42,941
ADANIPOWER,3734,30794.87,230.88
ETERNAL,4975,30250.67,246.8
MARUTI,4160,28034.77,13470
AXISBANK,3772,30017.75,1261.1
TATAPOWER,4437,28537.42,437.4
PETRONET,5116,27250.99,271.8
JIOFIN,4879,28749.48,248.52
LAURUSLABS,2824,28064.28,1164.8
TCS,6108,26103.54,2431.4
SHRIRAMFIN,3280,25769.85,956.05
ADANIGREEN,2946,23249.10,1307.5
VOLTAS,4820,25266.01,1392.1
MIDCPNIFTY,1078,18023.14,13891.55
BRITANNIA,3596,25999.83,5788.5
BHARATFORG,2622,24203.50,1853.1
CDSL,3977,23279.54,1254.8
HYUNDAI,4820,23440.19,1802
INDUSTOWER,3064,21109.35,399.15
INDIGO,3056,19457.86,4230
BEL,3396,21034.25,430.1
SUNPHARMA,3184,20241.23,1818.6
JINDALSTEL,2289,18269.45,1259.2
WAAREEENER,3417,18992.78,3171.4
ASHOKLEY,2334,18663.87,159.52
ONGC,2883,18894.09,288.1
CGPOWER,2744,19033.28,813.4
WIPRO,3329,19360.57,199.72
HDFCLIFE,2820,18539.92,591.65
ULTRACEMCO,3207,18940.44,11731
ADANIENSOL,1929,18222.29,1385
ITC,3510,17559.33,310.25
EXIDEIND,2587,17095.16,362
PFC,2816,16594.32,453.15
KFINTECH,3906,17056.42,902.35
HINDALCO,2301,16859.90,1039.5
HEROMOTOCO,2167,16441.69,5051
DLF,3340,16694.53,597.75
PNB,1821,15910.04,108.96
INOXWIND,4210,15896.77,103.7
COFORGE,3466,15197.85,1157.7
BANDHANBNK,2109,15702.64,205.45
KAYNES,3727,15601.89,4137.5
TATASTEEL,2813,16360.34,210.15
MAZDOCK,2985,15775.11,2623.4
DRREDDY,2012,16047.37,1278.5
TITAN,2069,15881.22,4385.7
CHOLAFIN,1561,16047.01,1647.3
HINDZINC,1919,14392.65,606.45
BAJAJ-AUTO,1946,14760.71,10048
GLENMARK,1761,15870.52,2419.2
RBLBANK,1453,15335.02,334
ABB,1592,14506.48,7266
HDFCAMC,1783,14898.89,2802.8
HINDUNILVR,2044,14163.35,2301
EICHERMOT,1951,14206.73,7235.5
VBL,2543,14516.03,500.15
LUPIN,1359,13582.73,2346
POWERINDIA,1571,13408.95,34150
ANGELONE,1634,12781.16,314.85
GMRAIRPORT,2057,13922.15,96.8
MARICO,1380,13137.07,792.1
MUTHOOTFIN,1475,13909.84,3421.1
PERSISTENT,2696,13099.54,4801.5
OFSS,1563,11468.07,9761.5
LTM,1981,12445.76,4243.9
UNIONBANK,1768,12812.74,161.62
SUZLON,2435,12327.50,54.83
AMBER,1541,12546.85,8063
MPHASIS,2046,12656.27,2212.2
SAIL,1465,12971.86,185.99
TRENT,2898,11972.73,4086
NTPC,1971,11801.24,395.2
INDUSINDBK,1780,11403.71,905.3
HCLTECH,2642,11086.89,1196.7
AUBANK,1152,11670.43,1005.5
TMPV,4069,11193.93,339.8
PAYTM,1352,10862.55,1087.7
COALINDIA,1648,10592.32,472.55
TECHM,1301,11419.73,1451.2
ASIANPAINT,1820,11120.75,2420.2
AUROPHARMA,1428,10924.47,1406.4
HINDPETRO,1396,10499.67,365.7
SRF,2067,10518.29,2507.9
FEDERALBNK,1476,10700.85,288.2
POWERGRID,1704,10311.78,315.35
RVNL,2298,10424.31,298.05
JSWSTEEL,1218,10383.25,1248.6
DMART,1430,9281.12,4343.9
BPCL,1600,9449.09,293.45
