symbol,vol_cum,vol_val_cum,price
NIFTY,70437,1101704.05,24049.9
BANKNIFTY,30355,499295.78,54559.7
M&M,39668,250932.65,3215.9
RELIANCE,26226,192207.88,1465.4
ICICIBANK,21501,189743.67,1250.9
HDFCBANK,41558,177030.28,773.1
PNB,17783,154214.19,107.89
BHEL,12669,126988.08,375
LT,17307,123331.28,4058.7
MARICO,11857,112214.34,807.65
IDEA,14322,112539.65,10.81
BHARTIARTL,11146,96718.90,1812
KEI,10640,91863.09,5031.6
SBIN,11924,94125.73,1059.7
ABCAPITAL,8235,91863.05,360.7
MANAPPURAM,9353,85188.22,308.75
DIXON,13838,79012.28,11277
ADANIPORTS,9275,76745.20,1721.1
BSE,5117,71253.00,3738.9
AXISBANK,10096,80319.92,1257.7
CAMS,10890,63741.03,798.25
KOTAKBANK,10211,76243.77,371.55
POLYCAB,6972,72177.49,8354
VEDL,17472,60655.90,304.95
HAL,9155,63773.03,4612
INFY,14644,69023.64,1178.3
ADANIENT,8086,62234.57,2461.3
ADANIGREEN,7204,57319.71,1331.5
AMBUJACEM,13993,64261.91,433.15
ADANIENSOL,6479,61920.36,1410
MCX,3343,59383.25,2907.2
YESBANK,9593,61510.76,20.55
MARUTI,8552,57650.41,13441
BAJFINANCE,7952,56557.97,958.75
ULTRACEMCO,9830,58455.86,11951
GODREJPROP,10647,53990.66,1811
ETERNAL,8547,51864.11,249.09
TATAPOWER,8176,52491.38,442.75
LAURUSLABS,5362,53282.16,1164.3
MIDCPNIFTY,2265,37932.33,13970.15
TCS,12108,51574.39,2429.8
SHRIRAMFIN,6339,50141.06,964.9
HINDALCO,6722,49574.56,1055.4
INDIGO,7173,45825.93,4243.2
NATIONALUM,6064,47054.06,414.15
CGPOWER,6540,45896.14,825.9
DELHIVERY,5017,47535.05,461
VOLTAS,8834,46051.07,1374.5
ADANIPOWER,5371,44211.24,229.99
JIOFIN,7783,45796.46,248.78
ITC,8307,41587.14,311.35
PETRONET,7693,40981.54,282.8
HEROMOTOCO,5357,40891.05,5118
BEL,6769,41931.29,433.45
HYUNDAI,8981,43791.75,1824.6
HINDUNILVR,5817,40478.86,2326.5
BRITANNIA,5693,41253.72,5834
ASHOKLEY,4752,38009.18,160.47
HDFCLIFE,5823,38217.85,594
BHARATFORG,3934,36500.66,1868.3
INDUSTOWER,5291,36456.04,402.8
CHOLAFIN,3617,37402.40,1657.9
INDIANB,4337,36497.23,848.9
DRREDDY,4611,36648.58,1273.1
SUNPHARMA,5630,35843.71,1823
FEDERALBNK,4965,36338.19,292.25
CDSL,5996,35262.30,1255.4
PFC,5660,33576.07,456.75
TITAN,4624,35456.41,4390
BAJAJ-AUTO,4393,33260.10,10062
WAAREEENER,5855,32644.33,3183
COFORGE,6744,29542.87,1169.3
HDFCAMC,3813,32101.78,2805.9
JINDALSTEL,3697,29417.55,1263.6
NESTLEIND,4411,32462.87,1477.2
WIPRO,5506,32034.07,199.86
BANDHANBNK,3994,29817.80,206.52
SRF,6033,30629.31,2538.7
EICHERMOT,4255,31055.74,7292.5
NTPC,5025,30117.20,398.95
KFINTECH,6407,28099.18,893.85
LTM,4667,29340.71,4304.8
TATASTEEL,4834,28137.44,211.41
ABB,3065,27934.60,7332.5
ONGC,4166,27283.20,290
GLENMARK,3137,28402.10,2428.1
AMBER,3342,27391.48,8213.5
TMPV,10140,27911.10,340.2
UNIONBANK,3831,27774.42,163.97
POWERGRID,4514,27352.66,319.3
POWERINDIA,3058,26127.72,34240
MAZDOCK,4897,25877.09,2631.9
CANBK,2952,26868.05,134.38
OFSS,3477,25374.99,9700
VBL,4759,27245.79,511.65
INDUSINDBK,4044,25954.07,909.75
PAYTM,3020,24093.01,1086.6
KAYNES,5758,24124.69,4175
AUROPHARMA,3218,24918.82,1428.4
RBLBANK,2363,24993.55,333.2
EXIDEIND,3607,23760.31,361.1
HINDZINC,3110,23356.72,611.9
DLF,4859,24208.92,598.15
AUBANK,2468,25026.48,1006.6
LUPIN,2417,24152.09,2343.4
INOXWIND,6186,23291.46,104.65
TRENT,5686,23509.80,4145
HINDPETRO,3121,23589.47,374.85
ANGELONE,2772,21752.03,314.85
BANKBARODA,3040,23591.96,263.45
DABUR,4000,22890.37,461.7
RECLTD,4554,22787.25,357.1
BIOCON,2328,21340.27,367.35
COALINDIA,3320,21311.83,473.45
MUTHOOTFIN,2383,22537.92,3459.6
HCLTECH,5091,21402.15,1200.2
DMART,3146,20506.18,4359.8
MPHASIS,3634,22347.89,2213
RVNL,4706,21423.21,300.9
BPCL,3402,20115.46,298.6
PERSISTENT,4301,20880.76,4817.2
SAIL,2540,22493.48,187.4
JSWSTEEL,2462,20970.10,1252.9
TVSMOTOR,3428,21141.75,3537
GMRAIRPORT,3024,20490.28,97.07
SUZLON,3882,19596.09,54.97
LTF,3240,20887.43,290.5
GRASIM,2927,20983.38,2869.2
GODREJCP,3725,20304.86,1102.5
ASIANPAINT,3105,18950.37,2433.5
SBILIFE,2796,19156.17,1821.7
CUMMINSIND,1865,19719.15,5269.5
TECHM,2040,17857.41,1453.4
IDFCFIRSTB,2742,17639.39,68.73
APLAPOLLO,2753,18038.31,1879.6
SHREECEM,2999,18393.09,24880
CROMPTON,3511,17474.21,275.95
POLICYBZR,2874,16895.25,1682
SONACOMS,2310,16348.70,576.1
IRFC,3275,14818.73,105.92
APOLLOHOSP,1567,15196.67,7770
BAJAJFINSV,3184,14165.34,1796.9
GAIL,2986,15504.83,163.99
INDHOTEL,2338,15115.95,650.3
SBICARD,2888,14859.82,646.3
MANKIND,2649,13783.60,2324.2
HAVELLS,2380,14759.98,1240
MOTHERSON,2000,14863.14,120.42
360ONE,2777,14936.25,1070.3
SWIGGY,4050,14498.11,274.5
CIPLA,2754,13740.46,1335.3
BLUESTARCO,2418,14178.40,1801.4
OIL,1907,12633.97,477.1
PREMIERENE,2130,12568.55,1041.6
SAMMAANCAP,2103,13280.42,144.39
UNOMINDA,2205,13190.49,1086.3
TATAELXSI,2951,12389.25,4224.3
TORNTPHARM,2447,13075.05,4288.1
SOLARINDS,1582,12468.12,15872
LODHA,2883,11915.39,907
BANKINDIA,1650,11928.74,138.56
PATANJALI,3006,12351.96,455.95
TATACONSUM,1917,12211.23,1154
NAUKRI,3253,11892.70,965.05
DALBHARAT,1857,11910.62,1964.5
NAM-INDIA,1730,11267.89,1054
COLPAL,2293,11209.90,2179.6
FORCEMOT,2325,11041.31,19025
PRESTIGE,1714,11182.01,1434.6
NMDC,1726,10409.20,88.89
JSWENERGY,1839,10402.11,562.4
NUVAMA,1614,10781.65,1353
DIVISLAB,1514,10051.25,6665.5
PGEL,1983,10121.46,533.4
BDL,1891,9214.33,1397.9
PIDILITIND,1499,10241.73,1365
MAXHEALTH,1895,10023.48,1003.05
IOC,1302,9032.66,142.3
ZYDUSLIFE,1168,9594.26,917.2
PAGEIND,1713,9582.21,37390
SIEMENS,1302,8762.88,3847.8
JUBLFOOD,1533,8941.47,464.95
MFSL,1452,9289.13,1597.5
KPITTECH,2519,8330.36,773
MOTILALOFS,1299,8487.66,844.45
ICICIPRULI,1687,8401.35,537.7
IEX,1694,8019.18,127.58
COCHINSHIP,1245,8569.63,1713.2
PNBHOUSING,1206,8218.62,1041.6
LICHSGFIN,1428,7981.10,557.2
SUPREMEIND,1221,7820.86,3628.4
ASTRAL,1204,7856.96,1529.9
GODFRYPHLP,1254,7664.34,2243
PIIND,1434,7575.81,3015
KALYANKJIL,1452,7005.02,407
OBEROIRLTY,1257,7367.81,1666.6
NHPC,1323,6976.76,83.16
NYKAA,845,7095.43,270
BOSCHLTD,726,6567.97,35845
UPL,717,6277.06,643.6
CONCOR,891,5793.43,518.9
FORTIS,798,5858.43,951.4
UNITDSPR,1107,5852.04,1315
VMM,983,5948.05,125.02
ICICIGI,918,5275.46,1776.9
IREDA,1098,5182.17,135.47
PHOENIXLTD,796,5017.65,1796.1
LICI,799,4436.23,799.95
ALKEM,594,4007.14,5408
NBCC,644,3877.32,93.1
TIINDIA,642,3777.48,2937
FINNIFTY,98,1516.01,25730.4
BAJAJHLDNG,496,2584.92,10482
NIFTYNXT50,88,1553.37,70683.15
