symbol,vol_cum,vol_val_cum,price
NIFTY,15886,248645.66,24021.5
BANKNIFTY,5240,86239.96,54578.05
BHEL,4659,47248.82,386.25
IDEA,5549,43609.89,11.18
RELIANCE,5290,38900.09,1468
HDFCBANK,9673,41244.72,771.05
ABCAPITAL,3411,37902.95,359.15
KEI,4185,35313.68,4824.8
MANAPPURAM,3953,35666.99,298.3
ADANIPORTS,3412,28333.24,1748.5
HAL,3339,23245.80,4633.3
DIXON,4379,25381.34,11519
ICICIBANK,2966,26273.63,1254.8
AMBUJACEM,5635,25909.37,439.95
INFY,5018,23695.04,1173
GODREJPROP,4137,21214.61,1846.1
LT,3021,21539.31,4044
ADANIPOWER,2476,20415.55,233.6
POLYCAB,1972,20338.05,8240.5
ADANIENT,2078,16050.45,2502.9
BHARTIARTL,1806,15814.68,1839.3
CAMS,2474,14001.17,764.85
M&M,2483,15387.36,3094.5
MCX,875,15279.07,2882.8
LAURUSLABS,1540,15309.86,1169.6
SBIN,1775,14073.24,1066
KOTAKBANK,1976,14672.10,369.05
BAJFINANCE,1937,13653.72,934.1
EXIDEIND,1857,12277.77,368.15
MARUTI,1773,11954.81,13514
PETRONET,2127,11515.93,283.3
ADANIGREEN,1369,10780.89,1314
TCS,2766,11797.98,2441.8
SHRIRAMFIN,1491,11638.60,950
AXISBANK,1501,11964.69,1270.2
INDIGO,1496,9541.48,4236
BSE,720,9948.95,3697
MIDCPNIFTY,453,7575.47,13947.35
VEDL,2701,9199.70,295.85
ULTRACEMCO,1721,10155.82,11803
BEL,1590,9851.31,433.75
INDUSTOWER,1397,9608.82,406.15
ETERNAL,1579,9663.56,252.2
DLF,1886,9471.13,604.9
ADANIENSOL,974,9184.63,1402.6
CHOLAFIN,876,8998.11,1634
VOLTAS,1678,8910.35,1408
COFORGE,1823,8019.83,1164.3
CGPOWER,1218,8422.47,815.45
ITC,1602,8031.94,310.55
NATIONALUM,1067,8177.34,408.25
MAZDOCK,1505,7959.08,2629.1
TATASTEEL,1364,7916.50,210.86
ASHOKLEY,957,7633.27,160.46
PNB,788,6872.22,108.97
MUTHOOTFIN,781,7357.27,3405.7
JIOFIN,1183,7023.81,252.4
HDFCLIFE,1094,7150.88,593.65
OFSS,830,6078.09,9830
BAJAJ-AUTO,835,6347.90,10132.5
JINDALSTEL,745,5941.68,1275.5
GLENMARK,766,6865.12,2404.8
CDSL,1123,6528.47,1224.1
SUNPHARMA,1027,6522.53,1805
HEROMOTOCO,816,6203.75,5044.5
WIPRO,1090,6370.99,200.9
BANDHANBNK,816,6076.44,206.31
KAYNES,1392,5802.59,4185
PFC,1004,5880.45,452.15
INOXWIND,1598,6039.79,105.71
LTM,963,6055.24,4243.7
BRITANNIA,863,6228.19,5761
TATAPOWER,914,5876.80,442.7
TITAN,764,5864.58,4385
ONGC,836,5534.20,292.15
HINDPETRO,771,5805.61,372.25
POWERINDIA,676,5779.61,34120
GMRAIRPORT,838,5700.77,96.54
LUPIN,542,5417.18,2351.1
SUZLON,1077,5439.75,55.74
HCLTECH,1262,5294.95,1197
ASIANPAINT,881,5388.32,2441
RBLBANK,507,5296.70,328.85
EICHERMOT,710,5185.38,7300.5
HINDUNILVR,707,4914.50,2306.9
UNIONBANK,712,5177.75,163.85
MOTHERSON,710,5260.70,120.66
DELHIVERY,552,5300.12,458.8
ABB,533,4849.49,7313.5
TRENT,1160,4797.70,4126.4
TMPV,1744,4799.27,343.55
BIOCON,518,4699.19,364.3
BPCL,776,4601.36,299.3
HINDZINC,560,4163.73,607.35
HINDALCO,638,4645.93,1034.8
WAAREEENER,795,4387.76,3156
FEDERALBNK,635,4593.17,288.85
DRREDDY,527,4217.86,1284.3
APLAPOLLO,691,4522.31,1859.8
DABUR,738,4190.45,453.3
PERSISTENT,867,4181.52,4815
AUBANK,436,4428.04,1010.7
BHARATFORG,452,4169.87,1849.3
AMBER,511,4147.78,8073
COALINDIA,582,3755.12,474.8
SRF,766,3920.75,2543.8
LODHA,935,3893.87,918.3
TECHM,444,3907.37,1463.3
MARICO,395,3752.48,786.7
NESTLEIND,549,4004.77,1455.1
POWERGRID,631,3827.61,319.25
RECLTD,713,3561.62,356.2
NTPC,623,3740.84,399.9
INDUSINDBK,544,3495.84,913.6
HYUNDAI,773,3788.46,1823
VBL,648,3723.63,507
PRESTIGE,553,3633.48,1449.1
CANBK,376,3419.44,134.4
BANKBARODA,436,3392.04,265.15
IDFCFIRSTB,506,3270.54,69.26
CUMMINSIND,328,3460.93,5248
LTF,544,3462.57,284.3
DMART,435,2829.56,4333.8
CIPLA,602,3005.87,1324.9
JSWENERGY,519,2943.71,569.6
AUROPHARMA,413,3131.21,1383.3
