symbol,vol_cum,vol_val_cum,price
NIFTY,17387,272166.88,24041.9
BANKNIFTY,5742,94511.40,54666.1
IDEA,7473,59041.62,11.01
BHEL,5372,54466.46,382.75
ABCAPITAL,4082,45419.27,360.9
RELIANCE,6043,44435.85,1467.5
HDFCBANK,10861,46305.61,772.8
MANAPPURAM,4936,44579.03,305.8
KEI,4951,41875.76,4899.9
ADANIPORTS,4337,36014.78,1739.7
ICICIBANK,3632,32162.33,1256
DIXON,4916,28482.23,11492
HAL,3588,24986.83,4642.5
AMBUJACEM,6043,27804.49,440
LT,3732,26612.49,4063
INFY,5498,25961.22,1174.9
POLYCAB,2456,25357.05,8304.5
ADANIPOWER,2841,23443.53,232.04
GODREJPROP,4402,22565.63,1846.2
CAMS,3266,18584.18,769.4
ADANIENT,2577,19914.57,2489.1
M&M,3017,18717.81,3100.9
MCX,1064,18625.34,2881.8
VEDL,4711,16168.53,304.35
BHARTIARTL,1974,17286.26,1832.2
BAJFINANCE,2386,16815.78,937.85
SBIN,2079,16485.30,1067
PETRONET,2894,15639.19,280.75
LAURUSLABS,1655,16454.18,1167.9
KOTAKBANK,2243,16653.36,370.25
ADANIGREEN,1853,14616.27,1315.6
TCS,3698,15815.18,2448.7
SHRIRAMFIN,2000,15648.59,954.85
INDUSTOWER,2099,14481.50,406
NATIONALUM,1835,14126.30,417.25
MARUTI,1992,13436.03,13484
DELHIVERY,1585,15079.56,452.8
EXIDEIND,1958,12948.82,367.7
AXISBANK,1710,13633.61,1269.8
ETERNAL,1928,11808.92,251.65
MIDCPNIFTY,529,8851.16,13957.55
BSE,805,11118.22,3710.4
BEL,1912,11854.88,435.5
INDIGO,1634,10422.94,4220.7
ULTRACEMCO,1982,11704.74,11787
ADANIENSOL,1164,10989.48,1401.7
RBLBANK,1046,11013.30,334.65
VOLTAS,1928,10226.59,1408
COFORGE,2076,9131.19,1168.8
MAZDOCK,1826,9664.48,2649
DLF,1984,9962.05,604.9
CGPOWER,1394,9648.91,814.7
ITC,1825,9146.22,311.2
TATASTEEL,1684,9780.54,211.87
JIOFIN,1626,9663.86,251.63
CHOLAFIN,935,9604.70,1640
TATAPOWER,1449,9333.86,443.1
BRITANNIA,1348,9729.71,5781
PFC,1475,8661.12,453.85
JINDALSTEL,990,7903.71,1276.7
PERSISTENT,1774,8604.35,4840
HDFCLIFE,1380,9035.45,597.55
SUNPHARMA,1321,8382.12,1802.9
PNB,906,7906.71,109.12
WIPRO,1442,8421.16,201.05
MUTHOOTFIN,903,8511.14,3438.8
ASHOKLEY,1027,8194.75,160.57
INOXWIND,2004,7585.54,105.6
POWERINDIA,934,7982.03,33970
OFSS,957,7010.41,9829
BAJAJ-AUTO,970,7377.17,10133.5
GLENMARK,879,7884.34,2393.3
ONGC,1079,7130.05,289.9
LTM,1163,7313.59,4257.4
CDSL,1271,7389.21,1229.2
HINDZINC,899,6710.05,613.8
HEROMOTOCO,910,6917.66,5052.5
BANDHANBNK,937,6980.09,206.23
KAYNES,1606,6704.56,4177.1
SUZLON,1347,6811.89,55.5
ABB,739,6737.99,7323
APLAPOLLO,1070,7012.05,1866
TITAN,865,6642.20,4396
HYUNDAI,1454,7120.87,1814.5
GMRAIRPORT,980,6658.56,96.19
HCLTECH,1509,6335.02,1199.4
HINDALCO,901,6573.32,1046.5
HINDUNILVR,889,6179.19,2299
HINDPETRO,846,6373.46,371.7
ASIANPAINT,978,5983.00,2436.9
LUPIN,572,5716.95,2347
MOTHERSON,838,6217.33,120.84
DRREDDY,690,5519.96,1282.6
FEDERALBNK,822,5954.53,290.1
EICHERMOT,779,5690.07,7287.5
WAAREEENER,1006,5558.15,3154
AMBER,710,5770.29,8140
TRENT,1345,5562.77,4124.3
UNIONBANK,773,5622.40,163.81
TMPV,2013,5541.84,342.9
BPCL,867,5141.02,298.7
BIOCON,566,5137.82,363.6
SONACOMS,660,4663.05,574.8
BHARATFORG,541,4993.97,1853.8
DABUR,832,4724.97,452.25
INDUSINDBK,722,4643.14,914.35
TECHM,551,4847.84,1465.1
DMART,682,4434.30,4333.2
COALINDIA,666,4296.16,476
