symbol,vol_cum,vol_val_cum,price
NIFTY,16301,257139.14,24122.2
BANKNIFTY,8795,146396.26,55070.7
LT,18061,123536.71,3918.3
COFORGE,17967,85938.40,1264
M&M,11570,76425.54,3306.4
SRF,7661,40359.34,2619.3
HEROMOTOCO,4764,37486.01,5244
SBIN,4803,38462.55,1067.5
IDEA,4897,39001.39,11.13
YESBANK,5649,37460.06,21.21
ICICIBANK,4124,36648.92,1256.4
ADANIENT,4360,33725.06,2478.8
MARICO,3271,32729.24,823.1
BAJFINANCE,4295,31590.96,974
TCS,7892,33726.86,2450
VEDL,8126,29293.28,314.2
RELIANCE,3874,28496.06,1458.3
PNB,3191,28330.97,110.1
HDFCBANK,6422,27679.98,775.55
MIDCPNIFTY,1290,21927.89,14131.9
BHEL,2631,25902.14,376.3
INFY,5632,26698.87,1177
INDIGO,3521,23135.05,4374.9
CGPOWER,3222,22391.18,823.15
BSE,1482,20663.76,3775.9
POWERINDIA,2676,22352.34,33495
ABCAPITAL,1849,21207.49,371.3
SHRIRAMFIN,2724,22191.12,980.55
HDFCLIFE,3446,22750.30,595.15
POLYCAB,1950,20603.22,8404.5
ADANIGREEN,2407,19414.55,1338.8
BIOCON,2121,20022.06,380
ADANIPOWER,2515,20326.94,226.56
AXISBANK,2373,18992.12,1266.1
RBLBANK,1716,18559.17,337.95
LUPIN,1708,17294.72,2379
BEL,2784,17447.47,438.6
MCX,918,16718.18,2949.5
LTF,2532,16994.48,299.8
GLENMARK,1947,17689.83,2416.7
CANBK,1798,16706.73,137.2
PERSISTENT,3220,15966.21,4936.6
ADANIPORTS,1922,15938.36,1735.3
CUMMINSIND,1590,16919.64,5285
BAJAJ-AUTO,1853,14214.96,10220
TITAN,2037,15599.18,4333.8
TRENT,3280,13971.15,4247.7
CDSL,2439,14611.41,1262.6
BHARTIARTL,1665,14494.15,1823.9
BANKBARODA,1871,14800.24,268.75
ADANIENSOL,1484,14125.46,1405.9
ABB,1555,14013.90,7238.5
LICHSGFIN,2307,13288.11,580.2
AMBUJACEM,2913,13579.33,442.25
NATIONALUM,1714,13448.83,419.85
JIOFIN,2118,12565.58,251.7
AUROPHARMA,1528,12206.33,1446
INDIANB,1325,11545.65,864.3
ETERNAL,1877,11504.55,250.62
IDFCFIRSTB,1791,11731.82,69.59
AUBANK,1114,11430.24,1021.6
HCLTECH,2631,11159.49,1201
ITC,2124,10644.62,311.55
HINDALCO,1514,11343.21,1062.6
INDUSTOWER,1590,11071.56,409.15
INDUSINDBK,1668,10915.83,925.6
MARUTI,1457,9909.91,13566
ASHOKLEY,1252,10193.49,163.1
CHOLAFIN,934,9982.26,1694.9
KEI,1087,9757.74,5112.8
HINDZINC,1173,8981.27,620.95
KOTAKBANK,1261,9451.98,373
FEDERALBNK,1276,9444.30,294.5
MPHASIS,1445,9002.51,2228.6
DIXON,1552,8809.71,11333
HAL,1160,8105.45,4651.4
UNIONBANK,1173,8706.55,166.58
TATAELXSI,1948,8355.25,4309.2
ULTRACEMCO,1374,8304.35,11990
TMPV,3096,8710.74,345.75
BLUESTARCO,1498,8661.64,1778.2
WIPRO,1408,8262.49,200.06
BANKINDIA,1150,8521.45,141.52
FORCEMOT,1425,7066.44,20280
BANDHANBNK,1011,7648.73,208.33
COALINDIA,1133,7295.12,476
UNITDSPR,1528,7924.31,1279
INDHOTEL,1166,7725.50,662.35
TATASTEEL,1295,7643.43,213.64
NTPC,1252,7511.42,397.65
ANGELONE,898,7071.71,317.2
CROMPTON,1494,7576.35,281.95
PFC,1204,7183.00,456.95
BRITANNIA,1029,7519.60,5795
HINDUNILVR,936,6494.16,2293.3
LAURUSLABS,698,6950.33,1167
MANAPPURAM,706,6618.22,309
HDFCAMC,784,6709.09,2827
EICHERMOT,874,6447.15,7338
CAMS,990,5953.03,797.25
BAJAJFINSV,1320,6064.89,1826.1
JSWSTEEL,773,6619.21,1260.7
SUZLON,1278,6419.76,54.17
WAAREEENER,1064,5967.29,3204.8
MAZDOCK,1049,5593.53,2656.9
TECHM,628,5552.57,1470
VOLTAS,1080,5549.45,1373
SBICARD,1128,5908.19,651.25
ONGC,798,5196.98,288.35
GODFRYPHLP,921,5807.60,2296.8
LTM,850,5485.48,4349.5
PAYTM,649,5208.83,1100.2
SIEMENS,829,5540.60,3818
RECLTD,1092,5495.98,355.3
TVSMOTOR,857,5379.66,3564.7
BHARATFORG,564,5328.46,1893.2
INOXWIND,1328,5073.02,107.32
SUNPHARMA,786,5041.59,1826.1
HINDPETRO,657,5084.81,379.35
JINDALSTEL,634,5041.92,1262.4
AMBER,621,5158.89,8244
NESTLEIND,639,4731.00,1476.2
OFSS,663,4792.84,9710
NMDC,811,4962.10,90
COCHINSHIP,643,4497.38,1750
POLICYBZR,817,4847.91,1685.8
MOTHERSON,633,4807.51,123.19
BPCL,720,4340.81,303.35
KAYNES,1008,4278.28,4221.3
DABUR,772,4486.91,463.65
IOC,627,4428.41,144.11
BDL,838,4152.42,1416.1
PIDILITIND,644,4477.30,1383.7
GODREJPROP,805,4060.70,1827.8
SOLARINDS,517,4104.95,15885
MUTHOOTFIN,444,4289.54,3470.1
TATAPOWER,632,4078.86,443.2
MANKIND,740,3854.25,2311
GODREJCP,744,4149.80,1105.6
KPITTECH,1031,3480.79,787
DELHIVERY,440,4247.13,461.95
SBILIFE,564,3899.40,1841.4
JSWENERGY,679,3852.51,566.75
HAVELLS,617,3856.26,1251
ASTRAL,556,3635.46,1541.1
SAIL,433,3861.66,188.17
TORNTPHARM,687,3713.01,4316.5
HYUNDAI,766,3807.66,1833
VBL,627,3609.93,504.8
DRREDDY,426,3401.91,1280.5
PNBHOUSING,506,3497.21,1059.5
DLF,654,3253.89,600.25
RVNL,744,3392.61,302.1
ICICIPRULI,662,3351.32,544
DMART,479,3137.87,4367.6
GMRAIRPORT,459,3137.24,97.33
JUBLFOOD,554,3244.98,465.15
ASIANPAINT,494,3038.88,2446.8
APOLLOHOSP,325,3181.19,7770
PETRONET,579,3101.54,280
TIINDIA,561,3281.60,2890.8
NYKAA,364,3105.34,271.5
CIPLA,585,2947.50,1336.8
TATACONSUM,460,2950.47,1157.2
MFSL,448,2936.04,1643
MOTILALOFS,398,2656.68,858.25
PIIND,499,2674.55,3059.4
POWERGRID,416,2520.43,317.4
EXIDEIND,390,2561.10,363.2
GRASIM,345,2502.67,2885
LICI,452,2544.48,803.1
NBCC,396,2431.98,94.34
IEX,455,2183.08,129
SAMMAANCAP,376,2376.10,145.5
SWIGGY,614,2215.75,276.15
NAUKRI,602,2221.04,975
DIVISLAB,313,2091.75,6641.5
NUVAMA,322,2197.12,1384.2
IREDA,459,2162.71,136.44
360ONE,382,2090.70,1085.7
UPL,229,2021.44,648.1
NAM-INDIA,284,1886.26,1067.8
ZYDUSLIFE,232,1927.96,919
LODHA,446,1846.25,920.8
SONACOMS,257,1822.31,575.8
ALKEM,272,1861.88,5493
PATANJALI,461,1908.67,457
IRFC,335,1530.95,106.35
PGEL,329,1694.19,538.3
NHPC,340,1796.69,82.9
OBEROIRLTY,302,1766.28,1664.7
KFINTECH,375,1670.48,897.35
PREMIERENE,267,1587.32,1040.1
BAJAJHLDNG,288,1547.45,10756
APLAPOLLO,232,1534.58,1869.9
COLPAL,321,1574.08,2170
GAIL,311,1620.72,164.6
CONCOR,231,1513.67,521
KALYANKJIL,277,1344.22,411.25
OIL,194,1290.37,473.35
ICICIGI,218,1269.85,1781.6
SHREECEM,192,1190.45,24945
UNOMINDA,196,1184.27,1087
FORTIS,158,1163.74,942.85
BOSCHLTD,126,1140.70,36040
PHOENIXLTD,168,1062.98,1806.7
MAXHEALTH,206,1099.79,1009.5
DALBHARAT,163,1051.34,1973.4
FINNIFTY,37,579.36,25933.2
PAGEIND,147,826.77,37245
PRESTIGE,122,791.53,1440.8
NIFTYNXT50,42,748.06,71061.65
SUPREMEIND,91,584.65,3654.4
VMM,88,532.33,124
