symbol,vol_cum,vol_val_cum,price
NIFTY,111330,1758958.88,24330.95
BANKNIFTY,54196,906313.90,55981.05
LT,48116,331729.84,4012.6
ICICIBANK,32263,288293.67,1279.6
HDFCBANK,56649,247156.06,796
SBIN,28355,228810.73,1099
HEROMOTOCO,27317,210144.23,5180
COFORGE,38783,186371.29,1280
M&M,28947,190753.42,3297
RELIANCE,25752,187004.01,1438.7
MIDCPNIFTY,7084,121406.63,14312.9
INDIGO,20420,136992.57,4524.1
SRF,24049,129426.16,2725
KOTAKBANK,19018,142689.54,377.15
POLYCAB,12687,134595.48,8400
INFY,27374,128582.64,1170.5
HDFCLIFE,19511,129998.87,606
ADANIENT,15111,117998.87,2540.5
YESBANK,18304,123485.42,22.06
CGPOWER,16428,115803.94,826.45
IDEA,14622,117964.58,11.27
BSE,7533,106836.73,3870.1
TCS,27736,117712.26,2435
KPITTECH,33086,106532.71,749.45
AXISBANK,14201,114413.36,1300.6
BHEL,10434,104592.92,385
SHRIRAMFIN,12578,103389.44,1007
LUPIN,8860,91409.45,2445
BAJFINANCE,12327,90510.24,981.15
ASHOKLEY,11111,92172.08,168.45
PNB,9992,88350.86,110.3
MCX,4507,82492.51,2970
AMBER,9490,81105.89,8720
VEDL,20393,73870.87,317.5
ETERNAL,13327,82476.95,255.9
BAJAJ-AUTO,9037,69558.96,10390
TITAN,10319,78574.31,4357.6
GLENMARK,8783,79621.84,2379
BHARTIARTL,8553,74847.56,1833.8
HINDZINC,8383,65051.22,635.15
MARICO,6820,67886.56,818
ADANIPORTS,8157,67882.97,1742.2
DRREDDY,8062,65624.01,1308
ADANIENSOL,7166,68455.87,1405
ADANIGREEN,7649,61968.56,1352.8
MARUTI,9297,63587.87,13750
CDSL,11106,66967.38,1287.1
BHARATFORG,7085,66340.72,1878
LAURUSLABS,6514,65777.42,1180
AMBUJACEM,13498,63226.48,445.75
HINDPETRO,7480,59787.14,399.3
HINDALCO,8605,63990.95,1044
ADANIPOWER,7672,62238.33,229.1
BANKBARODA,7779,61500.71,271.1
TATASTEEL,10192,60494.59,215.23
AUROPHARMA,7341,59552.36,1482.1
EXIDEIND,9319,59081.67,352
HCLTECH,14218,59666.15,1190.9
NATIONALUM,7660,59257.94,407.05
BEL,9332,58430.12,438.1
SUNPHARMA,8570,55546.42,1850
TRENT,12249,52599.16,4300
TMPV,19740,56441.98,358.25
POLICYBZR,9343,55762.92,1703
DIXON,9692,54743.86,11297
JIOFIN,9308,55296.51,252.5
PERSISTENT,10649,53283.23,5004.1
CANBK,5860,54527.44,138.05
ULTRACEMCO,9034,54613.51,12100
ASIANPAINT,8395,52665.89,2525.1
ABCAPITAL,4549,52104.49,370.7
ONGC,8147,52322.08,280.9
WAAREEENER,9382,53190.15,3223.5
RBLBANK,4843,52074.06,336.7
BIOCON,5107,48591.42,381.85
MOTHERSON,6548,50907.22,127.8
NTPC,8428,50437.40,394.1
PAYTM,5585,45153.28,1110
POWERINDIA,5646,47313.51,33450
INDUSTOWER,6729,46978.38,407.5
AUBANK,4529,46391.30,1027
ITC,8934,44738.22,310.75
IOC,6078,43718.71,148.65
FEDERALBNK,6213,45760.03,292.4
COALINDIA,6829,43681.05,468.6
PIDILITIND,6367,45201.58,1423
ABB,4852,43648.50,7182.5
LICHSGFIN,7254,42218.07,582.5
EICHERMOT,6051,44203.93,7315
INDUSINDBK,6645,43742.09,948
BPCL,6395,39426.90,314.7
TVSMOTOR,6539,41062.44,3618
HINDUNILVR,5936,41181.72,2315.8
HAL,5643,39424.62,4635
UNIONBANK,5466,40756.98,169.05
LTF,6023,40226.51,300.1
WIPRO,6747,39584.20,199.25
CROMPTON,7443,38163.15,282
CUMMINSIND,3721,39679.93,5304.5
KEI,3941,35711.04,5138.7
IDFCFIRSTB,5697,36990.81,69.57
INDIANB,4030,34967.28,866.5
UNITDSPR,7119,36794.88,1296.2
BRITANNIA,4881,35465.49,5790
CHOLAFIN,3204,34193.01,1720
NESTLEIND,4499,33402.47,1479.9
BANDHANBNK,4185,31577.78,208.98
KAYNES,7200,30907.22,4305
INDHOTEL,4780,31842.23,668
SBICARD,6294,32790.12,650.2
HYUNDAI,6562,32693.73,1852.5
RECLTD,6053,30405.71,359
BANKINDIA,4211,31213.31,142.35
SBILIFE,4451,31006.81,1868.9
VOLTAS,5743,29600.68,1379.6
SAMMAANCAP,4765,30627.83,149.5
FORCEMOT,5441,27296.28,20250
MUTHOOTFIN,3074,29814.93,3550.1
GMRAIRPORT,4186,28799.81,99.75
OIL,4483,28908.59,451.1
CAMS,4376,26518.75,816.3
DLF,5605,28169.41,611.25
MANAPPURAM,3052,28450.29,310.85
PFC,4554,27304.83,464
HDFCAMC,3292,28057.48,2813
ASTRAL,4157,27606.49,1582.8
LTM,4310,27500.64,4318
CIPLA,5046,25804.08,1362.9
