symbol,vol_cum,vol_val_cum,price
NIFTY,25796,406537.64,24087.1
BANKNIFTY,13634,226761.67,54971.3
LT,23026,157538.60,3930
HEROMOTOCO,16163,124685.77,4985
COFORGE,23338,111541.68,1272.4
M&M,17054,112569.31,3263
IDEA,8848,70955.23,11.25
SRF,12320,65249.63,2694
YESBANK,10004,66749.86,21.48
ICICIBANK,7212,64052.12,1260.8
RELIANCE,7874,57628.69,1447.3
SBIN,6857,54807.52,1065.7
TCS,13050,55620.90,2428.2
HDFCLIFE,8385,55372.90,600.05
MIDCPNIFTY,2477,42153.45,14140.8
BAJFINANCE,6313,46348.72,970.8
VEDL,11737,42428.12,314.35
HDFCBANK,10915,47014.41,778.05
BSE,2825,39725.52,3809
INFY,9070,42882.81,1173.8
ADANIENT,5220,40342.76,2488
LUPIN,3862,39385.78,2409
MARICO,3942,39374.59,825.65
PNB,4396,38934.33,109.29
INDIGO,5190,34147.14,4371.5
CGPOWER,5203,36359.85,828.3
BHEL,3587,35377.47,376
BAJAJ-AUTO,4011,30806.13,10165.5
POLYCAB,3152,33306.32,8420
MCX,1719,31035.70,2961
BIOCON,3266,30954.00,382.15
ABCAPITAL,2688,30792.83,367.8
BHARTIARTL,3399,29662.15,1834
ADANIGREEN,3457,27811.31,1327.8
SHRIRAMFIN,3615,29421.05,978.7
TITAN,3818,29098.15,4301.4
AXISBANK,3609,28844.16,1262.1
PERSISTENT,5375,26722.65,4954.2
POWERINDIA,3269,27316.09,33340
CDSL,4508,27017.99,1267.3
ADANIPOWER,3471,28020.49,225.73
RBLBANK,2513,27153.49,337.65
AMBUJACEM,5852,27254.14,440.85
GLENMARK,3084,28013.47,2409
AUROPHARMA,3169,25459.46,1469.7
BEL,4157,26044.44,437.85
LICHSGFIN,3979,23033.82,580.3
ETERNAL,3768,23129.90,251.74
ABB,2599,23393.97,7178
TRENT,4749,20258.29,4250
INDUSTOWER,3225,22552.93,410.75
CUMMINSIND,2198,23384.41,5301
ADANIENSOL,2225,21189.39,1412.1
LTF,3171,21245.74,298.1
CANBK,2259,20979.75,136.16
KEI,2183,19720.08,5190
ADANIPORTS,2413,19991.83,1730
JIOFIN,3366,19958.31,250.93
HCLTECH,4671,19728.47,1197.4
BANKBARODA,2539,20062.50,266.35
MARUTI,2506,17018.01,13434
NATIONALUM,2316,18172.81,417.4
HAL,2428,17001.75,4655
ULTRACEMCO,2912,17552.67,11993
KOTAKBANK,2334,17487.06,372.4
EICHERMOT,2342,17133.19,7220
FORCEMOT,2991,14976.36,20018
INDIANB,1807,15714.16,856.95
HINDALCO,2226,16646.99,1055.1
ASHOKLEY,1988,16175.22,161.58
BHARATFORG,1695,16051.22,1875
WAAREEENER,2736,15436.49,3213.7
POLICYBZR,2763,16399.11,1712.4
ITC,2979,14932.81,310.1
HINDUNILVR,2118,14654.07,2298
IDFCFIRSTB,2417,15780.69,68.87
TVSMOTOR,2383,14889.33,3519
AUBANK,1515,15524.26,1009.4
CROMPTON,3025,15415.82,282.1
BLUESTARCO,2614,15112.95,1789.6
INDHOTEL,2114,14050.67,664.1
SUNPHARMA,2041,13138.21,1843.4
FEDERALBNK,1904,14076.50,292.4
CHOLAFIN,1262,13464.08,1696.1
UNIONBANK,1876,13905.93,166.59
DIXON,2385,13524.65,11336
INDUSINDBK,2107,13776.10,923.45
LAURUSLABS,1417,14114.83,1168.5
HINDZINC,1540,11784.24,617.4
NESTLEIND,1713,12670.38,1479.7
PIDILITIND,1802,12651.97,1409
WIPRO,2122,12435.52,199.8
LTM,1928,12363.99,4324
PAYTM,1427,11475.92,1107.7
MPHASIS,1989,12339.43,2217.2
BRITANNIA,1702,12399.66,5790
NTPC,2015,12075.12,396
UNITDSPR,2372,12280.06,1282
ANGELONE,1426,11278.13,316.65
TMPV,4222,11882.79,344.65
TATASTEEL,1961,11564.86,212.7
DRREDDY,1424,11398.17,1283.2
TATAELXSI,2518,10804.35,4287.7
SAMMAANCAP,1808,11559.06,147.33
BANDHANBNK,1372,10369.12,207.18
CAMS,1619,9760.07,808.05
