symbol,vol_cum,vol_val_cum,price
NIFTY,37251,586352.70,24040
BANKNIFTY,18907,313988.70,54709.7
LT,26104,178601.00,3922
HEROMOTOCO,21350,164010.10,5083
COFORGE,30612,146852.14,1275.3
M&M,20986,138300.42,3252.5
SRF,19156,102594.19,2722.6
HDFCLIFE,13942,92504.18,610.4
RELIANCE,11199,81717.24,1435
ICICIBANK,9985,88601.24,1255.9
IDEA,9907,79519.00,11.19
YESBANK,11768,78670.07,21.56
SBIN,8639,68974.07,1065.1
TCS,16756,71300.29,2420.7
BHEL,6519,64866.29,382.45
BSE,4025,56767.62,3804.8
HDFCBANK,14243,61310.44,776
LUPIN,5605,57398.29,2424.7
MIDCPNIFTY,2844,48406.91,14143.65
VEDL,14521,52459.78,312.2
INFY,12331,58175.41,1170.9
BAJFINANCE,7184,52696.39,968.65
CGPOWER,7362,51762.72,834.55
MARICO,5188,51769.01,826.7
ADANIENT,6289,48614.60,2495.4
POLYCAB,4658,49270.14,8415.5
LAURUSLABS,4836,48794.20,1195.7
PNB,5282,46697.05,108.43
BAJAJ-AUTO,5466,41995.48,10214
INDIGO,6330,41638.58,4357.7
GLENMARK,4941,44955.55,2416.9
BIOCON,4056,38543.49,380.75
MCX,2131,38626.10,2962.9
PERSISTENT,7617,38014.48,5003.8
BHARTIARTL,4389,38334.09,1831.1
AXISBANK,4852,38701.04,1257
SHRIRAMFIN,4782,38906.17,980.55
AUROPHARMA,4633,37385.30,1479
ABCAPITAL,3142,35973.12,366.65
TITAN,4808,36604.89,4338.3
CDSL,6096,36591.34,1261.5
ADANIGREEN,3904,31385.85,1335.7
LICHSGFIN,5577,32399.60,584.1
BEL,5373,33647.06,436.5
ADANIPOWER,4230,34141.68,226.18
BHARATFORG,3295,31025.35,1850.2
POWERINDIA,3681,30759.56,33300
RBLBANK,2875,31035.65,334.4
POLICYBZR,5191,30953.91,1700.8
ADANIPORTS,3572,29560.52,1723.4
KOTAKBANK,4086,30551.13,368.6
AMBUJACEM,6582,30645.54,438.45
ETERNAL,4822,29587.66,251.2
ADANIENSOL,3054,29109.69,1402
ABB,3136,28215.11,7194
HCLTECH,6770,28530.26,1193.5
INDUSTOWER,4027,28158.39,407.35
CANBK,2964,27481.42,134.88
KEI,2809,25439.23,5177.3
EXIDEIND,4238,27215.89,342.75
TRENT,5595,23856.33,4246.7
CUMMINSIND,2580,27465.85,5308
LTF,3870,25868.97,296
JIOFIN,4368,25882.01,249.5
HAL,3506,24538.20,4630.6
HINDZINC,3130,24008.32,628.3
BANKBARODA,3232,25481.98,264.1
SUNPHARMA,3559,22954.75,1845.4
NATIONALUM,3037,23775.17,414.45
MARUTI,3210,21788.96,13492
PIDILITIND,3332,23531.00,1419.2
ULTRACEMCO,3819,22999.64,11956
DIXON,3986,22525.20,11195
EICHERMOT,3141,22936.24,7242
TVSMOTOR,3387,21151.65,3560.7
HINDUNILVR,3058,21150.57,2293.5
HINDALCO,2953,22047.78,1056.2
PAYTM,2536,20486.35,1112.2
DRREDDY,2603,20902.10,1295.9
ASHOKLEY,2580,20949.12,160.85
AUBANK,2063,21072.85,1002.3
NTPC,3451,20664.05,396.4
FEDERALBNK,2780,20488.30,289.45
IDFCFIRSTB,3057,19893.30,68.66
INDIANB,2189,18991.77,851.05
CROMPTON,3864,19704.08,283.2
FORCEMOT,3479,17419.21,20120
INDHOTEL,2923,19432.21,663.05
AMBER,2280,18874.21,8277.5
WAAREEENER,3182,17948.61,3198
ITC,3563,17853.15,310.15
ONGC,2643,17136.95,284.7
UNIONBANK,2392,17721.26,165.34
NESTLEIND,2357,17453.48,1485.6
CHOLAFIN,1567,16709.05,1691.8
TATASTEEL,2889,17018.02,212.99
LTM,2715,17366.65,4299
WIPRO,2877,16848.58,198.89
BLUESTARCO,2989,17293.60,1782.3
MPHASIS,2693,16637.76,2206
INDUSINDBK,2480,16200.26,921.45
SAMMAANCAP,2574,16469.91,148.52
SBILIFE,2333,16208.58,1859.9
BANDHANBNK,1951,14704.71,205.76
BRITANNIA,2187,15921.82,5790
COALINDIA,2280,14657.66,472.75
TMPV,5413,15246.27,344.7
ASTRAL,2305,15201.14,1569
UNITDSPR,2926,15136.20,1277.9
CAMS,2175,13138.65,804.3
ANGELONE,1690,13371.37,314.35
MANKIND,2481,13034.61,2355.2
MANAPPURAM,1480,13811.76,307.65
HDFCAMC,1649,14075.54,2817.6
ASIANPAINT,2141,13267.51,2473.6
CIPLA,2541,12914.76,1361.5
TATAELXSI,3000,12868.48,4278.7
GODFRYPHLP,2140,13506.90,2281.3
DABUR,2256,13098.55,465.15
RECLTD,2607,13058.51,352.7
VOLTAS,2505,12848.01,1365.1
MAZDOCK,2338,12455.47,2639.5
BAJAJFINSV,2696,12345.91,1802.6
SUZLON,2535,12629.74,53.49
HINDPETRO,1615,12537.13,384.35
ZYDUSLIFE,1494,12561.15,935
PFC,1998,11905.79,457.2
NBCC,2002,12435.53,94.03
INOXWIND,3007,11498.60,106.65
DELHIVERY,1286,12435.34,465.55
JSWSTEEL,1420,12148.09,1258.9
OFSS,1619,11692.20,9695.5
BANKINDIA,1636,12089.47,139.79
JINDALSTEL,1403,11121.00,1255.3
SAIL,1347,11955.06,186.38
SBICARD,2121,11062.25,646.6
DMART,1538,10118.57,4421.2
VBL,1902,10896.95,504.4
GODREJPROP,2026,10262.64,1821.6
PIIND,2026,10932.07,3043.6
HYUNDAI,2225,11043.68,1815.4
MUTHOOTFIN,1115,10746.26,3480.9
TATAPOWER,1553,9995.34,440.25
COCHINSHIP,1344,9438.52,1750
TECHM,1117,9854.09,1459.7
NAM-INDIA,1481,9944.54,1089
GODREJCP,1793,9887.46,1087.6
KAYNES,2196,9317.68,4229.5
SIEMENS,1432,9562.42,3814.8
SOLARINDS,1190,9406.54,15661
DIVISLAB,1404,9429.05,6713.5
MOTHERSON,1272,9680.80,122.78
BPCL,1475,8908.70,305.55
RVNL,2125,9657.18,300.65
GMRAIRPORT,1386,9423.13,96.42
ICICIPRULI,1862,9424.49,549.1
NMDC,1496,9097.87,88.68
KPITTECH,2237,7546.17,791
TORNTPHARM,1589,8620.15,4347.7
JSWENERGY,1509,8577.51,568.5
BDL,1618,8000.54,1396.8
GRASIM,1146,8299.68,2881.4
JUBLFOOD,1429,8315.85,464.35
APOLLOHOSP,814,7958.28,7771
LODHA,1867,7777.86,923.3
TATACONSUM,1217,7751.05,1142.6
HAVELLS,1241,7760.88,1245.2
MFSL,1175,7721.05,1647
IOC,1000,7062.50,143.95
ALKEM,999,6930.22,5620
TIINDIA,1309,7646.31,2876
PETRONET,1340,7180.56,280.65
POWERGRID,1180,7140.42,316.3
DLF,1393,6930.03,595.75
PNBHOUSING,981,6768.61,1042.5
PATANJALI,1685,6969.38,456.45
NUVAMA,965,6621.85,1388.1
IEX,1266,6080.50,128.97
360ONE,1109,6051.20,1077
SUPREMEIND,929,5987.22,3678
LICI,1065,5983.34,801.65
SHREECEM,966,5963.16,24765
NAUKRI,1638,6025.53,967.2
KFINTECH,1246,5544.88,896.15
MOTILALOFS,753,5039.80,865.6
UPL,582,5131.57,645.1
PREMIERENE,854,5058.54,1031.1
SWIGGY,1371,4959.05,274.75
APLAPOLLO,729,4832.63,1880.7
SONACOMS,682,4842.14,578.35
DALBHARAT,776,4958.93,1941.1
BOSCHLTD,562,5099.88,36105
NYKAA,559,4764.53,270.75
OIL,686,4536.85,467.25
KALYANKJIL,865,4211.81,412
UNOMINDA,737,4460.91,1101.3
NHPC,838,4417.27,83.08
COLPAL,844,4119.34,2162.6
IRFC,786,3582.02,105.46
IREDA,869,4091.24,135.08
PAGEIND,723,4086.36,37605
OBEROIRLTY,693,4049.82,1656.8
ICICIGI,627,3671.75,1811
MAXHEALTH,635,3393.92,1016.75
PGEL,618,3173.36,534
GAIL,648,3375.03,164.23
BAJAJHLDNG,562,3022.31,10579
CONCOR,476,3112.26,520.05
FORTIS,433,3193.77,948.7
PHOENIXLTD,368,2337.52,1811.2
PRESTIGE,362,2356.39,1439.2
FINNIFTY,93,1454.12,25884.45
VMM,233,1404.22,123.51
NIFTYNXT50,56,997.34,70901.6
