symbol,vol_cum,vol_val_cum,price
NIFTY,13370,210979.56,24123.8
BANKNIFTY,7278,121179.99,55120.6
LT,17002,116293.50,3920.1
COFORGE,16853,80623.47,1262.3
M&M,10528,69525.53,3300.3
HEROMOTOCO,4342,34140.91,5266
SRF,6704,35326.91,2631.2
IDEA,4447,35390.23,11.19
SBIN,4295,34414.41,1069.5
ICICIBANK,3604,32043.42,1256.7
ADANIENT,3742,28957.35,2500
MARICO,2856,28616.89,825.7
TCS,7112,30371.08,2447.9
VEDL,7379,26593.69,312.8
YESBANK,4226,27974.33,21.32
BAJFINANCE,3499,25715.48,979.4
PNB,2810,24950.63,110.32
MIDCPNIFTY,1187,20175.80,14139.1
HDFCBANK,5571,24012.44,774.95
INFY,4895,23223.15,1177.5
RELIANCE,2967,21847.62,1462
INDIGO,3008,19745.32,4386
BHEL,2075,20392.01,374.15
POWERINDIA,2515,21004.89,33385
SHRIRAMFIN,2547,20750.95,981.4
BSE,1370,19083.26,3767.7
ABCAPITAL,1599,18325.88,369.8
HDFCLIFE,3013,19894.44,597.2
CGPOWER,2666,18500.58,813.95
POLYCAB,1733,18309.99,8417
ADANIPOWER,2361,19081.41,227.04
AXISBANK,2211,17700.46,1267.7
RBLBANK,1626,17585.60,339.25
ADANIGREEN,1937,15601.23,1345.5
LTF,2422,16257.83,300.55
PERSISTENT,2939,14571.57,4925
ADANIPORTS,1764,14629.41,1739.1
LUPIN,1434,14507.77,2388
BEL,2318,14519.81,437.45
CANBK,1565,14531.58,137.53
BAJAJ-AUTO,1643,12601.89,10215
CUMMINSIND,1354,14420.53,5242
ABB,1484,13371.28,7238.5
MCX,703,12832.58,2927.4
CDSL,2152,12887.53,1260.3
GLENMARK,1499,13611.38,2415.9
BANKBARODA,1633,12912.77,269.15
TRENT,2697,11474.38,4250
ADANIENSOL,1276,12139.68,1407.2
TITAN,1552,11916.13,4336.2
AUROPHARMA,1464,11695.48,1448.4
INDIANB,1219,10622.74,866.05
AUBANK,1048,10751.31,1024
LICHSGFIN,1777,10213.96,576.65
BHARTIARTL,1197,10416.97,1814
HINDALCO,1410,10567.21,1060
IDFCFIRSTB,1597,10470.02,69.88
INDUSINDBK,1547,10125.14,927.65
BIOCON,1034,9686.85,375
NATIONALUM,1286,10085.93,420.55
KEI,1058,9497.02,5112.8
CHOLAFIN,889,9502.94,1695
HCLTECH,2231,9477.19,1201
JIOFIN,1625,9634.28,251.36
ITC,1788,8954.41,312.25
ETERNAL,1461,8955.89,250.07
HINDZINC,1073,8217.18,619.75
MARUTI,1193,8112.09,13558
MPHASIS,1371,8545.94,2231.6
KOTAKBANK,1111,8328.00,372.55
FEDERALBNK,1139,8430.30,295
DIXON,1412,8014.95,11349
ASHOKLEY,965,7858.86,162.18
UNIONBANK,1029,7637.66,166.63
BLUESTARCO,1354,7832.97,1776.8
WIPRO,1290,7574.96,200.2
HAL,984,6872.01,4646
TMPV,2658,7480.86,344.9
TATAELXSI,1656,7095.84,4313
COALINDIA,1074,6915.12,474.95
ULTRACEMCO,1144,6918.94,12008
BANDHANBNK,919,6953.78,208.38
AMBUJACEM,1533,7114.98,441.25
TATASTEEL,1200,7082.84,213.5
INDUSTOWER,983,6828.93,408.1
BANKINDIA,947,7013.10,141.8
NTPC,1111,6664.62,397.35
UNITDSPR,1294,6715.81,1292.9
