symbol,vol_cum,vol_val_cum,price
NIFTY,27437,432438.19,24190.1
BANKNIFTY,8062,135145.11,55598.85
BSE,10999,160023.45,3942
BRITANNIA,10913,76367.11,5617.5
PIDILITIND,9480,71098.31,1485
LUPIN,5945,61574.48,2430.4
MCX,2985,56724.94,3100
HDFCBANK,12813,55645.97,783.5
RELIANCE,6294,45003.52,1427.1
SBIN,5010,40501.25,1090.9
BIOCON,3719,36515.96,393.3
ADANIPORTS,4432,37079.16,1775.5
ICICIBANK,4452,39734.10,1269.4
BHEL,2953,31628.63,406.7
DABUR,5205,31205.32,473.6
BHARATFORG,3083,31044.22,2021.1
MIDCPNIFTY,1410,24653.27,14559.85
COFORGE,5451,27195.85,1340.9
POLYCAB,2363,26938.61,9104
NUVAMA,3351,26091.99,1618.6
BEL,4467,28251.68,443.65
LT,3927,27282.93,3981
APOLLOHOSP,2280,22836.99,8021
AXISBANK,3145,25176.75,1270.6
ADANIENT,2576,20210.99,2537.1
INFY,4538,21304.12,1169
WAAREEENER,3608,20721.44,3262.1
GLENMARK,2457,21664.44,2349.1
BAJFINANCE,2735,19774.49,957.3
INDUSINDBK,3122,20718.14,944.4
NBCC,3066,19724.18,100.81
LAURUSLABS,1773,18553.65,1220
KOTAKBANK,2616,19762.86,375.95
TCS,4493,18698.65,2382.2
ANGELONE,1973,16211.28,328.7
RBLBANK,1621,17928.62,347.5
ABB,1965,17468.36,7149.5
HAL,2212,16005.51,4807.6
COALINDIA,2794,17251.98,458.15
M&M,2468,16534.89,3343.5
PNBHOUSING,2340,16351.78,1083.4
DIXON,2767,15479.07,11219
ASIANPAINT,2404,15385.96,2558.3
CDSL,2674,16027.67,1253
ETERNAL,2511,15564.51,255.18
BHARTIARTL,1818,15785.53,1818.3
TITAN,1989,15002.83,4298.1
ITC,3149,15527.62,306.55
HEROMOTOCO,1693,13583.97,5366.5
KPITTECH,4914,14882.40,724.1
INDIGO,2023,13712.94,4516.5
IDEA,1763,14050.97,11.1
POWERINDIA,1621,13916.42,34035
TATASTEEL,2355,13979.54,214.86
PAYTM,1423,12393.48,1197
TATACONSUM,2044,13118.82,1165.9
SHRIRAMFIN,1635,13589.63,1005.9
ASHOKLEY,1537,12997.67,168.51
NATIONALUM,1775,13334.05,399.7
BANKBARODA,1605,12649.31,269.15
BAJAJ-AUTO,1379,10999.55,10660
JIOFIN,2110,12424.51,250.19
DRREDDY,1479,11950.03,1296.5
VEDL,3177,11124.96,303
YESBANK,1593,11216.38,22.53
MOTHERSON,1418,11543.18,131.66
VOLTAS,2206,11058.16,1333.6
WIPRO,1930,11224.15,197
HCLTECH,2513,10482.28,1191.4
AMBER,1109,9809.41,8795.5
PERSISTENT,1869,9481.09,5073.8
PFC,1739,10453.11,465.4
NTPC,1694,10174.38,399.7
SOLARINDS,1196,9682.11,16100
ADANIPOWER,1215,9959.39,230.59
AMBUJACEM,2030,9714.39,457.35
PNB,1097,9544.30,108.3
COCHINSHIP,1245,9051.89,1803.7
HINDALCO,1251,9182.16,1042.2
AUBANK,891,9259.02,1041.4
SUNPHARMA,1400,9029.75,1842.2
BLUESTARCO,1595,8873.04,1714.8
ADANIENSOL,953,8944.41,1381.3
DALBHARAT,1464,9196.71,1916.5
MARUTI,1197,8213.50,13650
TECHM,977,8557.83,1467
HINDZINC,1049,8181.78,634.6
KAYNES,1871,8232.79,4381.9
CGPOWER,1088,7955.89,863.5
BDL,1489,7682.10,1463.8
HINDPETRO,1048,8355.55,391.15
HDFCLIFE,1169,8036.31,619.8
ULTRACEMCO,1345,8097.65,11944
HINDUNILVR,1168,7976.22,2270.4
FEDERALBNK,1104,8154.45,293.7
