symbol,vol_cum,vol_val_cum,price
NIFTY,30680,483639.69,24237.85
BANKNIFTY,9311,156093.10,55616.6
BSE,12793,186398.79,3908
BRITANNIA,14975,104791.04,5542
PIDILITIND,9931,74456.71,1477.9
MCX,3573,68117.87,3100
LUPIN,6351,65799.16,2434
HDFCBANK,14662,63679.52,783.9
RELIANCE,7182,51385.78,1431.9
SBIN,5904,47748.13,1090
ADANIPORTS,5548,46555.49,1789
COFORGE,7668,38477.87,1341.3
ICICIBANK,5119,45681.56,1268
BHARATFORG,3929,39639.03,2038.9
BIOCON,3951,38804.92,391.75
BHEL,3527,37737.61,404
MIDCPNIFTY,1583,27689.72,14565.2
NUVAMA,4119,32217.33,1611.5
DABUR,5580,33431.47,474.45
POLYCAB,2611,29764.74,9098.5
APOLLOHOSP,2607,26132.55,8037
BEL,4899,30989.86,442.65
LT,4468,31033.37,3985.8
IDEA,3827,30743.51,11.35
TCS,6681,27791.37,2384.8
INFY,5874,27600.62,1173.6
NBCC,4236,27451.03,101.36
AXISBANK,3415,27335.30,1273.7
WAAREEENER,4249,24420.44,3278.5
ADANIENT,2950,23161.19,2534.9
ANGELONE,2510,20659.99,328.9
BAJFINANCE,3265,23589.98,960.25
LAURUSLABS,2135,22344.50,1229.2
ASIANPAINT,3322,21305.61,2588
GLENMARK,2652,23395.52,2354.6
ABB,2465,21911.69,7129.5
KOTAKBANK,3011,22742.63,376.7
COALINDIA,3363,20785.14,461.35
INDUSINDBK,3375,22401.16,944.95
KPITTECH,6367,19374.78,728
M&M,2882,19316.60,3362
RBLBANK,1738,19223.84,346.8
HAL,2413,17456.18,4795
TITAN,2465,18585.33,4296.8
PAYTM,1934,16874.04,1208.9
PNBHOUSING,2629,18394.88,1089.3
BHARTIARTL,2135,18541.03,1824.3
DIXON,3082,17249.71,11197
POWERINDIA,2083,17835.13,33850
ITC,3619,17845.78,306.95
CDSL,2965,17774.15,1259.9
ETERNAL,2771,17181.83,255.24
HEROMOTOCO,1884,15130.91,5377
INDIGO,2320,15733.42,4528
TATASTEEL,2671,15854.10,216.4
TATACONSUM,2408,15461.58,1169
PERSISTENT,2814,14322.70,5101.7
