symbol,vol_cum,vol_val_cum,price
NIFTY,10080,158932.91,24232.2
BANKNIFTY,4047,67843.83,55709.7
BSE,5429,78407.14,3934.4
PIDILITIND,5511,41499.51,1496.4
BRITANNIA,5980,41970.24,5541.5
LUPIN,2299,23785.48,2444.6
BIOCON,1945,19051.92,394.1
DABUR,2791,16863.53,479.55
HDFCBANK,3910,17009.86,787.9
RELIANCE,2296,16412.49,1425.5
SBIN,1531,12365.42,1087.1
ICICIBANK,1467,13096.43,1272.7
MCX,626,11827.53,3066.2
BHEL,962,10288.51,406.3
NUVAMA,1171,8960.89,1589.1
MIDCPNIFTY,378,6599.70,14542.4
POLYCAB,706,8017.30,9124
BEL,1356,8584.32,441.7
COALINDIA,1367,8440.42,461.05
LT,1225,8532.04,4001.5
WAAREEENER,1445,8264.60,3266.5
TATACONSUM,1186,7622.03,1162
LAURUSLABS,704,7384.50,1229.2
ASIANPAINT,1136,7278.60,2562.1
AXISBANK,938,7516.28,1278.9
ADANIENT,905,7077.22,2527.2
BHARATFORG,640,6419.29,2002.7
KOTAKBANK,907,6837.55,378.2
RBLBANK,577,6379.64,347.1
ADANIPORTS,754,6244.35,1740
M&M,840,5608.37,3331.7
ASHOKLEY,682,5777.52,169.23
HAL,702,5072.13,4810.4
TATASTEEL,940,5588.56,215.7
COFORGE,1044,5122.04,1306
INDIGO,801,5420.18,4504.3
COCHINSHIP,696,5088.94,1815.6
TCS,1245,5171.52,2399.6
SHRIRAMFIN,659,5480.56,1007.3
INFY,1117,5232.88,1168.4
PAYTM,556,4852.02,1196.9
KPITTECH,1743,5185.34,706.95
ABB,562,5007.29,7113.5
BAJFINANCE,682,4950.33,965.9
HEROMOTOCO,559,4452.84,5288
VEDL,1270,4448.66,302.65
BANKBARODA,588,4621.08,267.6
JUBLFOOD,809,4783.35,477.2
IDEA,552,4418.54,11.1
PNB,512,4452.91,108.33
TITAN,536,4056.97,4319.1
NATIONALUM,601,4526.65,400.1
MOTHERSON,538,4374.46,131.67
ETERNAL,666,4137.41,254.16
BHARTIARTL,473,4113.84,1826.2
APLAPOLLO,527,3707.81,1977.9
ANGELONE,433,3532.51,329.1
BDL,613,3162.34,1470.8
NTPC,602,3613.67,399.05
WIPRO,620,3623.57,198.63
HCLTECH,800,3327.24,1189.2
ITC,692,3421.12,307.8
BLUESTARCO,591,3280.64,1700
MARUTI,463,3170.89,13674
HINDZINC,413,3210.23,632.7
ZYDUSLIFE,369,3157.25,945.3
BAJAJ-AUTO,345,2744.74,10617
VOLTAS,620,3123.04,1343.5
CANBK,340,3105.04,134.92
HINDUNILVR,446,3050.23,2276.4
TECHM,338,2953.63,1461.9
GLENMARK,342,3053.60,2353.4
MPHASIS,499,3016.98,2198.4
POWERINDIA,317,2754.70,34475
TMPV,987,2828.46,355.45
DELHIVERY,258,2607.20,484
SUNPHARMA,422,2717.07,1835.9
YESBANK,381,2674.47,22.5
HINDPETRO,322,2568.26,391.5
PERSISTENT,488,2457.34,5052.8
DIXON,467,2589.71,11103
SRF,447,2509.54,2806
JIOFIN,456,2678.76,249.56
IDFCFIRSTB,394,2583.83,70.32
DRREDDY,320,2594.51,1302
GMRAIRPORT,374,2636.37,101.07
LTM,423,2680.43,4275.5
HDFCLIFE,369,2542.26,625.85
CHOLAFIN,254,2679.89,1685.6
AUBANK,250,2581.06,1035.4
TATAPOWER,392,2501.81,437.35
KAYNES,562,2460.92,4402.2
HINDALCO,317,2338.61,1048.8
FEDERALBNK,322,2382.83,295.05
IEX,462,2306.67,134.08
AMBER,259,2284.65,8760
POLICYBZR,381,2265.44,1688.2
MAZDOCK,390,2102.92,2678.1
KEI,228,2063.95,5157
PNBHOUSING,326,2267.85,1070.8
EICHERMOT,281,2047.20,7278.5
TVSMOTOR,311,1996.12,3666
ABCAPITAL,179,2042.04,365.7
CUMMINSIND,187,2034.86,5430
ADANIPOWER,251,2056.41,229.16
CROMPTON,379,2005.90,294
MANKIND,345,1863.27,2401
GODREJCP,346,1785.53,1035.9
CGPOWER,233,1706.51,853.9
MUTHOOTFIN,188,1849.59,3569.8
KALYANKJIL,365,1761.58,407.25
DLF,352,1789.48,614.5
NBCC,291,1845.10,97.36
ADANIGREEN,198,1632.44,1364.6
MANAPPURAM,180,1710.20,317.45
BPCL,268,1618.49,303.65
BANDHANBNK,220,1644.36,205.77
JINDALSTEL,205,1604.27,1245.1
UNIONBANK,219,1617.49,165.94
ONGC,234,1491.94,282.45
RVNL,338,1575.29,308
INDUSINDBK,230,1531.34,946.1
APOLLOHOSP,156,1536.18,7890
SUZLON,296,1496.48,55.73
SAMMAANCAP,232,1521.61,151.99
PFC,240,1437.13,459.05
ADANIENSOL,142,1336.96,1380.6
JSWSTEEL,165,1427.99,1275.3
BANKINDIA,191,1390.58,139.5
AUROPHARMA,167,1374.47,1490.4
CIPLA,275,1408.84,1360.4
BAJAJFINSV,297,1356.80,1820
POWERGRID,226,1349.83,312.25
EXIDEIND,201,1322.00,365.5
TRENT,295,1266.89,4290.5
OFSS,178,1277.75,9509
GAIL,262,1381.37,166.39
NMDC,216,1316.67,89.9
ULTRACEMCO,204,1234.20,12098
SOLARINDS,154,1237.52,16013
INDUSTOWER,183,1254.05,399.8
SIEMENS,152,1033.35,3860.9
IOC,158,1127.65,145.42
AMBUJACEM,252,1195.56,451.4
LODHA,255,1116.89,967.3
MARICO,110,1102.19,831.55
RECLTD,215,1086.61,358.5
TORNTPHARM,202,1105.80,4377
SAIL,126,1111.23,186.29
INDIANB,120,1032.35,855.95
CONCOR,157,1042.85,531.85
HYUNDAI,209,1047.79,1839.9
OIL,153,974.30,452.7
JSWENERGY,163,937.25,573
BOSCHLTD,94,893.63,38020
PREMIERENE,145,846.43,1026.6
CDSL,140,843.61,1272.4
PGEL,173,875.05,529.35
SHREECEM,125,796.55,25420
GRASIM,110,814.24,2960.5
VBL,148,855.57,511.5
PAGEIND,147,825.27,37330
NESTLEIND,102,753.84,1485.3
BAJAJHLDNG,136,713.11,10459
DMART,101,669.35,4416.4
OBEROIRLTY,115,678.66,1679
UNOMINDA,114,722.64,1144.5
SBILIFE,104,731.94,1876.2
NAUKRI,195,722.67,981.15
GODREJPROP,126,650.51,1862.7
FINNIFTY,32,505.49,26296.65
HAVELLS,102,648.92,1272
IREDA,139,649.50,135.08
INDHOTEL,93,623.55,667.25
FORCEMOT,117,607.04,20703
ICICIPRULI,112,587.48,565.65
DALBHARAT,94,599.05,1952.8
INOXWIND,146,563.79,106.92
MFSL,84,576.14,1709.1
CAMS,79,497.68,836.05
ASTRAL,83,556.79,1575
LICI,99,561.59,807.4
HDFCAMC,62,528.35,2830.7
COLPAL,111,540.14,2169.3
PIIND,100,542.29,3100.1
GODFRYPHLP,81,526.51,2363
MAXHEALTH,100,531.83,1013.75
UNITDSPR,100,516.15,1283.5
SONACOMS,71,503.64,575.9
KFINTECH,101,464.18,919
SBICARD,92,478.38,648.65
PATANJALI,114,473.54,460.3
TATAELXSI,101,432.51,4305.2
SWIGGY,120,435.52,277.95
PETRONET,80,428.19,280
UPL,48,425.36,652.3
LTF,56,380.91,304.2
IRFC,81,372.36,106.45
ALKEM,54,378.01,5615.5
360ONE,67,373.86,1116.6
NHPC,70,362.93,81.17
DIVISLAB,50,337.74,6730
NYKAA,37,314.39,271.05
FORTIS,42,310.66,953.45
PRESTIGE,38,255.43,1485
TIINDIA,44,264.48,2988
LICHSGFIN,41,240.44,585.85
