symbol,vol_cum,vol_val_cum,price
NIFTY,27700,436582.16,24208.55
BANKNIFTY,8133,136335.21,55637.1
BSE,11306,164573.02,3971
BRITANNIA,11414,79896.27,5643
PIDILITIND,9578,71828.59,1486
MCX,3112,59190.40,3107
LUPIN,5998,62124.24,2436.3
HDFCBANK,13111,56942.92,784
RELIANCE,6473,46286.80,1428.5
SBIN,5107,41286.78,1091.4
ICICIBANK,4565,40741.03,1270.6
ADANIPORTS,4512,37755.53,1777.5
BIOCON,3745,36773.11,392.65
BHEL,2980,31917.69,406.5
DABUR,5262,31543.72,474
BHARATFORG,3120,31418.72,2022.5
COFORGE,5644,28169.58,1341.7
MIDCPNIFTY,1430,25003.99,14574.65
NUVAMA,3521,27446.11,1624.2
POLYCAB,2398,27337.51,9095.5
BEL,4579,28962.05,443.45
LT,3997,27767.39,3982.9
APOLLOHOSP,2309,23128.87,8036.5
AXISBANK,3224,25806.52,1271.9
NBCC,3518,22704.44,101.15
ADANIENT,2620,20557.57,2539.1
INFY,4608,21632.91,1169
WAAREEENER,3631,20853.40,3263.7
GLENMARK,2484,21903.57,2352.7
TCS,4775,19879.58,2382
BAJFINANCE,2809,20306.80,958.1
INDUSINDBK,3161,20976.92,945.45
LAURUSLABS,1803,18865.47,1225.3
KOTAKBANK,2665,20131.91,376.45
ANGELONE,2023,16624.28,329.7
ABB,2062,18331.15,7132
RBLBANK,1631,18039.28,347.35
COALINDIA,2843,17554.54,458.75
HAL,2227,16113.95,4805.2
M&M,2600,17419.18,3348.9
DIXON,2847,15928.43,11199
PNBHOUSING,2374,16591.49,1082.5
ASIANPAINT,2464,15770.32,2564.9
IDEA,2083,16616.68,11.12
ITC,3257,16059.50,307.1
TITAN,2043,15409.59,4292.1
BHARTIARTL,1851,16071.38,1818.6
CDSL,2707,16224.82,1254
ETERNAL,2535,15713.86,255.16
HEROMOTOCO,1748,14028.33,5381
KPITTECH,5004,15156.16,724.15
POWERINDIA,1694,14538.35,33920
TATASTEEL,2419,14358.37,215.3
INDIGO,2035,13794.35,4518.4
PAYTM,1454,12663.15,1196.2
TATACONSUM,2075,13317.88,1166.1
SHRIRAMFIN,1656,13764.31,1006.35
ASHOKLEY,1563,13217.49,168.69
BAJAJ-AUTO,1465,11687.99,10680
BANKBARODA,1636,12894.39,269.15
NATIONALUM,1788,13432.09,399.95
DRREDDY,1543,12466.18,1299.9
JIOFIN,2130,12542.16,250.26
VEDL,3193,11181.11,303.3
YESBANK,1626,11449.00,22.54
VOLTAS,2274,11396.25,1334.5
MOTHERSON,1432,11657.11,131.74
WIPRO,1960,11398.46,197
AMBER,1142,10100.83,8773
HCLTECH,2554,10653.87,1191.5
PFC,1811,10889.44,465.75
PERSISTENT,1921,9745.34,5066.3
AMBUJACEM,2184,10456.22,457.25
SUNPHARMA,1544,9962.26,1848.6
NTPC,1717,10312.80,399.95
SOLARINDS,1218,9860.21,16092
ADANIPOWER,1234,10115.70,230.3
PNB,1115,9700.96,108.4
COCHINSHIP,1255,9124.29,1804
HINDALCO,1271,9328.39,1042.9
AUBANK,912,9478.37,1041.6
BLUESTARCO,1652,9191.44,1713.6
MARUTI,1233,8460.34,13662
DALBHARAT,1484,9321.41,1918.2
ADANIENSOL,964,9047.45,1381.2
TECHM,1015,8892.12,1466.4
HINDZINC,1095,8540.65,635.15
CGPOWER,1152,8427.08,860.05
HINDPETRO,1106,8816.77,390.55
KAYNES,1900,8359.41,4379.3
ULTRACEMCO,1399,8420.75,11951
BDL,1501,7743.86,1461.9
HDFCLIFE,1206,8289.77,620.25
HINDUNILVR,1196,8167.81,2273.8
FEDERALBNK,1120,8272.71,293.7
TATAPOWER,1225,7799.24,437.55
INDUSTOWER,1183,8070.09,399.15
MANKIND,1278,6950.48,2439.1
SRF,1344,7538.11,2795.6
TMPV,2719,7859.18,355.15
CIPLA,1574,8032.32,1357.2
ABCAPITAL,682,7774.05,366.05
CANBK,858,7847.15,135.57
ZYDUSLIFE,908,7762.02,949.75
ADANIGREEN,857,7071.03,1370.8
JUBLFOOD,1302,7706.83,477.9
KEI,765,6873.57,5086
KALYANKJIL,1366,6596.96,410.5
CROMPTON,1344,7109.23,290.95
DELHIVERY,652,6566.29,480.95
JINDALSTEL,814,6372.18,1241.6
RECLTD,1269,6415.37,361.7
MPHASIS,1138,6908.52,2201.6
APLAPOLLO,937,6535.82,1952.3
HYUNDAI,1347,6757.98,1837.1
UNIONBANK,882,6493.43,165.42
AUROPHARMA,717,5914.96,1505
OFSS,827,5925.65,9477
DMART,878,5840.93,4430.8
IDFCFIRSTB,911,5967.31,70.29
TRENT,1348,5813.74,4306.2
TATAELXSI,1408,6088.01,4327
MUTHOOTFIN,627,6137.33,3532.4
EICHERMOT,799,5838.83,7304
GMRAIRPORT,848,5982.81,101.14
DLF,1160,5908.43,616.4
BANDHANBNK,774,5760.01,205.4
POLICYBZR,963,5678.13,1660.6
TVSMOTOR,899,5812.05,3693
MAZDOCK,1008,5441.30,2679
ONGC,885,5626.94,282
GODFRYPHLP,806,5298.61,2412.3
LTM,888,5646.06,4321.5
BPCL,885,5332.26,302.65
IEX,1045,5204.92,133.06
SUZLON,1069,5434.02,55.67
CHOLAFIN,533,5619.40,1674.9
FORTIS,688,5147.49,963.5
NESTLEIND,731,5409.02,1491
CUMMINSIND,479,5210.28,5434
BANKINDIA,695,5056.91,139.77
SIEMENS,678,4586.26,3842
INDIANB,570,4891.42,854.95
RVNL,1057,4925.10,305.9
GODREJCP,875,4521.98,1036.4
LODHA,1032,4509.90,960.7
POWERGRID,786,4683.40,312.7
NAUKRI,1325,4889.99,975.15
OBEROIRLTY,751,4450.86,1694
SAMMAANCAP,711,4634.89,149.34
MANAPPURAM,465,4418.54,314.25
IOC,602,4283.30,145.07
PREMIERENE,692,4034.36,1019
INOXWIND,1094,4195.09,106.29
BAJAJFINSV,880,4031.61,1805
BOSCHLTD,416,3954.53,37715
GODREJPROP,764,3928.17,1856.6
JSWSTEEL,459,3956.87,1270.8
JSWENERGY,697,3996.35,572.2
LICHSGFIN,678,3968.42,581.55
NMDC,629,3821.41,89.21
GRASIM,519,3837.63,2956.5
EXIDEIND,570,3747.64,365.8
UNOMINDA,582,3710.03,1156.2
MAXHEALTH,703,3769.49,1015.3
CAMS,552,3475.90,838
GAIL,721,3801.56,167.38
MOTILALOFS,519,3608.76,892.05
MARICO,342,3415.48,834.25
SAIL,401,3521.66,185.52
TORNTPHARM,627,3438.30,4389.7
NHPC,623,3225.51,81.71
SBILIFE,467,3285.02,1872.2
FORCEMOT,620,3208.66,20594
PGEL,593,2983.58,527.5
UPL,340,3002.51,649.75
OIL,452,2872.36,453.25
CONCOR,441,2938.07,532
VBL,519,2989.94,510.7
SBICARD,572,2958.98,644.9
HAVELLS,461,2924.96,1266.6
DIVISLAB,405,2730.62,6716
SHREECEM,426,2709.30,25340
KFINTECH,630,2882.94,916.95
ASTRAL,399,2685.02,1590.7
BAJAJHLDNG,490,2569.58,10523
HDFCAMC,313,2675.49,2846.2
SWIGGY,738,2668.27,277.75
PIIND,494,2686.80,3107.8
LTF,384,2600.14,302.25
360ONE,455,2560.24,1126.9
LICI,443,2504.27,804.4
ICICIPRULI,453,2361.36,559.65
INDHOTEL,346,2316.02,665.75
COLPAL,463,2255.16,2170.6
IREDA,493,2294.71,134.82
NYKAA,249,2118.73,271.35
FINNIFTY,76,1200.01,26226.65
UNITDSPR,363,1865.95,1282.9
MFSL,278,1898.43,1690
PRESTIGE,277,1858.48,1492.2
SONACOMS,269,1908.55,577.15
SUPREMEIND,279,1801.29,3678.3
PETRONET,321,1719.07,281.85
IRFC,341,1559.08,106.31
PAGEIND,294,1649.24,37140
PATANJALI,387,1603.82,460.25
TIINDIA,232,1398.15,3009.9
ALKEM,196,1370.10,5612
NAM-INDIA,170,1175.45,1102.1
NIFTYNXT50,62,1115.32,71797.8
PHOENIXLTD,149,955.46,1827.9
ICICIGI,132,794.60,1844.8
VMM,66,401.63,124.33
