symbol,vol_cum,vol_val_cum,price
NIFTY,45042,709966.07,24184.8
BANKNIFTY,18738,313694.06,55508.55
BSE,17073,249021.50,3915.5
SBIN,20293,163444.82,1078.5
BRITANNIA,22325,155712.63,5523.5
LUPIN,12415,127546.34,2375
HDFCBANK,27173,117885.70,779.85
MCX,5305,101441.45,3104.7
PIDILITIND,12784,95733.16,1488
ICICIBANK,10989,97798.72,1264.8
COFORGE,14755,74692.75,1367.4
RELIANCE,10121,72452.08,1425.3
ADANIPORTS,7845,65914.13,1760.7
DABUR,10327,62249.54,487.9
SAIL,8461,74593.03,186.27
BHARATFORG,6302,63574.59,1995.7
BHEL,5575,59426.61,403.25
MIDCPNIFTY,2620,45807.81,14502.05
ABB,6429,56860.30,7050
TCS,13138,54664.05,2387.4
LT,7736,53620.70,3965
BIOCON,4940,48444.05,383.75
NUVAMA,5691,44798.05,1615
INFY,10721,50414.74,1177.1
TITAN,6426,48391.46,4277.1
BEL,7737,48842.43,438.7
IDEA,6111,49292.23,11.28
POLYCAB,3741,42671.41,9114.5
ASIANPAINT,6239,40250.64,2596.6
ANGELONE,4612,38098.54,324.85
DIXON,7761,43170.11,11035
AXISBANK,5455,43633.03,1271.2
RBLBANK,3733,41068.75,342.2
APOLLOHOSP,3571,35823.31,8043.5
BAJFINANCE,6019,43361.93,954.1
NBCC,6516,42574.90,101.36
BAJAJ-AUTO,4483,35943.99,10693.5
ADANIENT,4962,38933.53,2514.4
TATACONSUM,6006,38847.45,1174
KOTAKBANK,5534,41859.41,377.7
BHARTIARTL,4536,39500.17,1839.5
PAYTM,4015,35217.26,1201.5
HAL,4459,32118.99,4770.2
M&M,5025,33689.04,3340
DALBHARAT,5598,34345.72,1852
GLENMARK,3884,34388.30,2371.9
WAAREEENER,5591,32102.78,3245.6
POWERINDIA,3747,31870.79,33840
COALINDIA,5024,31066.87,456.65
ITC,6260,30875.02,307.5
LAURUSLABS,2754,28831.39,1226.8
KAYNES,6312,27926.78,4496.7
INDIGO,4206,28554.44,4517.6
PNBHOUSING,4051,28423.46,1086.2
PERSISTENT,4952,25269.75,5132
HEROMOTOCO,3093,24869.89,5326.5
HCLTECH,6339,26527.43,1200.3
YESBANK,3853,26971.82,22.42
AMBUJACEM,5750,27414.33,447.65
INDUSINDBK,4235,28125.61,947.85
BANKBARODA,3300,26016.38,267.8
PFC,4337,26166.22,463.35
KPITTECH,8163,24939.48,728.7
TATASTEEL,4173,24798.21,215.65
ETERNAL,4007,24851.39,255.44
FEDERALBNK,3506,25806.29,294.6
VEDL,6594,22993.57,298.7
HINDUNILVR,3575,24519.47,2284.3
SHRIRAMFIN,2949,24518.51,1006
INDUSTOWER,3696,25240.62,399.95
ASHOKLEY,2889,24396.72,167.69
SUNPHARMA,3488,22574.24,1851.7
CDSL,3928,23557.61,1262
ULTRACEMCO,3886,23277.07,11915
HINDALCO,3061,22438.91,1040.7
PNB,2635,22883.22,108.06
DRREDDY,2840,22938.87,1298.9
CGPOWER,2959,21749.41,862.8
JIOFIN,3891,22901.76,249.25
AMBER,2385,21108.06,8796
VOLTAS,4452,22197.41,1330.9
WIPRO,3892,22674.48,198.08
AUBANK,2149,22407.47,1048.3
NATIONALUM,3052,22932.52,399.1
HDFCLIFE,3251,22380.64,625.55
NTPC,3627,21882.26,403.55
ADANIPOWER,2694,21964.72,226.69
ADANIENSOL,2277,21301.50,1362.3
GODFRYPHLP,2860,19076.79,2422.2
HINDPETRO,2699,21478.89,388.4
TECHM,2172,19062.45,1465
HINDZINC,2303,18004.25,635.95
MOTHERSON,2316,18855.38,132.43
DLF,3610,18309.92,610.2
SOLARINDS,2136,17260.90,16035
TMPV,6102,17588.92,355.9
CUMMINSIND,1608,17500.42,5399.5
CIPLA,3398,17285.09,1350.1
CROMPTON,3306,17514.99,296.35
ADANIGREEN,1939,15961.95,1357.5
MARUTI,2286,15696.77,13707
MANKIND,2744,15030.80,2448.6
BLUESTARCO,2962,16491.73,1703.9
HYUNDAI,3448,17293.00,1842.8
OFSS,2200,15598.12,9338.5
IDFCFIRSTB,2428,15955.14,70.76
CANBK,1756,16065.44,134.78
KALYANKJIL,2998,14488.88,410.4
COCHINSHIP,2045,14790.01,1785
ONGC,2383,15107.76,278.85
MAZDOCK,2729,14624.30,2660.9
TATAPOWER,2297,14611.71,436.75
SRF,2600,14557.05,2787.9
DELHIVERY,1377,13791.65,479.2
TRENT,3118,13453.51,4230.5
KEI,1531,13768.29,5101.6
BDL,2520,12954.13,1446.7
UNIONBANK,1961,14405.90,165.02
LTM,2146,13735.26,4368.9
RECLTD,2548,12930.28,360.6
SIEMENS,1820,12213.76,3810.6
GMRAIRPORT,1840,13012.72,101.6
TATAELXSI,3033,13143.32,4327
SUZLON,2557,12952.31,55.38
NESTLEIND,1740,12916.68,1481.7
POLICYBZR,2146,12542.09,1642.6
BANDHANBNK,1689,12549.26,205.93
AUROPHARMA,1488,12298.73,1490.9
INOXWIND,3431,13016.99,104.5
GODREJCP,2336,12118.40,1043.5
UNOMINDA,1875,12105.85,1180
ABCAPITAL,1055,12008.27,363.45
MPHASIS,2037,12378.01,2222.9
SWIGGY,3110,11321.19,282.95
MUTHOOTFIN,1205,11760.92,3523.3
BPCL,1906,11492.14,302.45
RVNL,2559,11889.01,305.2
BOSCHLTD,1152,11064.17,38380
PREMIERENE,1954,11453.87,1017.5
JINDALSTEL,1413,11059.58,1244.2
JUBLFOOD,2009,11897.38,474.75
EICHERMOT,1470,10776.43,7319.5
ZYDUSLIFE,1335,11399.57,939.6
GODREJPROP,2136,10985.00,1881
GRASIM,1506,11163.05,2966
JSWENERGY,1987,11328.04,565.15
TVSMOTOR,1647,10688.12,3712.9
DMART,1577,10482.49,4408.3
LODHA,2354,10256.61,968.4
CHOLAFIN,986,10395.76,1684.7
MANAPPURAM,1069,10110.15,314.15
HDFCAMC,1095,9412.55,2865.6
SAMMAANCAP,1622,10476.13,148.16
POWERGRID,1617,9650.05,313.55
BANKINDIA,1324,9640.07,139.83
ICICIGI,1655,9800.44,1823.2
IOC,1342,9549.01,144.81
INDIANB,1092,9374.50,854.45
FORTIS,1235,9223.68,954.55
HAVELLS,1458,9222.22,1262.4
FORCEMOT,1659,8648.54,20883
APLAPOLLO,1239,8606.89,1953.1
SBICARD,1726,8920.62,646
IEX,1598,7948.99,133.55
MOTILALOFS,1221,8501.23,880.4
NAUKRI,2395,8845.10,984
LICHSGFIN,1462,8540.67,580.6
SHREECEM,1273,8085.23,25390
OBEROIRLTY,1291,7665.31,1699.5
CAMS,1178,7433.74,838.8
ASTRAL,1160,7821.91,1575.9
GAIL,1566,8263.27,166.33
SBILIFE,1174,8258.20,1876.9
INDHOTEL,1163,7788.57,668.15
UNITDSPR,1494,7698.31,1281.3
NHPC,1500,7783.91,81.17
MARICO,743,7415.16,827.85
JSWSTEEL,866,7472.15,1274.9
ICICIPRULI,1419,7445.08,570.15
EXIDEIND,1095,7194.97,361.6
BAJAJFINSV,1529,6991.31,1808.7
NMDC,1174,7115.31,89.05
UPL,784,6917.02,644.95
MAXHEALTH,1306,6989.81,1016.1
KFINTECH,1537,7077.97,923.2
TORNTPHARM,1264,6936.40,4371.4
OIL,1020,6484.57,454.55
PETRONET,1153,6238.33,284.35
VBL,1160,6674.46,508.15
LICI,1097,6185.96,802.05
MFSL,913,6229.79,1696.4
COLPAL,1206,5899.15,2181.4
DIVISLAB,848,5713.60,6705
CONCOR,872,5821.84,534.35
360ONE,1050,5933.28,1123.5
PGEL,1130,5682.11,529.6
IREDA,1279,5956.89,134.31
PRESTIGE,826,5563.49,1507.4
BAJAJHLDNG,1001,5287.09,10566
LTF,804,5445.87,302.85
ALKEM,679,4768.01,5599
PAGEIND,889,4959.07,36940
NYKAA,573,4877.85,272.2
SUPREMEIND,724,4663.50,3659.5
PIIND,860,4665.72,3085.8
TIINDIA,726,4402.19,3050
SONACOMS,638,4535.79,581.3
PATANJALI,1060,4412.62,462.05
FINNIFTY,114,1798.82,26136.75
NAM-INDIA,530,3664.70,1113.4
IRFC,563,2573.45,106.12
NIFTYNXT50,114,2049.38,71602.55
PHOENIXLTD,270,1733.55,1828.5
VMM,204,1235.03,124.07
